module_id	nb_families	nb_organisms	partition	mean_number_of_occurrence
module_62	13	3	cloud	1.0
module_59	12	2	cloud	1.0
module_56	4	4	cloud	1.125
module_64	5	3	cloud	1.067
module_6	13	4	shell	1.019
module_24	8	5	shell	1.35
module_60	8	2	cloud	1.0
module_25	3	2	cloud	1.0
module_26	15	5	shell	1.147
module_63	3	2	cloud	1.833
module_17	6	6	cloud	1.361
module_10	7	9	persistent	1.778
module_61	5	2	cloud	1.0
module_8	5	5	shell	1.2
module_44	8	6	cloud	1.104
module_65	3	4	cloud	1.167
module_30	4	5	cloud	1.05
module_12	26	10	persistent	1.127
module_27	3	2	cloud	1.0
module_39	51	2	cloud	1.02
module_58	11	2	cloud	1.5
module_11	3	8	persistent	1.583
module_28	6	2	cloud	1.083
module_4	20	7	shell	1.164
module_54	3	5	cloud	1.667
module_7	3	5	shell	1.2
module_2	4	2	cloud	1.0
module_16	3	6	shell	1.167
module_34	3	4	cloud	1.667
module_75	4	2	cloud	2.25
module_20	3	5	shell	1.467
module_9	8	7	persistent	1.143
module_52	3	2	cloud	1.0
module_55	3	3	cloud	1.0
module_40	5	2	cloud	1.0
module_73	6	2	cloud	1.0
module_48	3	2	cloud	1.0
module_21	6	5	shell	1.067
module_14	3	9	persistent	2.074
module_36	4	3	cloud	1.0
module_41	6	2	cloud	1.0
module_71	8	2	cloud	1.0
module_35	8	7	persistent	1.446
module_29	3	2	cloud	1.0
module_57	8	3	cloud	1.375
module_51	3	2	cloud	1.0
module_74	5	2	cloud	1.0
module_38	14	2	cloud	1.036
module_42	3	2	cloud	1.0
module_72	4	2	cloud	1.125
module_23	3	4	shell	1.0
module_47	9	2	cloud	1.056
module_70	4	2	cloud	1.625
module_5	5	6	shell	1.0
module_37	13	2	cloud	1.0
module_67	3	3	cloud	1.0
module_50	3	2	cloud	1.0
module_22	24	5	shell	1.183
module_31	3	3	cloud	1.111
module_68	3	2	cloud	1.0
module_32	4	3	cloud	2.333
module_33	9	2	cloud	1.111
module_0	11	2	cloud	1.045
module_53	6	5	cloud	1.067
module_18	3	4	cloud	1.0
module_13	6	2	cloud	1.0
module_66	3	4	cloud	1.0
module_49	4	2	cloud	1.0
module_15	5	4	cloud	1.4
module_1	3	10	persistent	2.3
module_45	4	2	cloud	1.125
module_46	3	2	cloud	1.0
module_3	5	9	persistent	1.911
module_43	19	2	cloud	1.026
module_69	6	2	cloud	1.583
module_19	5	5	shell	1.04
