module_id	nb_families	nb_organisms	partition	mean_number_of_occurrence
module_61	3	2	cloud	2.0
module_42	7	2	cloud	1.0
module_44	11	3	cloud	1.061
module_43	11	2	cloud	1.0
module_68	8	4	shell	1.219
module_41	3	4	cloud	1.917
module_72	3	3	cloud	1.111
module_1	4	3	cloud	1.5
module_8	4	4	cloud	1.312
module_66	5	4	shell	1.2
module_67	6	6	shell	0.944
module_40	5	2	cloud	1.5
module_39	3	2	cloud	1.5
module_65	5	7	shell	1.2
module_33	4	2	cloud	1.0
module_70	3	2	cloud	1.0
module_60	6	2	cloud	1.333
module_37	15	2	cloud	1.0
module_38	7	2	cloud	1.0
module_69	7	3	cloud	1.0
module_64	3	5	shell	1.2
module_18	3	4	cloud	1.167
module_34	3	3	cloud	1.0
module_15	8	6	cloud	1.125
module_62	10	6	shell	1.133
module_36	3	3	cloud	1.111
module_16	6	4	cloud	1.417
module_32	15	3	cloud	1.244
module_54	5	2	cloud	1.0
module_21	3	4	cloud	1.0
module_84	3	2	cloud	1.167
module_35	3	2	cloud	1.0
module_71	20	2	cloud	1.05
module_76	12	2	cloud	1.0
module_30	4	3	cloud	1.417
module_78	3	4	cloud	1.5
module_59	4	3	cloud	1.083
module_82	3	4	cloud	1.417
module_58	10	3	cloud	1.067
module_87	3	2	cloud	1.0
module_57	3	2	cloud	1.0
module_83	7	4	cloud	1.214
module_31	3	2	cloud	1.0
module_88	3	2	cloud	1.0
module_52	3	2	cloud	1.0
module_100	5	2	cloud	1.1
module_19	3	2	cloud	1.0
module_86	9	2	cloud	1.167
module_4	3	3	cloud	1.0
module_29	3	4	cloud	1.5
module_85	3	2	cloud	1.0
module_63	10	3	cloud	1.233
module_81	3	2	cloud	1.0
module_26	8	2	cloud	1.062
module_96	3	2	cloud	1.0
module_55	7	4	shell	1.036
module_98	4	3	cloud	1.083
module_56	4	2	cloud	1.0
module_89	5	3	cloud	1.2
module_28	3	2	cloud	1.0
module_99	22	2	cloud	1.114
module_103	5	2	cloud	1.0
module_24	7	3	cloud	1.095
module_104	3	2	cloud	1.833
module_75	4	2	cloud	1.0
module_95	4	3	cloud	1.583
module_51	9	7	shell	1.079
module_97	4	2	cloud	1.0
module_27	9	3	cloud	1.111
module_101	3	2	cloud	1.0
module_49	3	2	cloud	1.667
module_79	5	3	cloud	1.133
module_25	11	3	cloud	1.212
module_80	10	2	cloud	1.1
module_73	7	3	cloud	1.095
module_90	5	2	cloud	1.1
module_2	5	3	cloud	1.0
module_47	3	2	cloud	1.0
module_23	4	3	cloud	1.167
module_106	6	2	cloud	1.167
module_45	4	5	shell	1.2
module_94	5	3	cloud	1.0
module_20	4	3	cloud	1.083
module_105	4	2	cloud	2.875
module_46	5	5	shell	0.96
module_102	3	2	cloud	1.167
module_53	3	4	shell	1.083
module_92	4	3	cloud	1.083
module_22	3	5	cloud	1.0
module_74	5	4	shell	1.2
module_50	3	6	cloud	1.278
module_91	8	2	cloud	1.062
module_17	3	3	cloud	1.0
module_5	3	3	cloud	1.444
module_93	16	2	cloud	1.062
module_48	4	6	shell	0.958
module_3	3	3	cloud	1.0
module_77	7	3	cloud	1.048
module_6	9	3	cloud	1.185
module_111	8	2	cloud	1.25
module_128	15	2	cloud	1.133
module_108	3	2	cloud	1.0
module_0	6	3	cloud	1.333
module_109	8	2	cloud	1.0
module_121	7	2	cloud	1.0
module_124	7	2	cloud	1.571
module_122	4	2	cloud	1.0
module_110	4	2	cloud	1.0
module_125	9	2	cloud	1.0
module_107	6	2	cloud	1.167
module_123	34	2	cloud	1.044
module_127	6	2	cloud	1.0
module_126	3	2	cloud	1.667
module_129	6	2	cloud	1.083
module_113	10	2	cloud	1.1
module_112	5	2	cloud	1.0
module_120	8	2	cloud	1.062
module_118	7	2	cloud	1.0
module_117	3	2	cloud	1.167
module_119	24	2	cloud	1.021
module_114	40	2	cloud	1.025
module_115	25	2	cloud	1.1
module_116	5	2	cloud	1.0
module_10	9	3	cloud	1.0
module_11	4	5	cloud	1.2
module_9	4	4	cloud	1.125
module_12	4	4	cloud	1.0
module_13	3	3	cloud	1.0
module_7	8	4	cloud	1.0
module_14	3	10	persistent	2.4
