module_id	nb_families	nb_organisms	partition	mean_number_of_occurrence
module_58	3	2	cloud	1.0
module_63	7	2	cloud	1.0
module_78	3	2	cloud	1.167
module_81	4	2	cloud	1.125
module_72	4	5	shell	1.3
module_68	4	3	cloud	1.167
module_74	3	2	cloud	1.0
module_79	4	2	cloud	1.125
module_96	4	3	cloud	1.333
module_91	3	4	shell	1.333
module_76	3	2	cloud	1.0
module_56	5	2	cloud	1.0
module_52	17	2	cloud	1.118
module_7	3	2	cloud	1.167
module_54	5	4	cloud	1.25
module_37	4	5	shell	1.0
module_75	4	2	cloud	1.0
module_94	7	2	cloud	1.0
module_51	3	2	cloud	1.167
module_73	3	5	shell	1.733
module_9	9	3	cloud	1.296
module_50	5	4	cloud	1.1
module_92	3	2	cloud	1.667
module_84	3	3	cloud	1.0
module_4	3	2	cloud	1.0
module_6	4	3	cloud	1.25
module_49	5	2	cloud	1.0
module_53	4	6	shell	1.208
module_83	3	2	cloud	1.167
module_41	4	2	cloud	1.125
module_59	5	2	cloud	1.0
module_34	3	2	cloud	1.333
module_103	4	2	cloud	1.125
module_46	5	2	cloud	1.0
module_48	5	3	cloud	1.0
module_67	5	6	shell	1.1
module_60	20	2	cloud	1.1
module_66	10	6	shell	1.267
module_47	3	2	cloud	1.167
module_65	3	2	cloud	1.0
module_0	3	4	cloud	1.5
module_33	5	2	cloud	1.1
module_64	8	2	cloud	1.062
module_45	5	3	cloud	1.067
module_82	16	2	cloud	1.125
module_43	4	2	cloud	1.125
module_90	5	2	cloud	1.3
module_20	3	5	shell	1.067
module_61	6	2	cloud	1.167
module_17	3	6	shell	1.167
module_44	4	3	cloud	1.25
module_19	10	4	cloud	1.05
module_77	3	2	cloud	1.0
module_18	3	2	cloud	1.0
module_42	4	2	cloud	1.0
module_32	4	3	cloud	1.0
module_57	3	5	shell	1.0
module_27	8	3	cloud	1.125
module_80	4	2	cloud	1.0
module_29	3	3	cloud	1.222
module_62	9	2	cloud	1.111
module_38	8	2	cloud	1.125
module_35	3	3	cloud	1.556
module_55	4	2	cloud	1.375
module_31	15	2	cloud	1.3
module_69	3	2	cloud	1.0
module_14	6	4	cloud	1.125
module_39	5	2	cloud	1.6
module_15	3	10	persistent	3.0
module_86	6	3	cloud	1.222
module_12	7	3	cloud	1.429
module_71	3	4	shell	1.0
module_16	3	10	persistent	2.433
module_40	3	2	cloud	1.333
module_26	3	2	cloud	1.0
module_87	4	2	cloud	1.125
module_24	19	5	cloud	1.168
module_88	4	2	cloud	1.0
module_22	5	5	cloud	1.48
module_36	3	5	cloud	1.2
module_21	3	3	cloud	1.444
module_85	6	2	cloud	1.25
module_5	3	3	cloud	1.556
module_23	4	3	cloud	1.167
module_89	3	2	cloud	1.0
module_8	11	6	cloud	1.409
module_28	5	2	cloud	1.0
module_93	6	3	cloud	1.111
module_70	10	5	shell	1.02
module_30	10	2	cloud	1.25
module_25	3	2	cloud	1.0
module_95	3	3	cloud	1.556
module_1	3	3	cloud	1.0
module_118	4	2	cloud	1.0
module_132	3	2	cloud	1.0
module_97	4	2	cloud	1.125
module_98	3	2	cloud	1.0
module_122	6	2	cloud	1.083
module_10	11	2	cloud	1.182
module_121	87	2	cloud	1.109
module_119	3	2	cloud	1.0
module_99	3	2	cloud	1.5
module_117	4	2	cloud	1.125
module_113	7	3	cloud	1.0
module_112	30	2	cloud	1.017
module_114	3	3	cloud	1.222
module_116	4	2	cloud	1.125
module_100	5	3	cloud	1.133
module_107	5	4	shell	1.25
module_111	3	3	shell	1.0
module_123	4	2	cloud	1.125
module_115	3	3	cloud	1.0
module_105	4	2	cloud	1.125
module_110	4	2	cloud	1.0
module_101	3	3	cloud	1.0
module_108	3	3	cloud	1.222
module_104	5	2	cloud	1.1
module_106	4	3	cloud	1.0
module_102	4	2	cloud	1.0
module_109	4	2	cloud	1.25
module_120	3	2	cloud	1.0
module_129	3	2	cloud	1.0
module_13	3	2	cloud	1.333
module_131	5	2	cloud	1.1
module_130	5	2	cloud	1.2
module_11	32	3	cloud	1.312
module_128	7	2	cloud	1.071
module_2	5	5	cloud	1.04
module_126	38	2	cloud	1.092
module_125	24	2	cloud	1.104
module_127	74	2	cloud	1.074
module_3	3	10	persistent	2.2
module_124	6	2	cloud	1.083
