module_id	nb_families	nb_organisms	partition	mean_number_of_occurrence
module_12	5	6	cloud	1.067
module_47	3	4	cloud	1.083
module_119	12	3	shell	1.0
module_36	20	2	cloud	1.025
module_122	4	3	shell	1.333
module_8	9	2	cloud	1.0
module_51	7	2	cloud	1.0
module_96	3	2	cloud	1.5
module_53	4	2	cloud	1.0
module_121	34	3	shell	1.01
module_13	5	2	cloud	1.0
module_39	8	7	shell	1.054
module_93	4	4	shell	1.0
module_43	26	7	shell	1.071
module_117	3	3	shell	1.0
module_49	3	3	cloud	1.0
module_115	7	2	cloud	1.0
module_2	7	2	cloud	1.5
module_65	19	5	shell	1.011
module_94	3	5	shell	1.0
module_66	5	2	cloud	1.0
module_125	47	3	shell	1.085
module_78	5	4	shell	1.0
module_91	3	4	shell	1.0
module_45	3	3	cloud	1.0
module_120	3	3	shell	1.0
module_40	4	2	cloud	1.0
module_103	4	4	shell	1.0
module_48	3	2	cloud	1.0
module_95	3	5	shell	1.0
module_20	3	2	cloud	1.0
module_118	3	3	shell	1.0
module_3	6	2	cloud	1.0
module_62	4	2	cloud	1.0
module_92	3	2	cloud	1.5
module_4	6	3	cloud	1.222
module_50	6	3	cloud	1.0
module_97	6	6	shell	1.028
module_73	3	3	cloud	8.889
module_101	3	4	shell	1.083
module_46	57	2	cloud	1.018
module_90	3	4	shell	1.0
module_74	6	4	shell	1.042
module_111	4	2	cloud	1.0
module_64	5	5	shell	1.08
module_87	4	4	shell	1.0
module_71	4	2	cloud	1.125
module_113	58	2	cloud	1.017
module_44	4	2	cloud	1.0
module_112	6	2	cloud	1.0
module_9	3	10	persistent	2.1
module_75	9	4	shell	1.139
module_89	5	6	shell	1.0
module_77	10	4	shell	1.025
module_100	4	4	shell	1.0
module_70	3	2	cloud	1.0
module_85	7	4	shell	1.214
module_34	6	6	shell	1.028
module_110	7	2	cloud	1.0
module_76	6	6	shell	1.056
module_123	6	3	shell	1.333
module_35	3	2	cloud	1.0
module_88	6	4	shell	1.083
module_68	3	2	cloud	1.0
module_102	4	4	shell	1.5
module_72	5	2	cloud	1.0
module_84	4	5	shell	1.05
module_38	3	2	cloud	1.0
module_136	7	2	shell	1.0
module_37	3	2	cloud	2.0
module_134	8	3	shell	1.042
module_32	4	2	cloud	1.25
module_86	11	4	shell	1.068
module_61	9	2	cloud	1.0
module_131	4	3	shell	1.083
module_79	3	5	shell	1.0
module_116	7	2	cloud	1.143
module_55	5	2	cloud	1.1
module_133	3	2	shell	1.0
module_31	4	2	cloud	1.0
module_98	27	2	cloud	1.093
module_33	4	2	cloud	1.125
module_83	10	4	shell	1.025
module_57	9	2	cloud	1.0
module_126	43	3	shell	1.008
module_23	3	2	cloud	1.0
module_132	8	3	shell	1.0
module_81	3	6	shell	1.0
module_124	3	3	shell	1.0
module_54	6	2	cloud	1.0
module_114	58	2	cloud	1.017
module_29	6	7	shell	1.048
module_82	5	5	shell	1.04
module_6	3	3	cloud	1.111
module_30	3	2	cloud	1.0
module_7	7	2	cloud	1.429
module_52	13	2	cloud	1.038
module_127	5	3	shell	1.067
module_58	7	2	cloud	1.0
module_129	3	3	shell	1.0
module_63	4	5	shell	1.0
module_128	50	3	shell	1.007
module_26	4	3	cloud	1.083
module_130	11	3	shell	1.212
module_56	15	2	cloud	1.0
module_135	3	3	shell	1.111
module_41	7	2	cloud	1.0
module_27	5	2	cloud	1.0
module_138	6	2	shell	1.083
module_11	18	2	cloud	1.0
module_60	3	2	cloud	1.167
module_137	18	2	shell	1.056
module_24	3	3	cloud	1.222
module_105	10	2	cloud	1.1
module_59	12	9	shell	0.787
module_99	5	2	cloud	1.1
module_15	3	10	persistent	1.133
module_139	95	2	shell	1.037
module_28	3	2	cloud	1.0
module_140	6	2	shell	1.0
module_19	4	6	cloud	1.083
module_69	8	6	shell	1.021
module_106	10	2	cloud	1.0
module_22	4	3	cloud	1.167
module_25	20	2	cloud	1.025
module_108	3	2	cloud	1.0
module_17	3	4	cloud	1.0
module_80	6	5	shell	1.033
module_14	9	2	cloud	2.333
module_42	9	2	cloud	1.167
module_107	42	2	cloud	1.036
module_67	6	2	cloud	1.417
module_16	3	2	cloud	1.0
module_109	4	2	cloud	1.5
module_10	3	10	persistent	2.267
module_21	8	2	cloud	1.188
module_18	4	2	cloud	1.0
module_104	5	5	shell	1.2
module_0	3	4	cloud	1.0
module_1	4	2	cloud	1.0
module_5	3	2	cloud	1.0
