module_id	nb_families	nb_organisms	partition	mean_number_of_occurrence
module_19	3	2	cloud	1.0
module_8	4	3	cloud	1.0
module_24	3	4	cloud	1.083
module_20	4	2	cloud	1.125
module_6	5	2	cloud	1.1
module_3	3	5	cloud	1.0
module_1	4	6	shell	1.0
module_14	3	2	cloud	1.0
module_13	3	6	cloud	1.056
module_12	3	6	cloud	1.0
module_17	3	2	cloud	1.0
module_18	3	2	cloud	1.0
module_4	3	3	cloud	1.0
module_16	4	5	shell	1.05
module_7	3	2	cloud	1.0
module_9	4	3	cloud	1.0
module_5	3	2	cloud	1.0
module_15	3	2	cloud	1.0
module_11	3	3	cloud	1.0
module_10	5	3	cloud	1.0
module_21	4	5	cloud	1.0
module_48	3	3	cloud	2.444
module_82	3	2	cloud	1.0
module_74	3	3	cloud	1.0
module_72	3	2	cloud	1.0
module_88	3	2	cloud	1.0
module_57	4	3	cloud	1.0
module_71	3	2	cloud	1.0
module_51	4	2	cloud	1.0
module_65	4	3	cloud	1.083
module_52	6	3	cloud	1.0
module_87	3	2	cloud	1.0
module_0	3	9	persistent	1.407
module_54	3	3	cloud	1.0
module_130	8	2	cloud	1.0
module_23	5	2	cloud	1.0
module_49	3	3	cloud	1.333
module_79	5	2	cloud	1.0
module_47	4	2	cloud	1.0
module_123	3	2	cloud	1.0
module_81	3	2	cloud	1.0
module_22	6	2	cloud	1.083
module_69	6	2	cloud	1.0
module_84	6	2	cloud	1.0
module_89	10	2	cloud	1.0
module_26	3	2	cloud	1.0
module_58	3	3	cloud	1.0
module_129	4	2	cloud	1.0
module_78	3	2	cloud	1.0
module_131	4	2	cloud	1.0
module_77	4	2	cloud	1.0
module_128	4	2	cloud	1.0
module_85	3	2	cloud	1.0
module_110	5	3	cloud	1.0
module_42	3	2	cloud	1.0
module_76	7	4	cloud	1.0
module_44	4	2	cloud	1.0
module_113	13	3	cloud	1.0
module_25	3	2	cloud	1.0
module_83	3	2	cloud	1.0
module_75	3	2	cloud	1.0
module_125	5	2	cloud	1.0
module_40	13	2	cloud	1.0
module_112	12	3	cloud	1.0
module_61	8	2	cloud	1.0
module_106	3	2	cloud	1.0
module_39	5	2	cloud	1.0
module_126	13	2	cloud	1.038
module_64	3	2	cloud	1.0
module_90	5	2	cloud	1.0
module_50	4	2	cloud	1.0
module_127	4	2	cloud	1.0
module_109	3	2	cloud	1.0
module_68	11	2	cloud	1.091
module_102	7	2	cloud	1.0
module_37	5	2	cloud	1.0
module_105	3	3	cloud	1.0
module_43	8	4	cloud	1.0
module_100	10	3	cloud	1.0
module_67	5	2	cloud	1.0
module_104	3	2	cloud	1.0
module_30	3	2	cloud	1.0
module_96	8	2	cloud	1.0
module_66	4	2	cloud	1.125
module_107	4	2	cloud	1.0
module_63	4	3	cloud	1.0
module_91	4	2	cloud	1.0
module_35	6	3	cloud	1.333
module_98	4	2	cloud	1.0
module_36	3	3	cloud	2.111
module_108	13	2	cloud	1.0
module_92	4	2	cloud	1.0
module_101	3	2	cloud	1.0
module_70	4	5	cloud	1.2
module_114	3	2	cloud	1.0
module_62	3	3	cloud	1.0
module_99	3	2	cloud	1.0
module_38	4	3	cloud	1.0
module_97	3	3	cloud	1.111
module_32	3	2	cloud	1.0
module_111	8	3	cloud	1.0
module_46	5	2	cloud	1.0
module_95	3	2	cloud	1.167
module_34	6	2	cloud	1.0
module_93	4	2	cloud	1.0
module_41	3	2	cloud	1.0
module_94	4	2	cloud	1.0
module_115	6	2	cloud	1.0
module_31	5	2	cloud	1.0
module_103	4	3	cloud	1.0
module_121	4	2	cloud	1.0
module_86	3	2	cloud	1.0
module_116	3	2	cloud	1.0
module_33	4	2	cloud	1.0
module_118	15	3	cloud	1.0
module_73	3	3	cloud	1.0
module_122	4	2	cloud	1.0
module_29	3	2	cloud	1.0
module_117	5	2	cloud	1.0
module_56	9	5	cloud	1.0
module_124	6	2	cloud	1.0
module_2	4	6	shell	1.0
module_53	5	3	cloud	1.0
module_120	3	2	cloud	1.167
module_60	3	3	cloud	1.0
module_27	6	2	cloud	1.0
module_55	3	2	cloud	1.0
module_119	3	3	cloud	1.222
module_59	3	3	cloud	1.0
module_28	3	2	cloud	1.0
module_45	3	2	cloud	1.0
module_80	8	2	cloud	1.125
