#soft_core=0.95
#duplication_margin=0.05
organism	nb_families	nb_persistent_families	nb_shell_families	nb_cloud_families	nb_exact_core	nb_soft_core	nb_genes	nb_persistent_genes	nb_shell_genes	nb_cloud_genes	nb_exact_core_genes	nb_soft_core_genes	completeness	nb_single_copy_markers
GCF_001278715.1_ASM127871v1	2678	1085	72	1521	788	788	2783	1114	94	1575	791	791	94.03	992
GCF_002165255.2_ASM216525v2	2812	932	18	1862	788	788	2931	957	36	1938	793	793	81.04	855
GCF_001647675.1_ASM164767v1	2694	1114	40	1540	788	788	2847	1144	53	1650	792	792	97.16	1025
GCF_002688565.1_ASM268856v1	3046	1125	61	1860	788	788	3154	1158	67	1929	808	808	98.39	1038
GCF_002934695.1_ASM293469v1	3234	1132	66	2036	788	788	3577	1202	117	2258	797	797	98.58	1040
GCF_002165295.2_ASM216529v2	3363	1077	54	2232	788	788	3391	1098	54	2239	793	793	93.84	990
GCA_001581975.1_ASM158197v1	3799	953	31	2815	788	788	4060	1064	39	2957	840	840	81.61	861
GCF_001612555.1_ASM161255v1	3417	982	26	2409	788	788	3566	1007	40	2519	791	791	84.74	894
GCF_001696615.3_ASM169661v3	3553	1102	67	2384	788	788	3664	1135	86	2443	796	796	95.92	1012
GCF_002165305.2_ASM216530v2	3578	1127	72	2379	788	788	3723	1196	83	2444	795	795	98.01	1034
