module_id	organism	completion
module_12	GCA_014717935.1_ASM1471793v1	1.0
module_12	GCA_014720715.1_ASM1472071v1	1.0
module_12	GCA_014718955.1_ASM1471895v1	1.0
module_12	GCA_014718535.1_ASM1471853v1	1.0
module_12	GCA_014717695.1_ASM1471769v1	1.0
module_12	GCA_014718155.1_ASM1471815v1	1.0
module_47	GCA_014718955.1_ASM1471895v1	1.0
module_47	GCA_014717935.1_ASM1471793v1	1.0
module_47	GCA_014717695.1_ASM1471769v1	1.0
module_47	GCA_014718155.1_ASM1471815v1	1.0
module_119	GCA_014722275.1_ASM1472227v1	1.0
module_119	GCA_014720295.1_ASM1472029v1	1.0
module_119	GCA_014718755.1_ASM1471875v1	1.0
module_36	GCA_014717695.1_ASM1471769v1	1.0
module_36	GCA_014718155.1_ASM1471815v1	1.0
module_122	GCA_014722275.1_ASM1472227v1	1.0
module_122	GCA_014720295.1_ASM1472029v1	1.0
module_122	GCA_014718755.1_ASM1471875v1	1.0
module_8	GCA_014720715.1_ASM1472071v1	1.0
module_8	GCA_014718535.1_ASM1471853v1	1.0
module_51	GCA_014717695.1_ASM1471769v1	1.0
module_51	GCA_014718155.1_ASM1471815v1	1.0
module_96	GCA_014718955.1_ASM1471895v1	1.0
module_96	GCA_014719655.1_ASM1471965v1	1.0
module_53	GCA_014717695.1_ASM1471769v1	1.0
module_53	GCA_014718155.1_ASM1471815v1	1.0
module_121	GCA_014722275.1_ASM1472227v1	1.0
module_121	GCA_014720295.1_ASM1472029v1	1.0
module_121	GCA_014718755.1_ASM1471875v1	1.0
module_13	GCA_014718535.1_ASM1471853v1	1.0
module_13	GCA_014720715.1_ASM1472071v1	1.0
module_39	GCA_014720295.1_ASM1472029v1	1.0
module_39	GCA_014718955.1_ASM1471895v1	1.0
module_39	GCA_014718755.1_ASM1471875v1	1.0
module_39	GCA_014717695.1_ASM1471769v1	1.0
module_39	GCA_014718535.1_ASM1471853v1	1.0
module_39	GCA_014722275.1_ASM1472227v1	1.0
module_39	GCA_014718155.1_ASM1471815v1	1.0
module_93	GCA_014720295.1_ASM1472029v1	1.0
module_93	GCA_014718755.1_ASM1471875v1	1.0
module_93	GCA_014719655.1_ASM1471965v1	1.0
module_93	GCA_014722275.1_ASM1472227v1	1.0
module_43	GCA_014720295.1_ASM1472029v1	1.0
module_43	GCA_014718755.1_ASM1471875v1	1.0
module_43	GCA_014719655.1_ASM1471965v1	1.0
module_43	GCA_014717935.1_ASM1471793v1	1.0
module_43	GCA_014717695.1_ASM1471769v1	1.0
module_43	GCA_014722275.1_ASM1472227v1	1.0
module_43	GCA_014718155.1_ASM1471815v1	1.0
module_117	GCA_014722275.1_ASM1472227v1	1.0
module_117	GCA_014720295.1_ASM1472029v1	1.0
module_117	GCA_014718755.1_ASM1471875v1	1.0
module_49	GCA_014717695.1_ASM1471769v1	1.0
module_49	GCA_014718155.1_ASM1471815v1	1.0
module_49	GCA_014717935.1_ASM1471793v1	1.0
module_115	GCA_014718955.1_ASM1471895v1	1.0
module_115	GCA_014717935.1_ASM1471793v1	1.0
module_2	GCA_014720715.1_ASM1472071v1	1.0
module_2	GCA_014718535.1_ASM1471853v1	1.0
module_65	GCA_014720295.1_ASM1472029v1	1.0
module_65	GCA_014718955.1_ASM1471895v1	1.0
module_65	GCA_014718755.1_ASM1471875v1	1.0
module_65	GCA_014722275.1_ASM1472227v1	1.0
module_65	GCA_014718155.1_ASM1471815v1	1.0
module_94	GCA_014720295.1_ASM1472029v1	1.0
module_94	GCA_014717935.1_ASM1471793v1	1.0
module_94	GCA_014718755.1_ASM1471875v1	1.0
module_94	GCA_014719655.1_ASM1471965v1	1.0
module_94	GCA_014722275.1_ASM1472227v1	1.0
module_66	GCA_014718955.1_ASM1471895v1	1.0
module_66	GCA_014718155.1_ASM1471815v1	1.0
module_125	GCA_014722275.1_ASM1472227v1	1.0
module_125	GCA_014720295.1_ASM1472029v1	1.0
module_125	GCA_014718755.1_ASM1471875v1	1.0
module_78	GCA_014720295.1_ASM1472029v1	1.0
module_78	GCA_014718755.1_ASM1471875v1	1.0
module_78	GCA_014719655.1_ASM1471965v1	1.0
module_78	GCA_014722275.1_ASM1472227v1	1.0
module_91	GCA_014720295.1_ASM1472029v1	1.0
module_91	GCA_014718755.1_ASM1471875v1	1.0
module_91	GCA_014719655.1_ASM1471965v1	1.0
module_91	GCA_014722275.1_ASM1472227v1	1.0
module_45	GCA_014717695.1_ASM1471769v1	1.0
module_45	GCA_014718155.1_ASM1471815v1	1.0
module_45	GCA_014717935.1_ASM1471793v1	1.0
module_120	GCA_014722275.1_ASM1472227v1	1.0
module_120	GCA_014720295.1_ASM1472029v1	1.0
module_120	GCA_014718755.1_ASM1471875v1	1.0
module_40	GCA_014717695.1_ASM1471769v1	1.0
module_40	GCA_014718155.1_ASM1471815v1	1.0
module_103	GCA_014720295.1_ASM1472029v1	1.0
module_103	GCA_014718755.1_ASM1471875v1	1.0
module_103	GCA_014718955.1_ASM1471895v1	1.0
module_103	GCA_014722275.1_ASM1472227v1	1.0
module_48	GCA_014717695.1_ASM1471769v1	1.0
module_48	GCA_014718155.1_ASM1471815v1	1.0
module_95	GCA_014720295.1_ASM1472029v1	1.0
module_95	GCA_014717935.1_ASM1471793v1	1.0
module_95	GCA_014719655.1_ASM1471965v1	1.0
module_95	GCA_014718755.1_ASM1471875v1	1.0
module_95	GCA_014722275.1_ASM1472227v1	1.0
module_20	GCA_014718535.1_ASM1471853v1	1.0
module_20	GCA_014720715.1_ASM1472071v1	1.0
module_118	GCA_014722275.1_ASM1472227v1	1.0
module_118	GCA_014720295.1_ASM1472029v1	1.0
