module_id	organism	completion
module_58	GCA_003359315.2_ASM335931v2	1.0
module_58	GCA_003359295.2_ASM335929v2	1.0
module_63	GCA_003359305.2_ASM335930v2	1.0
module_63	GCA_003359295.2_ASM335929v2	1.0
module_78	GCA_003359305.2_ASM335930v2	1.0
module_78	GCF_001617545.1_ASM161754v1	1.0
module_81	GCA_003359305.2_ASM335930v2	1.0
module_81	GCF_001617545.1_ASM161754v1	1.0
module_72	GCA_003359305.2_ASM335930v2	1.0
module_72	GCA_003359225.2_ASM335922v2	1.0
module_72	GCA_003359275.2_ASM335927v2	1.0
module_72	GCA_003359315.2_ASM335931v2	1.0
module_72	GCA_003359295.2_ASM335929v2	0.75
module_68	GCA_003359225.2_ASM335922v2	1.0
module_68	GCA_003359295.2_ASM335929v2	1.0
module_68	GCA_003359315.2_ASM335931v2	1.0
module_74	GCA_003359305.2_ASM335930v2	1.0
module_74	GCA_003359295.2_ASM335929v2	1.0
module_79	GCA_003354845.1_ASM335484v1	1.0
module_79	GCF_001617545.1_ASM161754v1	1.0
module_96	GCA_003359275.2_ASM335927v2	1.0
module_96	GCA_003359225.2_ASM335922v2	1.0
module_96	GCA_003359315.2_ASM335931v2	1.0
module_91	GCA_003359275.2_ASM335927v2	1.0
module_91	GCA_003359225.2_ASM335922v2	1.0
module_91	GCF_001577285.1_ASM157728v1	1.0
module_91	GCA_003354845.1_ASM335484v1	1.0
module_76	GCF_001617545.1_ASM161754v1	1.0
module_76	GCF_001577285.1_ASM157728v1	1.0
module_56	GCA_003359315.2_ASM335931v2	1.0
module_56	GCA_003359295.2_ASM335929v2	1.0
module_52	GCA_003359225.2_ASM335922v2	1.0
module_52	GCA_003359295.2_ASM335929v2	1.0
module_7	GCF_000191145.1_ASM19114v1	1.0
module_7	GCA_003354845.1_ASM335484v1	1.0
module_54	GCA_003359225.2_ASM335922v2	1.0
module_54	GCA_003359275.2_ASM335927v2	1.0
module_54	GCA_003359315.2_ASM335931v2	1.0
module_54	GCA_003359295.2_ASM335929v2	1.0
module_37	GCA_003359225.2_ASM335922v2	1.0
module_37	GCA_003359275.2_ASM335927v2	1.0
module_37	GCA_003359315.2_ASM335931v2	1.0
module_37	GCA_003359295.2_ASM335929v2	1.0
module_37	GCA_003359215.2_ASM335921v2	1.0
module_75	GCA_003359315.2_ASM335931v2	1.0
module_75	GCA_003359295.2_ASM335929v2	1.0
module_94	GCA_003359315.2_ASM335931v2	1.0
module_94	GCF_001577285.1_ASM157728v1	1.0
module_51	GCA_003354845.1_ASM335484v1	1.0
module_51	GCA_003359295.2_ASM335929v2	1.0
module_73	GCA_003359225.2_ASM335922v2	1.0
module_73	GCA_003359275.2_ASM335927v2	1.0
module_73	GCA_003359305.2_ASM335930v2	1.0
module_73	GCA_003359315.2_ASM335931v2	1.0
module_73	GCA_003359295.2_ASM335929v2	1.0
module_9	GCA_003359305.2_ASM335930v2	1.0
module_9	GCF_000191145.1_ASM19114v1	1.0
module_9	GCA_003354845.1_ASM335484v1	1.0
module_50	GCA_003359225.2_ASM335922v2	1.0
module_50	GCA_003359275.2_ASM335927v2	1.0
module_50	GCA_003359315.2_ASM335931v2	1.0
module_50	GCA_003359295.2_ASM335929v2	1.0
module_92	GCA_003359275.2_ASM335927v2	1.0
module_92	GCF_001577285.1_ASM157728v1	1.0
module_84	GCA_003359305.2_ASM335930v2	1.0
module_84	GCF_001617545.1_ASM161754v1	1.0
module_84	GCA_003354845.1_ASM335484v1	1.0
module_4	GCA_003354845.1_ASM335484v1	1.0
module_4	GCF_000191145.1_ASM19114v1	1.0
module_6	GCF_000191145.1_ASM19114v1	1.0
module_6	GCA_003359305.2_ASM335930v2	1.0
module_6	GCF_001617545.1_ASM161754v1	1.0
module_49	GCA_003359315.2_ASM335931v2	1.0
module_49	GCA_003359295.2_ASM335929v2	1.0
module_53	GCA_003359225.2_ASM335922v2	1.0
module_53	GCA_003359275.2_ASM335927v2	1.0
module_53	GCA_003359305.2_ASM335930v2	1.0
module_53	GCA_003359315.2_ASM335931v2	1.0
module_53	GCA_003359295.2_ASM335929v2	1.0
module_53	GCA_003354845.1_ASM335484v1	1.0
module_83	GCA_003359225.2_ASM335922v2	1.0
module_83	GCF_001617545.1_ASM161754v1	1.0
module_41	GCA_003359215.2_ASM335921v2	1.0
module_41	GCF_001617545.1_ASM161754v1	1.0
module_59	GCA_003359315.2_ASM335931v2	1.0
module_59	GCA_003359295.2_ASM335929v2	1.0
module_34	GCA_003359215.2_ASM335921v2	1.0
module_34	GCA_003359305.2_ASM335930v2	1.0
module_103	GCA_003359275.2_ASM335927v2	1.0
module_103	GCA_003359225.2_ASM335922v2	1.0
module_46	GCA_003359225.2_ASM335922v2	1.0
module_46	GCA_003359295.2_ASM335929v2	1.0
module_48	GCA_003359225.2_ASM335922v2	1.0
module_48	GCA_003359295.2_ASM335929v2	1.0
module_48	GCF_001577285.1_ASM157728v1	1.0
module_67	GCA_003359225.2_ASM335922v2	1.0
module_67	GCA_003359275.2_ASM335927v2	1.0
module_67	GCA_003359315.2_ASM335931v2	0.8
module_67	GCA_003359295.2_ASM335929v2	1.0
module_67	GCF_001577285.1_ASM157728v1	1.0
module_67	GCA_003354845.1_ASM335484v1	1.0
module_60	GCA_003359305.2_ASM335930v2	1.0
module_60	GCA_003359295.2_ASM335929v2	1.0
module_66	GCA_003359275.2_ASM335927v2	1.0
module_66	GCA_003359225.2_ASM335922v2	1.0
module_66	GCA_003359315.2_ASM335931v2	1.0
module_66	GCF_001577285.1_ASM157728v1	0.7
module_66	GCA_003359295.2_ASM335929v2	1.0
module_66	GCA_003354845.1_ASM335484v1	1.0
module_47	GCA_003354845.1_ASM335484v1	1.0
module_47	GCA_003359295.2_ASM335929v2	1.0
module_65	GCA_003359315.2_ASM335931v2	1.0
module_65	GCA_003359295.2_ASM335929v2	1.0
module_0	GCF_000191145.1_ASM19114v1	1.0
module_0	GCA_003359275.2_ASM335927v2	1.0
module_0	GCA_003359225.2_ASM335922v2	1.0
module_0	GCF_001577285.1_ASM157728v1	1.0
module_33	GCA_003359215.2_ASM335921v2	1.0
module_33	GCA_003359305.2_ASM335930v2	1.0
module_64	GCA_003359305.2_ASM335930v2	1.0
module_64	GCA_003359295.2_ASM335929v2	1.0
module_45	GCA_003359225.2_ASM335922v2	1.0
module_45	GCA_003359295.2_ASM335929v2	1.0
module_45	GCA_003359315.2_ASM335931v2	1.0
module_82	GCA_003359225.2_ASM335922v2	1.0
module_82	GCF_001617545.1_ASM161754v1	1.0
module_43	GCA_003359215.2_ASM335921v2	1.0
module_43	GCF_001617545.1_ASM161754v1	1.0
module_90	GCA_003359305.2_ASM335930v2	1.0
module_90	GCF_001577285.1_ASM157728v1	1.0
module_20	GCF_000191145.1_ASM19114v1	1.0
module_20	GCA_003359275.2_ASM335927v2	1.0
module_20	GCA_003359225.2_ASM335922v2	1.0
module_20	GCA_003359315.2_ASM335931v2	1.0
module_20	GCA_003359295.2_ASM335929v2	1.0
module_61	GCA_003359305.2_ASM335930v2	1.0
module_61	GCA_003359295.2_ASM335929v2	1.0
module_17	GCF_000191145.1_ASM19114v1	1.0
module_17	GCA_003359275.2_ASM335927v2	1.0
module_17	GCA_003359225.2_ASM335922v2	1.0
module_17	GCA_003359315.2_ASM335931v2	1.0
module_17	GCF_001577285.1_ASM157728v1	1.0
module_17	GCA_003359295.2_ASM335929v2	1.0
module_44	GCA_003359225.2_ASM335922v2	1.0
module_44	GCA_003359295.2_ASM335929v2	1.0
module_44	GCA_003359315.2_ASM335931v2	1.0
module_19	GCF_000191145.1_ASM19114v1	1.0
module_19	GCA_003359305.2_ASM335930v2	1.0
module_19	GCF_001577285.1_ASM157728v1	1.0
module_19	GCA_003354845.1_ASM335484v1	1.0
module_77	GCF_001577285.1_ASM157728v1	1.0
module_77	GCF_001617545.1_ASM161754v1	1.0
module_18	GCA_003354845.1_ASM335484v1	1.0
module_18	GCF_000191145.1_ASM19114v1	1.0
module_42	GCA_003359215.2_ASM335921v2	1.0
module_42	GCA_003359305.2_ASM335930v2	1.0
module_32	GCA_003359215.2_ASM335921v2	1.0
module_32	GCA_003359305.2_ASM335930v2	1.0
module_32	GCA_003354845.1_ASM335484v1	1.0
module_57	GCA_003359305.2_ASM335930v2	1.0
module_57	GCA_003359275.2_ASM335927v2	1.0
module_57	GCA_003359225.2_ASM335922v2	1.0
module_57	GCA_003359315.2_ASM335931v2	1.0
module_57	GCA_003359295.2_ASM335929v2	1.0
module_27	GCA_003359215.2_ASM335921v2	1.0
module_27	GCF_001577285.1_ASM157728v1	1.0
module_27	GCA_003354845.1_ASM335484v1	1.0
module_80	GCA_003359305.2_ASM335930v2	1.0
module_80	GCF_001617545.1_ASM161754v1	1.0
module_29	GCF_001617545.1_ASM161754v1	1.0
module_29	GCF_001577285.1_ASM157728v1	1.0
module_29	GCA_003359215.2_ASM335921v2	1.0
module_62	GCA_003359305.2_ASM335930v2	1.0
module_62	GCA_003359295.2_ASM335929v2	1.0
module_38	GCA_003359215.2_ASM335921v2	1.0
module_38	GCF_001617545.1_ASM161754v1	1.0
module_35	GCA_003354845.1_ASM335484v1	1.0
module_35	GCF_001617545.1_ASM161754v1	0.33
module_35	GCA_003359215.2_ASM335921v2	1.0
module_55	GCA_003359315.2_ASM335931v2	1.0
module_55	GCA_003359295.2_ASM335929v2	1.0
module_31	GCA_003359215.2_ASM335921v2	1.0
module_31	GCF_001617545.1_ASM161754v1	1.0
module_69	GCA_003359275.2_ASM335927v2	1.0
module_69	GCA_003359295.2_ASM335929v2	1.0
module_14	GCA_003359305.2_ASM335930v2	1.0
module_14	GCF_000191145.1_ASM19114v1	1.0
module_14	GCF_001577285.1_ASM157728v1	1.0
module_14	GCA_003354845.1_ASM335484v1	1.0
module_39	GCA_003359215.2_ASM335921v2	1.0
module_39	GCF_001617545.1_ASM161754v1	1.0
module_15	GCF_000191145.1_ASM19114v1	1.0
module_15	GCA_003359225.2_ASM335922v2	1.0
module_15	GCA_003359275.2_ASM335927v2	1.0
module_15	GCA_003359305.2_ASM335930v2	1.0
module_15	GCA_003359215.2_ASM335921v2	1.0
module_15	GCA_003354845.1_ASM335484v1	1.0
module_15	GCF_001617545.1_ASM161754v1	1.0
module_15	GCA_003359315.2_ASM335931v2	1.0
module_15	GCA_003359295.2_ASM335929v2	1.0
module_15	GCF_001577285.1_ASM157728v1	1.0
module_86	GCA_003359225.2_ASM335922v2	1.0
module_86	GCF_001577285.1_ASM157728v1	1.0
module_86	GCA_003359315.2_ASM335931v2	1.0
module_12	GCF_000191145.1_ASM19114v1	1.0
module_12	GCA_003359305.2_ASM335930v2	1.0
module_12	GCA_003354845.1_ASM335484v1	1.0
module_71	GCA_003359275.2_ASM335927v2	1.0
module_71	GCA_003359305.2_ASM335930v2	1.0
module_71	GCA_003359315.2_ASM335931v2	1.0
module_71	GCA_003359295.2_ASM335929v2	1.0
module_16	GCF_000191145.1_ASM19114v1	1.0
module_16	GCA_003359225.2_ASM335922v2	1.0
module_16	GCA_003359305.2_ASM335930v2	1.0
module_16	GCA_003359275.2_ASM335927v2	1.0
module_16	GCA_003359215.2_ASM335921v2	1.0
module_16	GCA_003354845.1_ASM335484v1	1.0
module_16	GCF_001617545.1_ASM161754v1	1.0
module_16	GCA_003359315.2_ASM335931v2	1.0
module_16	GCF_001577285.1_ASM157728v1	1.0
module_16	GCA_003359295.2_ASM335929v2	1.0
module_40	GCA_003359215.2_ASM335921v2	1.0
module_40	GCF_001617545.1_ASM161754v1	1.0
module_26	GCA_003359215.2_ASM335921v2	1.0
module_26	GCF_001617545.1_ASM161754v1	1.0
module_87	GCA_003359315.2_ASM335931v2	1.0
module_87	GCF_001577285.1_ASM157728v1	1.0
module_24	GCF_000191145.1_ASM19114v1	1.0
module_24	GCF_001617545.1_ASM161754v1	1.0
module_24	GCA_003359305.2_ASM335930v2	1.0
module_24	GCF_001577285.1_ASM157728v1	1.0
module_24	GCA_003359215.2_ASM335921v2	1.0
