"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Accessory Fragment","Genome Fragment","Order within Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_000307975.2_ASM30797v2","GCA_003012895.2_ASM301289v2","GCA_000015425.1_ASM1542v1","GCA_000189735.2_ASM18973v2","GCA_002009115.1_ASM200911v1","GCA_002762545.2_ASM276254v2","GCA_003359255.2_ASM335925v2","GCA_003627485.2_ASM362748v2","GCA_005280395.1_ASM528039v1","GCA_005280355.1_ASM528035v1"
"GCA_003627485.2_ASM362748v2_CDS_1576","cloud","","1","1","1.0","NA","NA","","","","692","692","692.0","","","","","","","","GCA_003627485.2_ASM362748v2_CDS_1576","",""
"GCA_003627485.2_ASM362748v2_CDS_2120","cloud","","2","3","1.5","NA","NA","","","","386","386","386.0","","","","","","GCA_002762545.2_ASM276254v2_CDS_3199" "GCA_002762545.2_ASM276254v2_CDS_3508","","GCA_003627485.2_ASM362748v2_CDS_2120","",""
"GCA_003012895.2_ASM301289v2_CDS_3406","cloud","","1","1","1.0","NA","NA","","","","1175","1175","1175.0","","GCA_003012895.2_ASM301289v2_CDS_3406","","","","","","","",""
"GCA_003012895.2_ASM301289v2_CDS_3630","cloud","","1","1","1.0","NA","NA","","","","317","317","317.0","","GCA_003012895.2_ASM301289v2_CDS_3630","","","","","","","",""
"GCA_003012895.2_ASM301289v2_CDS_3758","cloud","","1","1","1.0","NA","NA","","","","209","209","209.0","","GCA_003012895.2_ASM301289v2_CDS_3758","","","","","","","",""
"GCA_000015425.1_ASM1542v1_CDS_0664","cloud","","2","2","1.0","NA","NA","","","","719","1331","1025.0","","","GCA_000015425.1_ASM1542v1_CDS_0664","","","","","","GCA_005280395.1_ASM528039v1_CDS_4373",""
"GCA_000015425.1_ASM1542v1_CDS_0696","cloud","","2","2","1.0","NA","NA","","","","857","857","857.0","","","GCA_000015425.1_ASM1542v1_CDS_0696","","","","","","GCA_005280395.1_ASM528039v1_CDS_4154",""
"GCA_000015425.1_ASM1542v1_CDS_0728","cloud","","2","2","1.0","NA","NA","","","","629","629","629.0","","","GCA_000015425.1_ASM1542v1_CDS_0728","","","","","","GCA_005280395.1_ASM528039v1_CDS_4189",""
"GCA_000015425.1_ASM1542v1_CDS_0760","cloud","","1","1","1.0","NA","NA","","","","827","827","827.0","","","GCA_000015425.1_ASM1542v1_CDS_0760","","","","","","",""
"GCA_000015425.1_ASM1542v1_CDS_0792","cloud","","1","1","1.0","NA","NA","","","","1226","1226","1226.0","","","GCA_000015425.1_ASM1542v1_CDS_0792","","","","","","",""
