gene	contig	start	stop	strand	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
GCF_002688565.1_ASM268856v1_CDS_0001	NZ_CP024011.1	11	448	+	GCF_002688565.1_ASM268856v1_CDS_2959	4	cloud	0	0	4
GCF_002688565.1_ASM268856v1_CDS_0002	NZ_CP024011.1	650	976	+	GCF_002688565.1_ASM268856v1_CDS_2959	4	cloud	0	0	4
GCF_002688565.1_ASM268856v1_CDS_0003	NZ_CP024011.1	966	1364	+	GCF_002688565.1_ASM268856v1_CDS_2959	4	cloud	0	0	4
GCF_002688565.1_ASM268856v1_CDS_0004	NZ_CP024011.1	1389	1598	-	GCF_002934695.1_ASM293469v1_CDS_1762	2	cloud	0	0	6
GCF_002688565.1_ASM268856v1_CDS_0005	NZ_CP024011.1	1994	2248	+	GCF_002688565.1_ASM268856v1_CDS_2961	3	cloud	1	0	2
GCF_002688565.1_ASM268856v1_CDS_0006	NZ_CP024011.1	2754	2867	+	GCF_002688565.1_ASM268856v1_CDS_2961	3	cloud	1	0	2
GCF_002688565.1_ASM268856v1_CDS_0007	NZ_CP024011.1	3429	3872	+	GCF_002688565.1_ASM268856v1_CDS_0007	1	cloud	1	0	1
GCF_002688565.1_ASM268856v1_CDS_0008	NZ_CP024011.1	3880	4290	+	GCF_002165305.2_ASM216530v2_CDS_0877	2	persistent	2	0	18
GCF_002688565.1_ASM268856v1_CDS_0009	NZ_CP024011.1	4272	4517	+	GCF_002688565.1_ASM268856v1_CDS_0009	1	cloud	1	0	1
GCF_002688565.1_ASM268856v1_CDS_0010	NZ_CP024011.1	5218	5472	+	GCF_002934695.1_ASM293469v1_CDS_1769	2	cloud	2	0	8
GCF_002688565.1_ASM268856v1_CDS_0011	NZ_CP024011.1	6036	6227	+	GCF_002934695.1_ASM293469v1_CDS_1770	2	cloud	1	0	1
GCF_002688565.1_ASM268856v1_CDS_0012	NZ_CP024011.1	6510	6986	-	GCA_001581975.1_ASM158197v1_CDS_1163	3	persistent	2	0	9
GCF_002688565.1_ASM268856v1_CDS_0013	NZ_CP024011.1	7034	7441	-	GCA_001581975.1_ASM158197v1_CDS_1163	3	persistent	2	0	9
GCF_002688565.1_ASM268856v1_CDS_0014	NZ_CP024011.1	7438	7890	-	GCF_002688565.1_ASM268856v1_CDS_0014	1	cloud	2	0	0
GCF_002688565.1_ASM268856v1_CDS_0015	NZ_CP024011.1	8107	9120	+	GCA_001581975.1_ASM158197v1_CDS_1162	2	persistent	3	0	7
GCF_002688565.1_ASM268856v1_CDS_0016	NZ_CP024011.1	9531	12035	+	GCF_002688565.1_ASM268856v1_CDS_0016	2	cloud	2	0	1
GCF_002688565.1_ASM268856v1_CDS_0017	NZ_CP024011.1	12205	12597	+	GCF_002688565.1_ASM268856v1_CDS_0017	2	persistent	1	1	9
GCF_002688565.1_ASM268856v1_CDS_0018	NZ_CP024011.1	12743	13582	-	GCF_002688565.1_ASM268856v1_CDS_0018	2	cloud	1	0	1
GCF_002688565.1_ASM268856v1_CDS_0019	NZ_CP024011.1	13634	14995	-	GCA_001581975.1_ASM158197v1_CDS_0669	2	cloud	0	0	7
GCF_002688565.1_ASM268856v1_CDS_0020	NZ_CP024011.1	15029	15610	-	GCF_001612555.1_ASM161255v1_CDS_2054	2	cloud	0	0	2
GCF_002688565.1_ASM268856v1_CDS_0021	NZ_CP024011.1	15690	16070	-	GCF_002688565.1_ASM268856v1_CDS_0021	2	cloud	0	0	4
GCF_002688565.1_ASM268856v1_CDS_0022	NZ_CP024011.1	16104	16865	-	GCA_001581975.1_ASM158197v1_CDS_0672	2	cloud	0	0	2
GCF_002688565.1_ASM268856v1_CDS_0023	NZ_CP024011.1	16862	17968	-	GCF_002688565.1_ASM268856v1_CDS_0023	2	cloud	0	0	5
GCF_002688565.1_ASM268856v1_CDS_0024	NZ_CP024011.1	18305	19096	-	GCF_002688565.1_ASM268856v1_CDS_0024	2	cloud	0	0	2
GCF_002688565.1_ASM268856v1_CDS_0025	NZ_CP024011.1	19177	19434	-	GCF_002688565.1_ASM268856v1_CDS_0025	2	cloud	1	0	1
GCF_002688565.1_ASM268856v1_CDS_0026	NZ_CP024011.1	19580	20764	-	GCA_001581975.1_ASM158197v1_CDS_1151	2	persistent	3	0	8
GCF_002688565.1_ASM268856v1_CDS_0027	NZ_CP024011.1	20938	21696	+	GCF_001612555.1_ASM161255v1_CDS_2224	2	persistent	2	0	2
GCF_002688565.1_ASM268856v1_CDS_0028	NZ_CP024011.1	21851	22477	+	GCF_001612555.1_ASM161255v1_CDS_2225	2	persistent	2	0	10
GCF_002688565.1_ASM268856v1_CDS_0029	NZ_CP024011.1	23269	23742	+	GCF_001647675.1_ASM164767v1_CDS_0808	2	cloud	1	0	4
GCF_002688565.1_ASM268856v1_CDS_0030	NZ_CP024011.1	23762	24028	-	GCF_002688565.1_ASM268856v1_CDS_0030	2	cloud	0	0	3
GCF_002688565.1_ASM268856v1_CDS_0031	NZ_CP024011.1	24147	25379	-	GCF_002688565.1_ASM268856v1_CDS_2984	2	cloud	0	1	2
GCF_002688565.1_ASM268856v1_CDS_0032	NZ_CP024011.1	25485	26363	-	GCF_002688565.1_ASM268856v1_CDS_0032	2	shell	0	0	10
GCF_002688565.1_ASM268856v1_CDS_0033	NZ_CP024011.1	26370	26891	-	GCF_001612555.1_ASM161255v1_CDS_2233	2	cloud	1	1	5
GCF_002688565.1_ASM268856v1_CDS_0034	NZ_CP024011.1	26884	27165	-	GCF_002934695.1_ASM293469v1_CDS_1791	1	cloud	1	0	1
