gene	contig	start	stop	strand	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
GCA_003359395.2_ASM335939v2_CDS_0001	CP033550.1	1	387	+	GCF_002951295.1_ASM295129v1_CDS_3400	3	persistent	2	0	0
GCA_003359395.2_ASM335939v2_CDS_0002	CP033550.1	435	983	+	GCF_002951295.1_ASM295129v1_CDS_3400	3	persistent	2	0	0
GCA_003359395.2_ASM335939v2_CDS_0003	CP033550.1	941	1396	+	GCF_002951295.1_ASM295129v1_CDS_3400	3	persistent	2	0	0
GCA_003359395.2_ASM335939v2_CDS_0004	CP033550.1	1494	2642	+	GCA_003359435.2_ASM335943v2_CDS_0004	1	persistent	2	0	0
GCA_003359395.2_ASM335939v2_CDS_0005	CP033550.1	2860	3735	+	GCF_002951295.1_ASM295129v1_CDS_3402	1	persistent	2	0	0
GCA_003359395.2_ASM335939v2_CDS_0006	CP033550.1	3788	6256	+	GCF_002951295.1_ASM295129v1_CDS_3403	1	persistent	2	0	1
GCA_003359395.2_ASM335939v2_CDS_0007	CP033550.1	6294	6509	+	GCF_002951295.1_ASM295129v1_CDS_3404	1	persistent	2	0	0
GCA_003359395.2_ASM335939v2_CDS_0008	CP033550.1	6772	7266	-	GCF_002951295.1_ASM295129v1_CDS_3405	1	persistent	2	0	0
GCA_003359395.2_ASM335939v2_CDS_0009	CP033550.1	7592	8491	-	GCF_002951295.1_ASM295129v1_CDS_3406	2	persistent	2	0	0
GCA_003359395.2_ASM335939v2_CDS_0010	CP033550.1	8488	9459	-	GCF_002951295.1_ASM295129v1_CDS_3406	2	persistent	2	0	0
GCA_003359395.2_ASM335939v2_CDS_0011	CP033550.1	9778	10710	+	GCF_002951295.1_ASM295129v1_CDS_3407	1	persistent	2	0	0
GCA_003359395.2_ASM335939v2_CDS_0012	CP033550.1	11055	11573	+	GCA_003359435.2_ASM335943v2_CDS_0013	3	persistent	2	0	0
GCA_003359395.2_ASM335939v2_CDS_0013	CP033550.1	11558	11761	+	GCA_003359435.2_ASM335943v2_CDS_0013	3	persistent	2	0	0
