#duplication_margin=0.05
persistent_family	duplication_ratio	mean_presence	is_single_copy_marker
GCA_003359225.2_ASM335922v2_CDS_4574	0.0	1.0	True
GCA_003359225.2_ASM335922v2_CDS_4702	0.0	1.0	True
GCA_003359305.2_ASM335930v2_CDS_2310	0.0	1.0	True
GCA_003359305.2_ASM335930v2_CDS_2918	0.5	1.75	False
GCA_003359305.2_ASM335930v2_CDS_3366	0.6	2.0	False
GCA_003359305.2_ASM335930v2_CDS_4230	0.0	1.0	True
GCA_003359305.2_ASM335930v2_CDS_4902	0.0	1.0	True
GCA_003359305.2_ASM335930v2_CDS_4998	0.0	1.0	True
GCA_003354845.1_ASM335484v1_CDS_4134	0.0	1.0	True
GCA_003354845.1_ASM335484v1_CDS_4230	0.1	1.1	False
GCA_003359215.2_ASM335921v2_CDS_5145	0.1	1.1	False
GCA_003359295.2_ASM335929v2_CDS_0056	0.0	1.0	True
GCA_003359295.2_ASM335929v2_CDS_0120	0.0	1.0	True
GCF_000191145.1_ASM19114v1_CDS_0046	0.1	1.1	False
GCF_000191145.1_ASM19114v1_CDS_0078	0.4	1.4	False
GCF_000191145.1_ASM19114v1_CDS_0239	0.4	1.5	False
GCA_003359315.2_ASM335931v2_CDS_4010	0.0	1.0	True
GCA_003359305.2_ASM335930v2_CDS_0036	0.167	1.167	False
GCA_003359305.2_ASM335930v2_CDS_0356	0.2	1.3	False
GCA_003359275.2_ASM335927v2_CDS_2617	0.2	1.3	False
GCA_003359275.2_ASM335927v2_CDS_3257	0.0	1.0	True
GCA_003359275.2_ASM335927v2_CDS_4795	0.0	1.0	True
GCA_003359275.2_ASM335927v2_CDS_4891	0.0	1.0	True
GCA_003359215.2_ASM335921v2_CDS_1240	0.6	2.1	False
GCA_003359215.2_ASM335921v2_CDS_1336	0.1	1.1	False
GCA_003359215.2_ASM335921v2_CDS_1368	0.4	1.4	False
GCA_003359215.2_ASM335921v2_CDS_2200	0.0	1.0	True
GCA_003359215.2_ASM335921v2_CDS_2680	0.0	1.0	True
GCA_003359215.2_ASM335921v2_CDS_3000	0.3	1.3	False
GCA_003359215.2_ASM335921v2_CDS_3192	0.0	1.0	True
GCA_003359225.2_ASM335922v2_CDS_5156	0.5	1.6	False
GCF_000191145.1_ASM19114v1_CDS_0017	0.5	1.6	False
GCF_000191145.1_ASM19114v1_CDS_0146	0.5	1.5	False
GCF_000191145.1_ASM19114v1_CDS_0210	0.5	1.6	False
GCF_000191145.1_ASM19114v1_CDS_0274	0.4	1.4	False
GCF_000191145.1_ASM19114v1_CDS_0402	0.5	1.6	False
GCF_000191145.1_ASM19114v1_CDS_0690	0.0	1.0	True
GCF_000191145.1_ASM19114v1_CDS_0818	0.4	1.4	False
GCF_000191145.1_ASM19114v1_CDS_1266	0.25	1.25	False
GCF_000191145.1_ASM19114v1_CDS_1490	0.1	1.1	False
GCF_000191145.1_ASM19114v1_CDS_1810	0.6	1.6	False
GCA_003354845.1_ASM335484v1_CDS_1195	0.4	1.4	False
GCA_003354845.1_ASM335484v1_CDS_1419	0.4	1.5	False
GCA_003354845.1_ASM335484v1_CDS_2219	0.143	1.143	False
GCA_003354845.1_ASM335484v1_CDS_2827	0.0	1.0	True
GCF_001617545.1_ASM161754v1_CDS_1855	0.0	1.0	True
GCF_001617545.1_ASM161754v1_CDS_3071	0.5	1.7	False
GCF_001617545.1_ASM161754v1_CDS_3519	0.2	1.3	False
GCF_001577285.1_ASM157728v1_CDS_0344	0.6	2.0	False
GCA_003359275.2_ASM335927v2_CDS_5152	0.3	1.3	False
GCA_003354845.1_ASM335484v1_CDS_0588	0.4	1.4	False
GCA_003359305.2_ASM335930v2_CDS_2543	0.0	1.0	True
GCA_003359275.2_ASM335927v2_CDS_3743	0.4	1.5	False
GCA_003359275.2_ASM335927v2_CDS_3775	0.0	1.0	True
GCA_003359275.2_ASM335927v2_CDS_4577	0.0	1.0	True
GCA_003359215.2_ASM335921v2_CDS_3422	0.3	1.3	False
GCA_003359305.2_ASM335930v2_CDS_5331	0.0	1.0	True
GCA_003354845.1_ASM335484v1_CDS_1393	0.2	1.2	False
GCA_003359295.2_ASM335929v2_CDS_4458	0.0	1.0	True
GCF_001617545.1_ASM161754v1_CDS_0643	0.3	1.5	False
GCF_001617545.1_ASM161754v1_CDS_1252	0.2	1.2	False
GCF_001617545.1_ASM161754v1_CDS_1829	0.111	1.111	False
GCA_003359225.2_ASM335922v2_CDS_0106	0.1	1.1	False
GCA_003359225.2_ASM335922v2_CDS_2763	0.3	1.3	False
GCF_001617545.1_ASM161754v1_CDS_3143	0.0	1.0	True
GCF_001577285.1_ASM157728v1_CDS_0192	0.0	1.0	True
GCF_001577285.1_ASM157728v1_CDS_1056	0.5	2.375	False
GCA_003359225.2_ASM335922v2_CDS_4302	0.1	1.1	False
GCA_003359225.2_ASM335922v2_CDS_4814	0.0	1.0	True
GCF_000191145.1_ASM19114v1_CDS_0348	0.5	1.5	False
GCA_003354845.1_ASM335484v1_CDS_3477	0.0	1.0	True
GCA_003354845.1_ASM335484v1_CDS_4309	0.6	1.7	False
GCA_003359315.2_ASM335931v2_CDS_0339	0.0	1.0	True
GCF_001617545.1_ASM161754v1_CDS_1448	0.6	1.9	False
GCF_001617545.1_ASM161754v1_CDS_2185	0.111	1.111	False
GCF_001617545.1_ASM161754v1_CDS_2729	0.6	1.6	False
GCA_003359305.2_ASM335930v2_CDS_2071	0.0	1.0	True
GCA_003359225.2_ASM335922v2_CDS_0878	0.5	1.5	False
GCA_003359315.2_ASM335931v2_CDS_2041	0.0	1.0	True
GCA_003359315.2_ASM335931v2_CDS_3929	0.0	1.0	True
GCF_001617545.1_ASM161754v1_CDS_3147	0.1	1.1	False
GCF_001577285.1_ASM157728v1_CDS_0132	0.6	1.6	False
GCF_001577285.1_ASM157728v1_CDS_0388	0.167	1.167	False
GCA_003354845.1_ASM335484v1_CDS_3609	0.9	3.4	False
GCA_003354845.1_ASM335484v1_CDS_4602	0.2	1.2	False
GCA_003359315.2_ASM335931v2_CDS_2716	0.1	1.1	False
GCA_003359315.2_ASM335931v2_CDS_2780	0.1	1.1	False
GCF_001617545.1_ASM161754v1_CDS_2478	0.3	1.3	False
GCF_001617545.1_ASM161754v1_CDS_2702	0.333	1.333	False
GCF_001617545.1_ASM161754v1_CDS_2734	0.1	1.1	False
GCF_001617545.1_ASM161754v1_CDS_2894	0.0	1.0	True
GCF_001617545.1_ASM161754v1_CDS_2958	0.3	1.4	False
GCF_001617545.1_ASM161754v1_CDS_3054	0.0	1.0	True
GCF_001617545.1_ASM161754v1_CDS_3086	0.0	1.0	True
GCF_001617545.1_ASM161754v1_CDS_3118	0.1	1.1	False
GCF_001617545.1_ASM161754v1_CDS_3150	0.1	1.1	False
GCF_001617545.1_ASM161754v1_CDS_3278	0.0	1.0	True
GCF_001617545.1_ASM161754v1_CDS_3310	0.0	1.0	True
GCF_001617545.1_ASM161754v1_CDS_3406	0.0	1.0	True
GCF_001617545.1_ASM161754v1_CDS_3470	0.3	1.3	False
GCF_001617545.1_ASM161754v1_CDS_3598	0.6	1.7	False
GCF_001617545.1_ASM161754v1_CDS_3630	0.4	1.5	False
