module_id	family_id
module_12	GCA_014718155.1_ASM1471815v1_CDS_1807
module_12	GCA_014718155.1_ASM1471815v1_CDS_1809
module_12	GCA_014718155.1_ASM1471815v1_CDS_1812
module_12	GCA_014718155.1_ASM1471815v1_CDS_1808
module_12	GCA_014718535.1_ASM1471853v1_CDS_1835
module_47	GCA_014717695.1_ASM1471769v1_CDS_2590
module_47	GCA_014717935.1_ASM1471793v1_CDS_2616
module_47	GCA_014717695.1_ASM1471769v1_CDS_2589
module_119	GCA_014718755.1_ASM1471875v1_CDS_0837
module_119	GCA_014720295.1_ASM1472029v1_CDS_3239
module_119	GCA_014718755.1_ASM1471875v1_CDS_0830
module_119	GCA_014720295.1_ASM1472029v1_CDS_3235
module_119	GCA_014720295.1_ASM1472029v1_CDS_3246
module_119	GCA_014720295.1_ASM1472029v1_CDS_3244
module_119	GCA_014720295.1_ASM1472029v1_CDS_3242
module_119	GCA_014718755.1_ASM1471875v1_CDS_0838
module_119	GCA_014720295.1_ASM1472029v1_CDS_3238
module_119	GCA_014720295.1_ASM1472029v1_CDS_3232
module_119	GCA_014720295.1_ASM1472029v1_CDS_3245
module_119	GCA_014720295.1_ASM1472029v1_CDS_3240
module_36	GCA_014718155.1_ASM1471815v1_CDS_1299
module_36	GCA_014717695.1_ASM1471769v1_CDS_1249
module_36	GCA_014718155.1_ASM1471815v1_CDS_1296
module_36	GCA_014717695.1_ASM1471769v1_CDS_1256
module_36	GCA_014718155.1_ASM1471815v1_CDS_1298
module_36	GCA_014718155.1_ASM1471815v1_CDS_1282
module_36	GCA_014718155.1_ASM1471815v1_CDS_1277
module_36	GCA_014718155.1_ASM1471815v1_CDS_1287
module_36	GCA_014718155.1_ASM1471815v1_CDS_1284
module_36	GCA_014717695.1_ASM1471769v1_CDS_1255
module_36	GCA_014718155.1_ASM1471815v1_CDS_1285
module_36	GCA_014718155.1_ASM1471815v1_CDS_1301
module_36	GCA_014718155.1_ASM1471815v1_CDS_1278
module_36	GCA_014718155.1_ASM1471815v1_CDS_1297
module_36	GCA_014718155.1_ASM1471815v1_CDS_1289
module_36	GCA_014717695.1_ASM1471769v1_CDS_1254
module_36	GCA_014718155.1_ASM1471815v1_CDS_1286
