#soft_core=0.95
#duplication_margin=0.05
organism	nb_families	nb_persistent_families	nb_shell_families	nb_cloud_families	nb_exact_core	nb_soft_core	nb_genes	nb_persistent_genes	nb_shell_genes	nb_cloud_genes	nb_exact_core_genes	nb_soft_core_genes	completeness	nb_single_copy_markers
GCA_014720715.1_ASM1472071v1	3555	3101	34	420	2820	2820	3992	3482	38	472	3138	3138	97.86	2154
GCA_014717695.1_ASM1471769v1	3664	3101	75	488	2820	2820	3901	3267	78	556	2966	2966	97.86	2154
GCA_014718155.1_ASM1471815v1	3692	3097	106	489	2820	2820	3886	3237	109	540	2940	2940	97.68	2150
GCA_014718535.1_ASM1471853v1	3595	3082	99	414	2820	2820	4048	3471	110	467	3130	3130	97.14	2138
GCA_014719655.1_ASM1471965v1	3730	3100	270	360	2820	2820	4040	3299	294	447	3001	3001	98.09	2159
GCA_014718955.1_ASM1471895v1	3998	3028	192	778	2820	2820	4385	3271	225	889	3001	3001	95.41	2100
GCA_014718755.1_ASM1471875v1	3987	3148	744	95	2820	2820	4219	3270	816	133	2925	2925	99.55	2191
GCA_014717935.1_ASM1471793v1	3963	3115	200	648	2820	2820	4292	3297	243	752	2955	2955	98.27	2163
GCA_014722275.1_ASM1472227v1	4065	3138	867	60	2820	2820	4328	3322	945	61	2988	2988	99.09	2181
GCA_014720295.1_ASM1472029v1	4201	3141	872	188	2820	2820	4511	3345	969	197	3004	3004	99.14	2182
