gene	contig	start	stop	strand	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
GCA_010918035.1_ASM1091803v1_CDS_0001	CP046595.1	5946	7175	+	GCF_010917815.1_ASM1091781v1_CDS_0180	1	persistent	3	0	0
GCA_010918035.1_ASM1091803v1_CDS_0002	CP046595.1	7302	9701	+	GCF_002953575.2_ASM295357v2_CDS_2851	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0003	CP046595.1	10015	10548	+	GCA_010918035.1_ASM1091803v1_CDS_0003	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0004	CP046595.1	10587	10970	-	GCA_010918035.1_ASM1091803v1_CDS_0004	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0005	CP046595.1	11407	12462	-	GCA_010918035.1_ASM1091803v1_CDS_0005	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0006	CP046595.1	12472	13485	-	GCF_009914395.1_ASM991439v1_CDS_2599	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0007	CP046595.1	13535	14320	-	GCA_010918035.1_ASM1091803v1_CDS_0007	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0008	CP046595.1	14398	15789	-	GCF_009914415.1_ASM991441v1_CDS_2636	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0009	CP046595.1	15966	17780	+	GCF_009296145.1_ASM929614v1_CDS_0199	1	persistent	3	0	0
GCA_010918035.1_ASM1091803v1_CDS_0010	CP046595.1	17940	18905	+	GCF_009296145.1_ASM929614v1_CDS_0200	1	persistent	3	0	1
GCA_010918035.1_ASM1091803v1_CDS_0011	CP046595.1	18984	19604	-	GCF_009914375.1_ASM991437v1_CDS_0396	1	persistent	2	0	1
GCA_010918035.1_ASM1091803v1_CDS_0012	CP046595.1	19942	21519	+	GCF_009914415.1_ASM991441v1_CDS_2632	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0013	CP046595.1	21599	22066	+	GCF_009914415.1_ASM991441v1_CDS_2631	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0014	CP046595.1	22130	22774	+	GCF_009914415.1_ASM991441v1_CDS_2630	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0015	CP046595.1	22919	24238	+	GCF_009914435.1_ASM991443v1_CDS_2594	1	persistent	2	0	1
GCA_010918035.1_ASM1091803v1_CDS_0016	CP046595.1	24495	26714	+	GCF_002953575.2_ASM295357v2_CDS_2837	1	persistent	2	0	1
GCA_010918035.1_ASM1091803v1_CDS_0017	CP046595.1	26864	28540	+	GCF_002953575.2_ASM295357v2_CDS_2836	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0018	CP046595.1	28576	28962	-	GCF_002953575.2_ASM295357v2_CDS_2835	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0019	CP046595.1	29066	29467	+	GCF_002953575.2_ASM295357v2_CDS_2834	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0020	CP046595.1	29585	30109	+	GCF_002953575.2_ASM295357v2_CDS_2833	1	persistent	1	0	4
GCA_010918035.1_ASM1091803v1_CDS_0021	CP046595.1	30212	31540	-	GCF_009914375.1_ASM991437v1_CDS_0386	1	cloud	1	1	1
GCA_010918035.1_ASM1091803v1_CDS_0022	CP046595.1	32298	33059	+	GCF_009296145.1_ASM929614v1_CDS_0212	1	shell	1	0	3
GCA_010918035.1_ASM1091803v1_CDS_0023	CP046595.1	33133	34623	-	GCF_009296145.1_ASM929614v1_CDS_0213	1	persistent	1	1	4
GCA_010918035.1_ASM1091803v1_CDS_0024	CP046595.1	34693	34920	-	GCF_009914395.1_ASM991439v1_CDS_2580	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0025	CP046595.1	35197	35535	+	GCF_009734145.1_ASM973414v1_CDS_0219	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0026	CP046595.1	35598	37001	+	GCF_009914395.1_ASM991439v1_CDS_2578	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0027	CP046595.1	37141	37599	+	GCF_009914475.1_ASM991447v1_CDS_2546	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0028	CP046595.1	37623	38711	+	GCF_009914475.1_ASM991447v1_CDS_2547	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0029	CP046595.1	38708	39997	+	GCF_009914475.1_ASM991447v1_CDS_2548	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0030	CP046595.1	40025	40684	+	GCF_009914475.1_ASM991447v1_CDS_2549	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0031	CP046595.1	40797	41342	+	GCF_009914475.1_ASM991447v1_CDS_2550	1	persistent	3	0	0
GCA_010918035.1_ASM1091803v1_CDS_0032	CP046595.1	41424	41642	-	GCF_010917815.1_ASM1091781v1_CDS_0211	1	persistent	3	0	0
GCA_010918035.1_ASM1091803v1_CDS_0033	CP046595.1	41851	42471	-	GCF_010917815.1_ASM1091781v1_CDS_0212	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0034	CP046595.1	42495	42902	-	GCF_010917815.1_ASM1091781v1_CDS_0213	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0035	CP046595.1	42895	44343	-	GCA_010918035.1_ASM1091803v1_CDS_0035	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0036	CP046595.1	44502	45602	+	GCA_010918035.1_ASM1091803v1_CDS_0036	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0037	CP046595.1	45604	46674	+	GCA_010918035.1_ASM1091803v1_CDS_0037	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0038	CP046595.1	46793	48340	+	GCA_010918035.1_ASM1091803v1_CDS_0038	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0039	CP046595.1	48364	49533	+	GCA_010918035.1_ASM1091803v1_CDS_0039	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0040	CP046595.1	49552	50961	-	GCF_009914375.1_ASM991437v1_CDS_0367	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0041	CP046595.1	50979	52547	-	GCF_009296145.1_ASM929614v1_CDS_0231	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0042	CP046595.1	52562	53197	-	GCF_009914375.1_ASM991437v1_CDS_0365	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0043	CP046595.1	53439	54497	+	GCF_009914375.1_ASM991437v1_CDS_0364	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0044	CP046595.1	54590	55735	-	GCF_009914415.1_ASM991441v1_CDS_2599	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0045	CP046595.1	55793	57097	-	GCF_009914415.1_ASM991441v1_CDS_2598	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0046	CP046595.1	57220	58032	-	GCF_009914435.1_ASM991443v1_CDS_2563	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0047	CP046595.1	58130	59047	-	GCF_009914435.1_ASM991443v1_CDS_2562	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0048	CP046595.1	59216	59476	+	GCF_002953575.2_ASM295357v2_CDS_2776	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0049	CP046595.1	59473	61326	+	GCF_002953575.2_ASM295357v2_CDS_2775	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0050	CP046595.1	61352	61600	+	GCF_002953575.2_ASM295357v2_CDS_2774	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0051	CP046595.1	61755	63107	+	GCF_002953575.2_ASM295357v2_CDS_2773	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0052	CP046595.1	63122	64318	+	GCF_002953575.2_ASM295357v2_CDS_2772	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0053	CP046595.1	64307	64567	-	GCF_002953575.2_ASM295357v2_CDS_2771	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0054	CP046595.1	64619	65539	-	GCF_002953575.2_ASM295357v2_CDS_2770	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0055	CP046595.1	65542	66069	-	GCF_002953575.2_ASM295357v2_CDS_2769	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0056	CP046595.1	66284	67087	-	GCF_009734145.1_ASM973414v1_CDS_0250	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0057	CP046595.1	67109	67717	-	GCF_009734145.1_ASM973414v1_CDS_0251	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0058	CP046595.1	67795	69690	-	GCF_009914475.1_ASM991447v1_CDS_2578	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0059	CP046595.1	69966	70952	-	GCF_009914475.1_ASM991447v1_CDS_2579	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0060	CP046595.1	71337	72677	+	GCF_009914475.1_ASM991447v1_CDS_2580	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0061	CP046595.1	72802	73524	+	GCF_009914475.1_ASM991447v1_CDS_2581	1	persistent	3	0	1
GCA_010918035.1_ASM1091803v1_CDS_0062	CP046595.1	74266	74508	-	GCF_009914475.1_ASM991447v1_CDS_2582	1	persistent	4	0	1
GCA_010918035.1_ASM1091803v1_CDS_0063	CP046595.1	74530	75909	-	GCF_009914475.1_ASM991447v1_CDS_2583	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0064	CP046595.1	75951	77105	+	GCF_009914475.1_ASM991447v1_CDS_2584	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0065	CP046595.1	77161	77901	+	GCF_009914475.1_ASM991447v1_CDS_2585	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0066	CP046595.1	78007	78927	+	GCF_009914475.1_ASM991447v1_CDS_2586	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0067	CP046595.1	78929	79708	+	GCA_010918035.1_ASM1091803v1_CDS_0067	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0068	CP046595.1	79705	80550	+	GCA_010918035.1_ASM1091803v1_CDS_0068	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0069	CP046595.1	80553	81746	+	GCF_009914415.1_ASM991441v1_CDS_2574	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0070	CP046595.1	81757	82185	+	GCA_010918035.1_ASM1091803v1_CDS_0070	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0071	CP046595.1	82331	82657	+	GCF_009296145.1_ASM929614v1_CDS_0263	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0072	CP046595.1	82821	83561	+	GCF_009296145.1_ASM929614v1_CDS_0264	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0073	CP046595.1	83561	84397	+	GCF_009914375.1_ASM991437v1_CDS_0334	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0074	CP046595.1	84438	86687	+	GCF_009914375.1_ASM991437v1_CDS_0333	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0075	CP046595.1	86754	87461	+	GCF_009914375.1_ASM991437v1_CDS_0332	1	persistent	2	0	1
GCA_010918035.1_ASM1091803v1_CDS_0076	CP046595.1	87525	88196	+	GCF_009296145.1_ASM929614v1_CDS_0268	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0077	CP046595.1	88317	89810	+	GCF_009914415.1_ASM991441v1_CDS_2566	1	persistent	2	0	1
GCA_010918035.1_ASM1091803v1_CDS_0078	CP046595.1	90475	91665	+	GCF_009296145.1_ASM929614v1_CDS_2280	2	persistent	4	0	0
GCA_010918035.1_ASM1091803v1_CDS_0079	CP046595.1	91865	92305	+	GCF_009914435.1_ASM991443v1_CDS_2530	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0080	CP046595.1	92313	92846	+	GCF_002953575.2_ASM295357v2_CDS_2744	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0081	CP046595.1	92965	93393	+	GCF_002953575.2_ASM295357v2_CDS_2743	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0082	CP046595.1	93397	94092	+	GCF_009914375.1_ASM991437v1_CDS_0325	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0083	CP046595.1	94413	94919	+	GCF_002953575.2_ASM295357v2_CDS_2741	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0084	CP046595.1	94968	95339	+	GCF_002953575.2_ASM295357v2_CDS_2740	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0085	CP046595.1	95649	99737	+	GCF_002953575.2_ASM295357v2_CDS_2739	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0086	CP046595.1	99893	104083	+	GCF_002953575.2_ASM295357v2_CDS_2738	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0087	CP046595.1	104308	104664	+	GCF_002953575.2_ASM295357v2_CDS_2737	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0088	CP046595.1	104772	105203	-	GCF_009734145.1_ASM973414v1_CDS_0283	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0089	CP046595.1	105338	106213	+	GCF_009914395.1_ASM991439v1_CDS_2515	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0090	CP046595.1	106324	107691	+	GCF_009914475.1_ASM991447v1_CDS_2610	1	persistent	3	1	1
GCA_010918035.1_ASM1091803v1_CDS_0091	CP046595.1	108049	108642	+	GCF_009914395.1_ASM991439v1_CDS_2513	1	persistent	3	1	0
GCA_010918035.1_ASM1091803v1_CDS_0092	CP046595.1	108814	109158	+	GCF_009914475.1_ASM991447v1_CDS_2612	1	persistent	2	0	0
GCA_010918035.1_ASM1091803v1_CDS_0093	CP046595.1	109251	111170	+	GCF_009914475.1_ASM991447v1_CDS_2613	1	persistent	3	2	0
