#duplication_margin=0.05
persistent_family	duplication_ratio	mean_presence	is_single_copy_marker
GCA_014718155.1_ASM1471815v1_CDS_1708	0.0	1.0	True
GCA_014718155.1_ASM1471815v1_CDS_1868	0.0	1.0	True
GCA_014718155.1_ASM1471815v1_CDS_1932	0.1	1.1	False
GCA_014718155.1_ASM1471815v1_CDS_1964	0.0	1.0	True
GCA_014718155.1_ASM1471815v1_CDS_2028	0.2	1.2	False
GCA_014718155.1_ASM1471815v1_CDS_2060	0.4	1.5	False
GCA_014718155.1_ASM1471815v1_CDS_2092	0.0	1.0	True
GCA_014718155.1_ASM1471815v1_CDS_2124	0.0	1.0	True
GCA_014718155.1_ASM1471815v1_CDS_2188	0.0	1.0	True
GCA_014718155.1_ASM1471815v1_CDS_2220	0.0	1.0	True
GCA_014718155.1_ASM1471815v1_CDS_2316	0.0	1.0	True
GCA_014718155.1_ASM1471815v1_CDS_2476	0.1	1.1	False
GCA_014718155.1_ASM1471815v1_CDS_2604	0.0	1.0	True
GCA_014718155.1_ASM1471815v1_CDS_2668	0.1	1.1	False
GCA_014718155.1_ASM1471815v1_CDS_2796	0.0	1.0	True
GCA_014718155.1_ASM1471815v1_CDS_2828	0.0	1.0	True
GCA_014718155.1_ASM1471815v1_CDS_2892	0.0	1.0	True
GCA_014718155.1_ASM1471815v1_CDS_2924	0.0	1.0	True
GCA_014718155.1_ASM1471815v1_CDS_2989	0.1	1.1	False
GCA_014718155.1_ASM1471815v1_CDS_3053	0.1	1.2	False
GCA_014718155.1_ASM1471815v1_CDS_3085	0.0	1.0	True
GCA_014718155.1_ASM1471815v1_CDS_3117	0.0	1.0	True
GCA_014718155.1_ASM1471815v1_CDS_3182	0.0	1.0	True
GCA_014718155.1_ASM1471815v1_CDS_3214	0.0	1.0	True
GCA_014718155.1_ASM1471815v1_CDS_3246	0.0	1.0	True
GCA_014718155.1_ASM1471815v1_CDS_3278	0.2	1.2	False
GCA_014718155.1_ASM1471815v1_CDS_3342	0.0	1.0	True
GCA_014718155.1_ASM1471815v1_CDS_3374	0.0	1.0	True
GCA_014718155.1_ASM1471815v1_CDS_3406	0.0	1.0	True
GCA_014718155.1_ASM1471815v1_CDS_3438	0.0	1.0	True
GCA_014718155.1_ASM1471815v1_CDS_3470	0.1	1.1	False
GCA_014718155.1_ASM1471815v1_CDS_3534	0.0	1.0	True
GCA_014718155.1_ASM1471815v1_CDS_3566	0.0	1.0	True
GCA_014718155.1_ASM1471815v1_CDS_3599	0.2	1.2	False
GCA_014718155.1_ASM1471815v1_CDS_3631	0.0	1.0	True
GCA_014718155.1_ASM1471815v1_CDS_3663	0.0	1.0	True
GCA_014718155.1_ASM1471815v1_CDS_3727	0.0	1.0	True
GCA_014718155.1_ASM1471815v1_CDS_3759	0.0	1.0	True
GCA_014718535.1_ASM1471853v1_CDS_0062	0.0	1.0	True
GCA_014718535.1_ASM1471853v1_CDS_0190	0.0	1.0	True
GCA_014718535.1_ASM1471853v1_CDS_0254	0.0	1.0	True
GCA_014718535.1_ASM1471853v1_CDS_0286	0.0	1.0	True
GCA_014718535.1_ASM1471853v1_CDS_0318	0.0	1.0	True
GCA_014718535.1_ASM1471853v1_CDS_0382	0.1	1.1	False
GCA_014718535.1_ASM1471853v1_CDS_0414	0.0	1.0	True
GCA_014718535.1_ASM1471853v1_CDS_0478	0.0	1.0	True
GCA_014718535.1_ASM1471853v1_CDS_0542	0.0	1.0	True
