"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Accessory Fragment","Genome Fragment","Order within Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_001278715.1_ASM127871v1","GCF_002165255.2_ASM216525v2","GCF_001647675.1_ASM164767v1","GCF_002688565.1_ASM268856v1","GCF_002934695.1_ASM293469v1","GCF_002165295.2_ASM216529v2","GCA_001581975.1_ASM158197v1","GCF_001612555.1_ASM161255v1","GCF_001696615.3_ASM169661v3","GCF_002165305.2_ASM216530v2"
"GCF_002165305.2_ASM216530v2_CDS_2678","cloud","","2","2","1.0","NA","NA","","","","821","830","825.5","","GCF_002165255.2_ASM216525v2_CDS_2180","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_2678"
"GCF_002165305.2_ASM216530v2_CDS_2742","cloud","","2","2","1.0","NA","NA","","","","572","572","572.0","","","","","","","","","GCF_001696615.3_ASM169661v3_CDS_1444","GCF_002165305.2_ASM216530v2_CDS_2742"
"GCF_002165305.2_ASM216530v2_CDS_2806","cloud","","1","1","1.0","NA","NA","","","","560","560","560.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_2806"
"GCF_002165305.2_ASM216530v2_CDS_2838","cloud","","1","1","1.0","NA","NA","","","","3752","3752","3752.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_2838"
"GCF_002165305.2_ASM216530v2_CDS_2902","cloud","","1","1","1.0","NA","NA","","","","587","587","587.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_2902"
"GCF_002165305.2_ASM216530v2_CDS_2934","cloud","","1","1","1.0","NA","NA","","","","1298","1298","1298.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_2934"
"GCF_002165305.2_ASM216530v2_CDS_3030","cloud","","1","1","1.0","NA","NA","","","","584","584","584.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_3030"
"GCF_002165305.2_ASM216530v2_CDS_3158","cloud","","1","1","1.0","NA","NA","","","","353","353","353.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_3158"
"GCF_002165305.2_ASM216530v2_CDS_3190","cloud","","1","1","1.0","NA","NA","","","","389","389","389.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_3190"
"GCF_002165305.2_ASM216530v2_CDS_3222","cloud","","1","1","1.0","NA","NA","","","","512","512","512.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_3222"
"GCF_002165305.2_ASM216530v2_CDS_3254","cloud","","1","1","1.0","NA","NA","","","","581","581","581.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_3254"
"GCF_002165305.2_ASM216530v2_CDS_3286","cloud","","1","2","2.0","NA","NA","","","","290","290","290.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_1844" "GCF_002165305.2_ASM216530v2_CDS_3286"
"GCF_002165305.2_ASM216530v2_CDS_3318","cloud","","1","1","1.0","NA","NA","","","","596","596","596.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_3318"
"GCF_002165305.2_ASM216530v2_CDS_3382","cloud","","1","1","1.0","NA","NA","","","","149","149","149.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_3382"
"GCF_002165305.2_ASM216530v2_CDS_3446","cloud","","1","1","1.0","NA","NA","","","","809","809","809.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_3446"
"GCF_002165305.2_ASM216530v2_CDS_3510","cloud","","1","1","1.0","NA","NA","","","","455","455","455.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_3510"
"GCF_002165305.2_ASM216530v2_CDS_3542","cloud","","1","1","1.0","NA","NA","","","","482","482","482.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_3542"
