gene	contig	start	stop	strand	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
GCA_001581975.1_ASM158197v1_CDS_0002	CP014651.1	913	1077	+	GCA_001581975.1_ASM158197v1_CDS_3780	3	cloud	1	0	1
GCA_001581975.1_ASM158197v1_CDS_0003	CP014651.1	1325	1507	+	GCA_001581975.1_ASM158197v1_CDS_3780	3	cloud	1	0	1
GCA_001581975.1_ASM158197v1_CDS_0004	CP014651.1	1660	2247	-	GCA_001581975.1_ASM158197v1_CDS_0004	2	cloud	0	0	2
GCA_001581975.1_ASM158197v1_CDS_0005	CP014651.1	2900	4027	+	GCF_001696615.3_ASM169661v3_CDS_1816	3	cloud	0	0	6
GCA_001581975.1_ASM158197v1_CDS_0006	CP014651.1	4111	4377	+	GCF_001696615.3_ASM169661v3_CDS_1816	3	cloud	0	0	6
GCA_001581975.1_ASM158197v1_CDS_0007	CP014651.1	4390	4533	+	GCF_001696615.3_ASM169661v3_CDS_1815	2	cloud	0	0	8
GCA_001581975.1_ASM158197v1_CDS_0008	CP014651.1	4575	5879	-	GCA_001581975.1_ASM158197v1_CDS_3784	2	cloud	1	0	2
GCA_001581975.1_ASM158197v1_CDS_0009	CP014651.1	5876	6838	-	GCF_002934695.1_ASM293469v1_CDS_2887	1	persistent	1	0	4
GCA_001581975.1_ASM158197v1_CDS_0010	CP014651.1	7228	9015	+	GCF_002165255.2_ASM216525v2_CDS_0024	2	persistent	4	0	6
GCA_001581975.1_ASM158197v1_CDS_0011	CP014651.1	9329	10618	+	GCF_002165255.2_ASM216525v2_CDS_0025	2	cloud	1	0	2
GCA_001581975.1_ASM158197v1_CDS_0012	CP014651.1	10696	11427	+	GCA_001581975.1_ASM158197v1_CDS_3788	2	cloud	0	0	2
GCA_001581975.1_ASM158197v1_CDS_0013	CP014651.1	11436	12326	-	GCA_001581975.1_ASM158197v1_CDS_3789	2	cloud	0	0	2
GCA_001581975.1_ASM158197v1_CDS_0014	CP014651.1	12406	13701	-	GCA_001581975.1_ASM158197v1_CDS_3790	2	cloud	1	0	2
GCA_001581975.1_ASM158197v1_CDS_0015	CP014651.1	13998	15923	-	GCF_002165255.2_ASM216525v2_CDS_0027	3	persistent	2	0	12
GCA_001581975.1_ASM158197v1_CDS_0016	CP014651.1	15995	16243	-	GCA_001581975.1_ASM158197v1_CDS_0016	1	cloud	1	0	0
GCA_001581975.1_ASM158197v1_CDS_0017	CP014651.1	16240	16680	-	GCF_002165255.2_ASM216525v2_CDS_0027	3	persistent	2	0	12
GCA_001581975.1_ASM158197v1_CDS_0018	CP014651.1	16851	17474	-	GCA_001581975.1_ASM158197v1_CDS_0018	2	cloud	1	0	1
GCA_001581975.1_ASM158197v1_CDS_0019	CP014651.1	17781	18215	+	GCA_001581975.1_ASM158197v1_CDS_3793	2	cloud	1	0	2
GCA_001581975.1_ASM158197v1_CDS_0020	CP014651.1	18585	18746	+	GCA_001581975.1_ASM158197v1_CDS_0020	1	cloud	0	0	2
GCA_001581975.1_ASM158197v1_CDS_0021	CP014651.1	18712	18906	+	GCA_001581975.1_ASM158197v1_CDS_0021	1	cloud	1	0	1
GCA_001581975.1_ASM158197v1_CDS_0022	CP014651.1	18981	21833	+	GCF_001696615.3_ASM169661v3_CDS_1797	2	persistent	0	0	19
GCA_001581975.1_ASM158197v1_CDS_0023	CP014651.1	21973	22350	+	GCA_001581975.1_ASM158197v1_CDS_0023	2	cloud	2	0	0
GCA_001581975.1_ASM158197v1_CDS_0024	CP014651.1	22453	23565	+	GCF_002934695.1_ASM293469v1_CDS_2902	3	persistent	1	0	17
GCA_001581975.1_ASM158197v1_CDS_0025	CP014651.1	23680	24033	-	GCA_001581975.1_ASM158197v1_CDS_0025	2	cloud	2	0	1
GCA_001581975.1_ASM158197v1_CDS_0026	CP014651.1	24217	24375	+	GCF_002688565.1_ASM268856v1_CDS_1079	4	persistent	1	0	17
