module_id	family_id
module_61	GCF_002951295.1_ASM295129v1_CDS_1479
module_61	GCF_002951295.1_ASM295129v1_CDS_1481
module_61	GCF_002951295.1_ASM295129v1_CDS_1480
module_42	GCF_004295305.1_ASM429530v1_CDS_1353
module_42	GCF_004295305.1_ASM429530v1_CDS_1356
module_42	GCF_004295305.1_ASM429530v1_CDS_1355
module_42	GCF_004295305.1_ASM429530v1_CDS_1357
module_42	GCF_000814165.3_ASM81416v3_CDS_1295
module_42	GCF_000814165.3_ASM81416v3_CDS_1296
module_42	GCF_004295305.1_ASM429530v1_CDS_1354
module_44	GCF_002951295.1_ASM295129v1_CDS_1444
module_44	GCF_002951295.1_ASM295129v1_CDS_1449
module_44	GCF_004295305.1_ASM429530v1_CDS_1841
module_44	GCF_002951295.1_ASM295129v1_CDS_1440
module_44	GCF_004295305.1_ASM429530v1_CDS_1836
module_44	GCF_002951295.1_ASM295129v1_CDS_1442
module_44	GCF_002951295.1_ASM295129v1_CDS_1441
module_44	GCF_002951295.1_ASM295129v1_CDS_1448
module_44	GCF_002951295.1_ASM295129v1_CDS_1450
module_44	GCF_002951295.1_ASM295129v1_CDS_1443
module_44	GCF_002951295.1_ASM295129v1_CDS_1447
module_43	GCF_000814165.3_ASM81416v3_CDS_1325
module_43	GCF_004295305.1_ASM429530v1_CDS_1383
module_43	GCF_004295305.1_ASM429530v1_CDS_1384
module_43	GCF_004295305.1_ASM429530v1_CDS_1388
module_43	GCF_000814165.3_ASM81416v3_CDS_1324
module_43	GCF_000814165.3_ASM81416v3_CDS_1327
module_43	GCF_000814165.3_ASM81416v3_CDS_1328
module_43	GCF_004295305.1_ASM429530v1_CDS_1387
module_43	GCF_000814165.3_ASM81416v3_CDS_1326
module_43	GCF_004295305.1_ASM429530v1_CDS_1385
module_43	GCF_004295305.1_ASM429530v1_CDS_1386
module_68	GCF_003143895.1_ASM314389v1_CDS_2618
module_68	GCF_003143895.1_ASM314389v1_CDS_2615
module_68	GCF_003143895.1_ASM314389v1_CDS_2614
module_68	GCF_003143895.1_ASM314389v1_CDS_2616
module_68	GCF_002951295.1_ASM295129v1_CDS_2252
module_68	GCF_002082665.1_ASM208266v1_CDS_2850
module_68	GCF_003143895.1_ASM314389v1_CDS_2617
module_68	GCF_003143895.1_ASM314389v1_CDS_2619
module_41	GCF_004295305.1_ASM429530v1_CDS_1204
module_41	GCF_004295305.1_ASM429530v1_CDS_1203
module_41	GCF_003143895.1_ASM314389v1_CDS_2069
module_72	GCF_002951295.1_ASM295129v1_CDS_2569
module_72	GCF_002951295.1_ASM295129v1_CDS_2571
module_72	GCF_002951295.1_ASM295129v1_CDS_2570
module_1	GCA_003359435.2_ASM335943v2_CDS_0132
module_1	GCA_003359435.2_ASM335943v2_CDS_0127
module_1	GCA_003359395.2_ASM335939v2_CDS_0160
module_1	GCA_003359355.2_ASM335935v2_CDS_0175
module_8	GCA_003359355.2_ASM335935v2_CDS_1426
module_8	GCF_002082665.1_ASM208266v1_CDS_3047
module_8	GCF_002082665.1_ASM208266v1_CDS_3045
module_8	GCA_003359435.2_ASM335943v2_CDS_1095
module_66	GCF_002951295.1_ASM295129v1_CDS_1989
module_66	GCA_003359505.2_ASM335950v2_CDS_3642
module_66	GCA_003359505.2_ASM335950v2_CDS_3643
module_66	GCF_002951295.1_ASM295129v1_CDS_1991
module_66	GCF_002951295.1_ASM295129v1_CDS_1990
module_67	GCF_002951295.1_ASM295129v1_CDS_1996
module_67	GCA_003359505.2_ASM335950v2_CDS_3646
module_67	GCF_002951295.1_ASM295129v1_CDS_1997
module_67	GCF_002951295.1_ASM295129v1_CDS_1999
module_67	GCA_003359375.2_ASM335937v2_CDS_3633
module_67	GCF_002951295.1_ASM295129v1_CDS_1994
module_40	GCF_004295305.1_ASM429530v1_CDS_1199
module_40	GCF_004295305.1_ASM429530v1_CDS_2810
module_40	GCF_004295305.1_ASM429530v1_CDS_2807
