#soft_core=0.95
#duplication_margin=0.05
organism	nb_families	nb_persistent_families	nb_shell_families	nb_cloud_families	nb_exact_core	nb_soft_core	nb_genes	nb_persistent_genes	nb_shell_genes	nb_cloud_genes	nb_exact_core_genes	nb_soft_core_genes	completeness	nb_single_copy_markers
GCF_000191145.1_ASM19114v1	3507	3043	14	450	2436	2436	3579	3108	15	456	2491	2491	81.02	1080
GCA_003359215.2_ASM335921v2	4179	3096	126	957	2436	2436	5275	4090	134	1051	3341	3341	88.82	1184
GCA_003359295.2_ASM335929v2	4052	3137	180	735	2436	2436	4799	3743	260	796	2971	2971	89.35	1191
GCF_001617545.1_ASM161754v1	3675	2970	13	692	2436	2436	3717	2991	24	702	2456	2456	78.77	1050
GCF_001577285.1_ASM157728v1	3748	3042	38	668	2436	2436	3903	3082	76	745	2471	2471	81.17	1082
GCA_003359275.2_ASM335927v2	4471	3209	352	910	2436	2436	5550	4161	398	991	3254	3254	91.97	1226
GCA_003354845.1_ASM335484v1	4521	3185	170	1166	2436	2436	5570	4143	186	1241	3256	3256	91.97	1226
GCA_003359315.2_ASM335931v2	4547	3173	345	1029	2436	2436	5763	4147	480	1136	3283	3283	90.55	1207
GCA_003359305.2_ASM335930v2	4777	3137	256	1384	2436	2436	6466	4591	324	1551	3676	3676	87.92	1172
GCA_003359225.2_ASM335922v2	4709	3160	352	1197	2436	2436	6041	4252	484	1305	3389	3389	89.42	1192
