#soft_core=0.95
#duplication_margin=0.05
organism	nb_families	nb_persistent_families	nb_shell_families	nb_cloud_families	nb_exact_core	nb_soft_core	nb_genes	nb_persistent_genes	nb_shell_genes	nb_cloud_genes	nb_exact_core_genes	nb_soft_core_genes	completeness	nb_single_copy_markers
GCA_000307975.2_ASM30797v2	3667	3381	200	86	2541	2541	3727	3438	202	87	2559	2559	99.52	1858
GCA_003012895.2_ASM301289v2	3280	2727	6	547	2541	2541	3797	3120	26	651	2834	2834	81.52	1522
GCA_000015425.1_ASM1542v1	3726	3073	4	649	2541	2541	3949	3278	5	666	2706	2706	91.06	1700
GCA_000189735.2_ASM18973v2	3858	3387	194	277	2541	2541	4061	3531	208	322	2579	2579	99.14	1851
GCA_002009115.1_ASM200911v1	3618	3368	196	54	2541	2541	3852	3576	221	55	2645	2645	99.04	1849
GCA_002762545.2_ASM276254v2	3830	3401	72	357	2541	2541	4172	3623	75	474	2633	2633	99.73	1862
GCA_003359255.2_ASM335925v2	4133	3203	130	800	2541	2541	5580	4549	199	832	3542	3542	92.93	1735
GCA_003627485.2_ASM362748v2	3725	3394	70	261	2541	2541	4092	3723	78	291	2632	2632	99.41	1856
GCA_005280395.1_ASM528039v1	4005	3222	20	763	2541	2541	4396	3557	20	819	2751	2751	93.52	1746
GCA_005280355.1_ASM528035v1	3793	3380	190	223	2541	2541	4110	3621	196	293	2621	2621	99.41	1856
