gene	contig	start	stop	strand	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
GCF_009914395.1_ASM991439v1_CDS_0001	NZ_CP045127.1	61	1380	+	GCF_009914475.1_ASM991447v1_CDS_2298	1	persistent	2	0	0
GCF_009914395.1_ASM991439v1_CDS_0002	NZ_CP045127.1	1491	2639	+	GCF_009914435.1_ASM991443v1_CDS_0002	1	persistent	2	0	0
GCF_009914395.1_ASM991439v1_CDS_0003	NZ_CP045127.1	2664	3746	+	GCF_009914475.1_ASM991447v1_CDS_2296	1	persistent	2	0	0
GCF_009914395.1_ASM991439v1_CDS_0004	NZ_CP045127.1	3789	6257	+	GCF_009914475.1_ASM991447v1_CDS_2295	1	persistent	3	0	1
GCF_009914395.1_ASM991439v1_CDS_0005	NZ_CP045127.1	6656	7015	+	GCF_009914395.1_ASM991439v1_CDS_2167	5	persistent	11	0	1
GCF_009914395.1_ASM991439v1_CDS_0006	NZ_CP045127.1	7015	7614	+	GCF_009914375.1_ASM991437v1_CDS_2832	5	persistent	2	0	2
GCF_009914395.1_ASM991439v1_CDS_0007	NZ_CP045127.1	7618	9000	+	GCF_009914435.1_ASM991443v1_CDS_0866	5	persistent	14	1	1
GCF_009914395.1_ASM991439v1_CDS_0008	NZ_CP045127.1	9090	11027	-	GCF_009296145.1_ASM929614v1_CDS_0008	1	persistent	3	1	1
GCF_009914395.1_ASM991439v1_CDS_0009	NZ_CP045127.1	11260	12267	+	GCF_009914435.1_ASM991443v1_CDS_0010	1	persistent	4	0	0
GCF_009914395.1_ASM991439v1_CDS_0010	NZ_CP045127.1	12525	13535	+	GCF_009914415.1_ASM991441v1_CDS_0066	1	persistent	3	0	0
GCF_009914395.1_ASM991439v1_CDS_0011	NZ_CP045127.1	13843	14850	+	GCF_009914415.1_ASM991441v1_CDS_0067	1	persistent	3	0	0
GCF_009914395.1_ASM991439v1_CDS_0012	NZ_CP045127.1	14973	15308	+	GCF_009914415.1_ASM991441v1_CDS_0068	1	persistent	2	0	0
GCF_009914395.1_ASM991439v1_CDS_0013	NZ_CP045127.1	15382	16509	-	GCF_009914395.1_ASM991439v1_CDS_0013	1	persistent	2	0	0
GCF_009914395.1_ASM991439v1_CDS_0014	NZ_CP045127.1	16573	17805	+	GCF_002953575.2_ASM295357v2_CDS_0013	1	persistent	3	1	0
GCF_009914395.1_ASM991439v1_CDS_0015	NZ_CP045127.1	18371	19012	+	GCF_009914395.1_ASM991439v1_CDS_2167	5	persistent	11	0	1
GCF_009914395.1_ASM991439v1_CDS_0016	NZ_CP045127.1	19012	19611	+	GCF_009914375.1_ASM991437v1_CDS_2832	5	persistent	2	0	2
GCF_009914395.1_ASM991439v1_CDS_0017	NZ_CP045127.1	19615	20997	+	GCF_009914435.1_ASM991443v1_CDS_0866	5	persistent	14	1	1
GCF_009914395.1_ASM991439v1_CDS_0018	NZ_CP045127.1	20990	21361	+	GCF_009914415.1_ASM991441v1_CDS_0072	1	persistent	3	1	0
GCF_009914395.1_ASM991439v1_CDS_0019	NZ_CP045127.1	27604	28953	+	GCF_009296145.1_ASM929614v1_CDS_2896	1	persistent	3	0	0
GCF_009914395.1_ASM991439v1_CDS_0020	NZ_CP045127.1	29324	30490	+	GCF_002953575.2_ASM295357v2_CDS_0017	1	persistent	2	0	1
GCF_009914395.1_ASM991439v1_CDS_0021	NZ_CP045127.1	30993	31535	-	GCF_009296145.1_ASM929614v1_CDS_2894	1	persistent	2	0	0
GCF_009914395.1_ASM991439v1_CDS_0022	NZ_CP045127.1	31674	32156	-	GCF_009296145.1_ASM929614v1_CDS_2893	1	persistent	2	1	0
GCF_009914395.1_ASM991439v1_CDS_0023	NZ_CP045127.1	32149	32688	-	GCA_010918035.1_ASM1091803v1_CDS_2697	1	persistent	2	0	0
GCF_009914395.1_ASM991439v1_CDS_0024	NZ_CP045127.1	32681	35527	-	GCF_009914375.1_ASM991437v1_CDS_0621	1	persistent	2	0	0
GCF_009914395.1_ASM991439v1_CDS_0025	NZ_CP045127.1	35589	36593	-	GCF_009914375.1_ASM991437v1_CDS_0622	1	persistent	3	0	0
GCF_009914395.1_ASM991439v1_CDS_0026	NZ_CP045127.1	36892	37458	+	GCF_009914375.1_ASM991437v1_CDS_0623	1	persistent	3	0	0
GCF_009914395.1_ASM991439v1_CDS_0027	NZ_CP045127.1	37502	38155	-	GCF_010917815.1_ASM1091781v1_CDS_2910	1	persistent	3	0	0
GCF_009914395.1_ASM991439v1_CDS_0028	NZ_CP045127.1	38619	39776	-	GCF_010917815.1_ASM1091781v1_CDS_2553	2	persistent	16	1	2
GCF_009914395.1_ASM991439v1_CDS_0029	NZ_CP045127.1	39773	40387	-	GCF_010917815.1_ASM1091781v1_CDS_2908	2	persistent	15	0	1
GCF_009914395.1_ASM991439v1_CDS_0030	NZ_CP045127.1	40500	41303	-	GCF_009734145.1_ASM973414v1_CDS_3075	1	persistent	3	0	1
