gene	contig	start	stop	strand	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
GCA_014718535.1_ASM1471853v1_CDS_0001	CP061565.1	1	1398	+	GCA_014720715.1_ASM1472071v1_CDS_0001	1	persistent	1	0	0
GCA_014718535.1_ASM1471853v1_CDS_0002	CP061565.1	1496	2644	+	GCA_014720715.1_ASM1472071v1_CDS_0002	1	persistent	2	0	0
GCA_014718535.1_ASM1471853v1_CDS_0003	CP061565.1	2659	3741	+	GCA_014720715.1_ASM1472071v1_CDS_0003	1	persistent	2	0	0
GCA_014718535.1_ASM1471853v1_CDS_0004	CP061565.1	3794	6262	+	GCA_014718535.1_ASM1471853v1_CDS_0004	1	persistent	2	0	0
GCA_014718535.1_ASM1471853v1_CDS_0005	CP061565.1	6300	6692	+	GCA_014718755.1_ASM1471875v1_CDS_0005	1	persistent	2	0	0
GCA_014718535.1_ASM1471853v1_CDS_0006	CP061565.1	6775	7332	-	GCA_014718955.1_ASM1471895v1_CDS_0006	1	persistent	2	0	0
GCA_014718535.1_ASM1471853v1_CDS_0007	CP061565.1	7599	8498	-	GCA_014718755.1_ASM1471875v1_CDS_0007	2	persistent	2	0	0
GCA_014718535.1_ASM1471853v1_CDS_0008	CP061565.1	8573	9532	-	GCA_014718755.1_ASM1471875v1_CDS_0007	2	persistent	2	0	0
GCA_014718535.1_ASM1471853v1_CDS_0009	CP061565.1	9785	10789	+	GCA_014718955.1_ASM1471895v1_CDS_0008	1	persistent	2	0	0
GCA_014718535.1_ASM1471853v1_CDS_0010	CP061565.1	11045	11755	+	GCA_014717695.1_ASM1471769v1_CDS_0009	2	persistent	2	0	0
GCA_014718535.1_ASM1471853v1_CDS_0011	CP061565.1	11721	12053	+	GCA_014717695.1_ASM1471769v1_CDS_0009	2	persistent	2	0	0
GCA_014718535.1_ASM1471853v1_CDS_0012	CP061565.1	12408	13412	+	GCA_014717935.1_ASM1471793v1_CDS_0013	1	persistent	2	0	0
GCA_014718535.1_ASM1471853v1_CDS_0013	CP061565.1	13537	13872	+	GCA_014718155.1_ASM1471815v1_CDS_0012	1	persistent	2	0	0
GCA_014718535.1_ASM1471853v1_CDS_0014	CP061565.1	13932	14774	-	GCA_014717935.1_ASM1471793v1_CDS_0015	1	persistent	2	0	0
