gene	contig	start	stop	strand	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
GCF_000814165.3_ASM81416v3_CDS_0001	NZ_CP010368.1	515	1912	+	GCF_002951295.1_ASM295129v1_CDS_3400	1	persistent	2	0	0
GCF_000814165.3_ASM81416v3_CDS_0002	NZ_CP010368.1	2010	3158	+	GCA_003359435.2_ASM335943v2_CDS_0004	1	persistent	2	0	0
GCF_000814165.3_ASM81416v3_CDS_0003	NZ_CP010368.1	3173	4255	+	GCF_002951295.1_ASM295129v1_CDS_3402	1	persistent	2	0	0
GCF_000814165.3_ASM81416v3_CDS_0004	NZ_CP010368.1	4308	6776	+	GCF_002951295.1_ASM295129v1_CDS_3403	1	persistent	2	0	1
GCF_000814165.3_ASM81416v3_CDS_0005	NZ_CP010368.1	6814	7206	+	GCF_002951295.1_ASM295129v1_CDS_3404	1	persistent	2	0	0
GCF_000814165.3_ASM81416v3_CDS_0006	NZ_CP010368.1	7295	7852	-	GCF_002951295.1_ASM295129v1_CDS_3405	1	persistent	2	0	0
GCF_000814165.3_ASM81416v3_CDS_0007	NZ_CP010368.1	8119	10050	-	GCF_002951295.1_ASM295129v1_CDS_3406	1	persistent	2	0	0
GCF_000814165.3_ASM81416v3_CDS_0008	NZ_CP010368.1	10303	11307	+	GCF_002951295.1_ASM295129v1_CDS_3407	1	persistent	2	0	0
GCF_000814165.3_ASM81416v3_CDS_0009	NZ_CP010368.1	11563	12570	+	GCA_003359435.2_ASM335943v2_CDS_0013	1	persistent	2	0	0
GCF_000814165.3_ASM81416v3_CDS_0010	NZ_CP010368.1	12918	13922	+	GCA_003359435.2_ASM335943v2_CDS_0014	1	persistent	2	0	0
GCF_000814165.3_ASM81416v3_CDS_0011	NZ_CP010368.1	14047	14382	+	GCA_003359435.2_ASM335943v2_CDS_0015	1	persistent	2	0	0
GCF_000814165.3_ASM81416v3_CDS_0012	NZ_CP010368.1	14441	15283	-	GCA_003359505.2_ASM335950v2_CDS_0018	1	persistent	2	0	0
GCF_000814165.3_ASM81416v3_CDS_0013	NZ_CP010368.1	15410	16537	-	GCF_002951295.1_ASM295129v1_CDS_3412	1	persistent	2	0	0
