"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Accessory Fragment","Genome Fragment","Order within Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_003359435.2_ASM335943v2","GCF_004295305.1_ASM429530v1","GCF_002951295.1_ASM295129v1","GCF_003143895.1_ASM314389v1","GCF_000814165.3_ASM81416v3","GCF_002082665.1_ASM208266v1","GCA_003359375.2_ASM335937v2","GCA_003359395.2_ASM335939v2","GCA_003359355.2_ASM335935v2","GCA_003359505.2_ASM335950v2"
"GCA_003359505.2_ASM335950v2_CDS_3668","persistent","","8","9","1.12","NA","NA","","","","176","740","657.67","","","GCF_002951295.1_ASM295129v1_CDS_2011","GCF_003143895.1_ASM314389v1_CDS_2359","GCF_000814165.3_ASM81416v3_CDS_2300","GCF_002082665.1_ASM208266v1_CDS_2579","GCA_003359375.2_ASM335937v2_CDS_3652" "GCA_003359375.2_ASM335937v2_CDS_3653","GCA_003359395.2_ASM335939v2_CDS_3565","GCA_003359355.2_ASM335935v2_CDS_3871","GCA_003359505.2_ASM335950v2_CDS_3668"
"GCA_003359505.2_ASM335950v2_CDS_4052","persistent","","10","20","2.0","NA","NA","","","","635","1235","1109.75","GCA_003359435.2_ASM335943v2_CDS_0526" "GCA_003359435.2_ASM335943v2_CDS_3293","GCF_004295305.1_ASM429530v1_CDS_0386" "GCF_004295305.1_ASM429530v1_CDS_2530","GCF_002951295.1_ASM295129v1_CDS_0014" "GCF_002951295.1_ASM295129v1_CDS_2229","GCF_003143895.1_ASM314389v1_CDS_2598" "GCF_003143895.1_ASM314389v1_CDS_0344","GCF_000814165.3_ASM81416v3_CDS_0376" "GCF_000814165.3_ASM81416v3_CDS_2508","GCF_002082665.1_ASM208266v1_CDS_0474" "GCF_002082665.1_ASM208266v1_CDS_2836","GCA_003359375.2_ASM335937v2_CDS_4001" "GCA_003359375.2_ASM335937v2_CDS_0612","GCA_003359395.2_ASM335939v2_CDS_0624" "GCA_003359395.2_ASM335939v2_CDS_3933","GCA_003359355.2_ASM335935v2_CDS_0662" "GCA_003359355.2_ASM335935v2_CDS_4220","GCA_003359505.2_ASM335950v2_CDS_4052" "GCA_003359505.2_ASM335950v2_CDS_0510"
"GCA_003359505.2_ASM335950v2_CDS_4148","persistent","","9","9","1.0","NA","NA","","","","1034","1103","1057.0","","GCF_004295305.1_ASM429530v1_CDS_2552","GCF_002951295.1_ASM295129v1_CDS_2299","GCF_003143895.1_ASM314389v1_CDS_2635","GCF_000814165.3_ASM81416v3_CDS_2525","GCF_002082665.1_ASM208266v1_CDS_2867","GCA_003359375.2_ASM335937v2_CDS_4039","GCA_003359395.2_ASM335939v2_CDS_3972","GCA_003359355.2_ASM335935v2_CDS_4263","GCA_003359505.2_ASM335950v2_CDS_4148"
"GCA_003359505.2_ASM335950v2_CDS_4468","persistent","","10","13","1.3","NA","NA","","","","323","1172","868.08","GCA_003359435.2_ASM335943v2_CDS_3598" "GCA_003359435.2_ASM335943v2_CDS_3597","GCF_004295305.1_ASM429530v1_CDS_2780","GCF_002951295.1_ASM295129v1_CDS_2559","GCF_003143895.1_ASM314389v1_CDS_2873","GCF_000814165.3_ASM81416v3_CDS_2759","GCF_002082665.1_ASM208266v1_CDS_3161","GCA_003359375.2_ASM335937v2_CDS_4418","GCA_003359395.2_ASM335939v2_CDS_4397","GCA_003359355.2_ASM335935v2_CDS_4728" "GCA_003359355.2_ASM335935v2_CDS_4729" "GCA_003359355.2_ASM335935v2_CDS_4730","GCA_003359505.2_ASM335950v2_CDS_4468"
"GCA_003359505.2_ASM335950v2_CDS_4533","cloud","","1","1","1.0","NA","NA","","","","158","158","158.0","","","","","","","","","","GCA_003359505.2_ASM335950v2_CDS_4533"
"GCA_003359505.2_ASM335950v2_CDS_4597","persistent","","10","12","1.2","NA","NA","","","","164","677","574.0","GCA_003359435.2_ASM335943v2_CDS_3742","GCF_004295305.1_ASM429530v1_CDS_2939","GCF_002951295.1_ASM295129v1_CDS_2683","GCF_003143895.1_ASM314389v1_CDS_3018","GCF_000814165.3_ASM81416v3_CDS_2853","GCF_002082665.1_ASM208266v1_CDS_3256","GCA_003359375.2_ASM335937v2_CDS_4559" "GCA_003359375.2_ASM335937v2_CDS_4558","GCA_003359395.2_ASM335939v2_CDS_4608","GCA_003359355.2_ASM335935v2_CDS_4949" "GCA_003359355.2_ASM335935v2_CDS_4948","GCA_003359505.2_ASM335950v2_CDS_4597"
"GCA_003359505.2_ASM335950v2_CDS_4726","persistent","","10","10","1.0","NA","NA","","","","1406","1520","1497.2","GCA_003359435.2_ASM335943v2_CDS_3904","GCF_004295305.1_ASM429530v1_CDS_3024","GCF_002951295.1_ASM295129v1_CDS_2763","GCF_003143895.1_ASM314389v1_CDS_3116","GCF_000814165.3_ASM81416v3_CDS_2961","GCF_002082665.1_ASM208266v1_CDS_3337","GCA_003359375.2_ASM335937v2_CDS_4689","GCA_003359395.2_ASM335939v2_CDS_4803","GCA_003359355.2_ASM335935v2_CDS_5142","GCA_003359505.2_ASM335950v2_CDS_4726"
"GCF_002951295.1_ASM295129v1_CDS_2527","shell","","5","5","1.0","NA","NA","","","","92","92","92.0","","","GCF_002951295.1_ASM295129v1_CDS_2527","GCF_003143895.1_ASM314389v1_CDS_2839","","GCF_002082665.1_ASM208266v1_CDS_3128","","","GCA_003359355.2_ASM335935v2_CDS_4679","GCA_003359505.2_ASM335950v2_CDS_4426"
"GCF_002951295.1_ASM295129v1_CDS_2624","persistent","","10","13","1.3","NA","NA","","","","104","644","482.92","GCA_003359435.2_ASM335943v2_CDS_3643" "GCA_003359435.2_ASM335943v2_CDS_3644","GCF_004295305.1_ASM429530v1_CDS_2880","GCF_002951295.1_ASM295129v1_CDS_2624","GCF_003143895.1_ASM314389v1_CDS_2959","GCF_000814165.3_ASM81416v3_CDS_2794","GCF_002082665.1_ASM208266v1_CDS_3197","GCA_003359375.2_ASM335937v2_CDS_4467","GCA_003359395.2_ASM335939v2_CDS_4517" "GCA_003359395.2_ASM335939v2_CDS_4519" "GCA_003359395.2_ASM335939v2_CDS_4518","GCA_003359355.2_ASM335935v2_CDS_4856","GCA_003359505.2_ASM335950v2_CDS_4510"
"GCF_002951295.1_ASM295129v1_CDS_2720","persistent","","10","14","1.4","NA","NA","","","","119","755","525.07","GCA_003359435.2_ASM335943v2_CDS_3850","GCF_004295305.1_ASM429530v1_CDS_2981","GCF_002951295.1_ASM295129v1_CDS_2720","GCF_003143895.1_ASM314389v1_CDS_3075","GCF_000814165.3_ASM81416v3_CDS_2918","GCF_002082665.1_ASM208266v1_CDS_3294","GCA_003359375.2_ASM335937v2_CDS_4616" "GCA_003359375.2_ASM335937v2_CDS_4617","GCA_003359395.2_ASM335939v2_CDS_4737" "GCA_003359395.2_ASM335939v2_CDS_4736","GCA_003359355.2_ASM335935v2_CDS_5078" "GCA_003359355.2_ASM335935v2_CDS_5077","GCA_003359505.2_ASM335950v2_CDS_4660" "GCA_003359505.2_ASM335950v2_CDS_4659"
