module_id	organism	completion
module_19	GCF_002165255.2_ASM216525v2	1.0
module_19	GCA_001581975.1_ASM158197v1	1.0
module_8	GCF_001278715.1_ASM127871v1	1.0
module_8	GCA_001581975.1_ASM158197v1	1.0
module_8	GCF_002934695.1_ASM293469v1	1.0
module_24	GCA_001581975.1_ASM158197v1	1.0
module_24	GCF_002934695.1_ASM293469v1	1.0
module_24	GCF_002165255.2_ASM216525v2	1.0
module_24	GCF_002165305.2_ASM216530v2	1.0
module_20	GCF_002165255.2_ASM216525v2	1.0
module_20	GCA_001581975.1_ASM158197v1	1.0
module_6	GCF_001278715.1_ASM127871v1	1.0
module_6	GCA_001581975.1_ASM158197v1	1.0
module_3	GCA_001581975.1_ASM158197v1	1.0
module_3	GCF_001612555.1_ASM161255v1	1.0
module_3	GCF_001278715.1_ASM127871v1	1.0
module_3	GCF_002165305.2_ASM216530v2	1.0
module_3	GCF_001696615.3_ASM169661v3	1.0
module_1	GCA_001581975.1_ASM158197v1	1.0
module_1	GCF_001612555.1_ASM161255v1	1.0
module_1	GCF_002934695.1_ASM293469v1	1.0
module_1	GCF_001278715.1_ASM127871v1	1.0
module_1	GCF_002165305.2_ASM216530v2	1.0
module_1	GCF_001696615.3_ASM169661v3	1.0
module_14	GCF_002165255.2_ASM216525v2	1.0
module_14	GCF_001278715.1_ASM127871v1	1.0
module_13	GCA_001581975.1_ASM158197v1	1.0
module_13	GCF_001612555.1_ASM161255v1	1.0
module_13	GCF_002934695.1_ASM293469v1	1.0
module_13	GCF_001278715.1_ASM127871v1	1.0
module_13	GCF_002688565.1_ASM268856v1	1.0
module_13	GCF_001647675.1_ASM164767v1	1.0
module_12	GCA_001581975.1_ASM158197v1	1.0
module_12	GCF_001612555.1_ASM161255v1	1.0
module_12	GCF_002934695.1_ASM293469v1	1.0
module_12	GCF_001278715.1_ASM127871v1	1.0
module_12	GCF_002688565.1_ASM268856v1	1.0
module_12	GCF_001647675.1_ASM164767v1	1.0
module_17	GCF_002688565.1_ASM268856v1	1.0
module_17	GCF_001278715.1_ASM127871v1	1.0
module_18	GCF_002165255.2_ASM216525v2	1.0
module_18	GCA_001581975.1_ASM158197v1	1.0
module_4	GCF_001278715.1_ASM127871v1	1.0
module_4	GCF_001612555.1_ASM161255v1	1.0
module_4	GCF_002688565.1_ASM268856v1	1.0
module_16	GCF_002165295.2_ASM216529v2	1.0
module_16	GCF_001278715.1_ASM127871v1	1.0
module_16	GCF_002688565.1_ASM268856v1	1.0
module_16	GCF_002165305.2_ASM216530v2	1.0
module_16	GCF_001696615.3_ASM169661v3	1.0
module_7	GCF_002165305.2_ASM216530v2	1.0
module_7	GCF_001278715.1_ASM127871v1	1.0
module_9	GCF_001278715.1_ASM127871v1	1.0
module_9	GCA_001581975.1_ASM158197v1	1.0
module_9	GCF_002934695.1_ASM293469v1	1.0
module_5	GCF_001278715.1_ASM127871v1	1.0
module_5	GCF_001612555.1_ASM161255v1	1.0
module_15	GCF_001278715.1_ASM127871v1	1.0
module_15	GCF_002165295.2_ASM216529v2	1.0
module_11	GCF_001278715.1_ASM127871v1	1.0
module_11	GCF_002934695.1_ASM293469v1	1.0
module_11	GCF_002165255.2_ASM216525v2	1.0
module_10	GCF_001278715.1_ASM127871v1	1.0
module_10	GCF_002934695.1_ASM293469v1	1.0
module_10	GCF_002165255.2_ASM216525v2	1.0
module_21	GCF_002165305.2_ASM216530v2	1.0
module_21	GCF_001612555.1_ASM161255v1	1.0
module_21	GCF_002934695.1_ASM293469v1	1.0
module_21	GCF_002165255.2_ASM216525v2	1.0
module_21	GCF_002688565.1_ASM268856v1	1.0
module_48	GCA_001581975.1_ASM158197v1	1.0
module_48	GCF_002165255.2_ASM216525v2	1.0
module_48	GCF_001696615.3_ASM169661v3	1.0
module_82	GCF_002688565.1_ASM268856v1	1.0
module_82	GCF_002934695.1_ASM293469v1	1.0
module_74	GCF_002165305.2_ASM216530v2	1.0
module_74	GCF_002688565.1_ASM268856v1	1.0
module_74	GCF_001696615.3_ASM169661v3	1.0
module_72	GCA_001581975.1_ASM158197v1	1.0
module_72	GCF_002688565.1_ASM268856v1	1.0
module_88	GCF_002688565.1_ASM268856v1	1.0
module_88	GCF_002934695.1_ASM293469v1	1.0
module_57	GCF_002934695.1_ASM293469v1	1.0
module_57	GCF_002688565.1_ASM268856v1	1.0
module_57	GCF_001647675.1_ASM164767v1	1.0
module_71	GCF_002688565.1_ASM268856v1	1.0
module_71	GCF_002934695.1_ASM293469v1	1.0
module_51	GCF_002165305.2_ASM216530v2	1.0
module_51	GCF_002165255.2_ASM216525v2	1.0
module_65	GCF_002934695.1_ASM293469v1	1.0
module_65	GCF_002688565.1_ASM268856v1	1.0
module_65	GCF_001647675.1_ASM164767v1	1.0
module_52	GCA_001581975.1_ASM158197v1	1.0
module_52	GCF_002165255.2_ASM216525v2	1.0
module_52	GCF_002165305.2_ASM216530v2	1.0
module_87	GCF_002688565.1_ASM268856v1	1.0
module_87	GCF_002934695.1_ASM293469v1	1.0
module_0	GCA_001581975.1_ASM158197v1	1.0
module_0	GCF_002165305.2_ASM216530v2	1.0
module_0	GCF_002934695.1_ASM293469v1	1.0
module_0	GCF_001612555.1_ASM161255v1	1.0
module_0	GCF_001647675.1_ASM164767v1	1.0
module_0	GCF_001278715.1_ASM127871v1	1.0
module_0	GCF_002165295.2_ASM216529v2	1.0
module_0	GCF_002688565.1_ASM268856v1	1.0
module_0	GCF_001696615.3_ASM169661v3	1.0
module_54	GCA_001581975.1_ASM158197v1	1.0
module_54	GCF_002165255.2_ASM216525v2	1.0
module_54	GCF_002165305.2_ASM216530v2	1.0
module_130	GCF_002165305.2_ASM216530v2	1.0
module_130	GCF_001696615.3_ASM169661v3	1.0
module_23	GCA_001581975.1_ASM158197v1	1.0
module_23	GCF_002165255.2_ASM216525v2	1.0
module_49	GCF_002165255.2_ASM216525v2	1.0
module_49	GCF_002165305.2_ASM216530v2	1.0
module_49	GCF_001696615.3_ASM169661v3	1.0
module_79	GCF_002688565.1_ASM268856v1	1.0
module_79	GCF_002934695.1_ASM293469v1	1.0
module_47	GCF_002165255.2_ASM216525v2	1.0
module_47	GCA_001581975.1_ASM158197v1	1.0
module_123	GCA_001581975.1_ASM158197v1	1.0
module_123	GCF_001612555.1_ASM161255v1	1.0
module_81	GCF_002688565.1_ASM268856v1	1.0
module_81	GCF_002934695.1_ASM293469v1	1.0
module_22	GCF_002165255.2_ASM216525v2	1.0
module_22	GCA_001581975.1_ASM158197v1	1.0
module_69	GCF_002688565.1_ASM268856v1	1.0
module_69	GCF_001647675.1_ASM164767v1	1.0
module_84	GCF_002688565.1_ASM268856v1	1.0
