module_id	organism	completion
module_62	GCA_002762545.2_ASM276254v2	1.0
module_62	GCA_003627485.2_ASM362748v2	1.0
module_62	GCA_005280395.1_ASM528039v1	1.0
module_59	GCA_000189735.2_ASM18973v2	1.0
module_59	GCA_002762545.2_ASM276254v2	1.0
module_56	GCA_003359255.2_ASM335925v2	1.0
module_56	GCA_002762545.2_ASM276254v2	1.0
module_56	GCA_003627485.2_ASM362748v2	1.0
module_56	GCA_000189735.2_ASM18973v2	1.0
module_64	GCA_002762545.2_ASM276254v2	1.0
module_64	GCA_005280355.1_ASM528035v1	1.0
module_64	GCA_003627485.2_ASM362748v2	1.0
module_6	GCA_000307975.2_ASM30797v2	1.0
module_6	GCA_002009115.1_ASM200911v1	1.0
module_6	GCA_005280355.1_ASM528035v1	1.0
module_6	GCA_000189735.2_ASM18973v2	1.0
module_24	GCA_003359255.2_ASM335925v2	0.88
module_24	GCA_000307975.2_ASM30797v2	1.0
module_24	GCA_002009115.1_ASM200911v1	1.0
module_24	GCA_005280355.1_ASM528035v1	1.0
module_24	GCA_000189735.2_ASM18973v2	1.0
module_60	GCA_000189735.2_ASM18973v2	1.0
module_60	GCA_002762545.2_ASM276254v2	1.0
module_25	GCA_000189735.2_ASM18973v2	1.0
module_25	GCA_000307975.2_ASM30797v2	1.0
module_26	GCA_003359255.2_ASM335925v2	1.0
module_26	GCA_000307975.2_ASM30797v2	1.0
module_26	GCA_002009115.1_ASM200911v1	1.0
module_26	GCA_005280355.1_ASM528035v1	1.0
module_26	GCA_000189735.2_ASM18973v2	1.0
module_63	GCA_005280395.1_ASM528039v1	1.0
module_63	GCA_002762545.2_ASM276254v2	1.0
module_17	GCA_003359255.2_ASM335925v2	1.0
module_17	GCA_002762545.2_ASM276254v2	1.0
module_17	GCA_000307975.2_ASM30797v2	0.83
module_17	GCA_005280395.1_ASM528039v1	1.0
module_17	GCA_005280355.1_ASM528035v1	1.0
module_17	GCA_003627485.2_ASM362748v2	1.0
module_10	GCA_003359255.2_ASM335925v2	1.0
module_10	GCA_002762545.2_ASM276254v2	1.0
module_10	GCA_000307975.2_ASM30797v2	1.0
module_10	GCA_003627485.2_ASM362748v2	1.0
module_10	GCA_005280395.1_ASM528039v1	1.0
module_10	GCA_000015425.1_ASM1542v1	1.0
module_10	GCA_002009115.1_ASM200911v1	1.0
module_10	GCA_005280355.1_ASM528035v1	1.0
module_10	GCA_000189735.2_ASM18973v2	1.0
module_61	GCA_003627485.2_ASM362748v2	1.0
module_61	GCA_002762545.2_ASM276254v2	1.0
module_8	GCA_000307975.2_ASM30797v2	1.0
module_8	GCA_005280395.1_ASM528039v1	1.0
module_8	GCA_002009115.1_ASM200911v1	1.0
module_8	GCA_005280355.1_ASM528035v1	1.0
module_8	GCA_000189735.2_ASM18973v2	1.0
module_44	GCA_003359255.2_ASM335925v2	1.0
module_44	GCA_002762545.2_ASM276254v2	1.0
module_44	GCA_005280395.1_ASM528039v1	1.0
module_44	GCA_000015425.1_ASM1542v1	1.0
