"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Accessory Fragment","Genome Fragment","Order within Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_000191145.1_ASM19114v1","GCA_003359215.2_ASM335921v2","GCA_003359295.2_ASM335929v2","GCF_001617545.1_ASM161754v1","GCF_001577285.1_ASM157728v1","GCA_003359275.2_ASM335927v2","GCA_003354845.1_ASM335484v1","GCA_003359315.2_ASM335931v2","GCA_003359305.2_ASM335930v2","GCA_003359225.2_ASM335922v2"
"GCA_003359225.2_ASM335922v2_CDS_4574","persistent","","10","10","1.0","NA","NA","","","","314","326","317.6","GCF_000191145.1_ASM19114v1_CDS_3456","GCA_003359215.2_ASM335921v2_CDS_4346","GCA_003359295.2_ASM335929v2_CDS_3887","GCF_001617545.1_ASM161754v1_CDS_0993","GCF_001577285.1_ASM157728v1_CDS_1631","GCA_003359275.2_ASM335927v2_CDS_4446","GCA_003354845.1_ASM335484v1_CDS_4717","GCA_003359315.2_ASM335931v2_CDS_4383","GCA_003359305.2_ASM335930v2_CDS_5358","GCA_003359225.2_ASM335922v2_CDS_4574"
"GCA_003359225.2_ASM335922v2_CDS_4702","persistent","","7","7","1.0","NA","NA","","","","506","902","761.43","","GCA_003359215.2_ASM335921v2_CDS_4437","GCA_003359295.2_ASM335929v2_CDS_3989","","","GCA_003359275.2_ASM335927v2_CDS_4567","GCA_003354845.1_ASM335484v1_CDS_4833","GCA_003359315.2_ASM335931v2_CDS_4508","GCA_003359305.2_ASM335930v2_CDS_5456","GCA_003359225.2_ASM335922v2_CDS_4702"
"GCA_003359225.2_ASM335922v2_CDS_4830","cloud","","1","1","1.0","NA","NA","","","","236","236","236.0","","","","","","","","","","GCA_003359225.2_ASM335922v2_CDS_4830"
"GCA_003359305.2_ASM335930v2_CDS_2310","persistent","","10","10","1.0","NA","NA","","","","350","1106","886.1","GCF_000191145.1_ASM19114v1_CDS_1551","GCA_003359215.2_ASM335921v2_CDS_1973","GCA_003359295.2_ASM335929v2_CDS_1816","GCF_001617545.1_ASM161754v1_CDS_2689","GCF_001577285.1_ASM157728v1_CDS_3195","GCA_003359275.2_ASM335927v2_CDS_2048","GCA_003354845.1_ASM335484v1_CDS_2114","GCA_003359315.2_ASM335931v2_CDS_2130","GCA_003359305.2_ASM335930v2_CDS_2310","GCA_003359225.2_ASM335922v2_CDS_2206"
"GCA_003359305.2_ASM335930v2_CDS_2374","cloud","","1","1","1.0","NA","NA","","","","350","350","350.0","","","","","","","","","GCA_003359305.2_ASM335930v2_CDS_2374",""
"GCA_003359305.2_ASM335930v2_CDS_2406","cloud","","1","1","1.0","NA","NA","","","","623","623","623.0","","","","","","","","","GCA_003359305.2_ASM335930v2_CDS_2406",""
"GCA_003359305.2_ASM335930v2_CDS_2662","cloud","","1","1","1.0","NA","NA","","","","470","470","470.0","","","","","","","","","GCA_003359305.2_ASM335930v2_CDS_2662",""
"GCA_003359305.2_ASM335930v2_CDS_2918","persistent","","8","14","1.75","NA","NA","","","","263","1577","1195.57","GCF_000191145.1_ASM19114v1_CDS_1252" "GCF_000191145.1_ASM19114v1_CDS_1308","","GCA_003359295.2_ASM335929v2_CDS_2132","","GCF_001577285.1_ASM157728v1_CDS_2944" "GCF_001577285.1_ASM157728v1_CDS_2879","GCA_003359275.2_ASM335927v2_CDS_2419","GCA_003354845.1_ASM335484v1_CDS_2595" "GCA_003354845.1_ASM335484v1_CDS_3453" "GCA_003354845.1_ASM335484v1_CDS_2478","GCA_003359315.2_ASM335931v2_CDS_2489","GCA_003359305.2_ASM335930v2_CDS_2918" "GCA_003359305.2_ASM335930v2_CDS_2824" "GCA_003359305.2_ASM335930v2_CDS_3866","GCA_003359225.2_ASM335922v2_CDS_2589"
"GCA_003359305.2_ASM335930v2_CDS_3142","cloud","","2","2","1.0","NA","NA","","","","362","407","384.5","","","","GCF_001617545.1_ASM161754v1_CDS_2199","","","","","GCA_003359305.2_ASM335930v2_CDS_3142",""
"GCA_003359305.2_ASM335930v2_CDS_3174","cloud","","1","1","1.0","NA","NA","","","","140","140","140.0","","","","","","","","","GCA_003359305.2_ASM335930v2_CDS_3174",""
