#duplication_margin=0.05
persistent_family	duplication_ratio	mean_presence	is_single_copy_marker
GCA_010918035.1_ASM1091803v1_CDS_3018	0.25	1.25	False
GCF_009914375.1_ASM991437v1_CDS_0045	0.0	1.0	True
GCF_009914375.1_ASM991437v1_CDS_0141	0.0	1.0	True
GCF_009914375.1_ASM991437v1_CDS_0173	0.0	1.0	True
GCF_009914375.1_ASM991437v1_CDS_0205	0.0	1.0	True
GCF_009914375.1_ASM991437v1_CDS_0269	0.0	1.0	True
GCF_009914375.1_ASM991437v1_CDS_0301	0.0	1.0	True
GCF_009914375.1_ASM991437v1_CDS_0333	0.0	1.0	True
GCF_009914375.1_ASM991437v1_CDS_0365	0.0	1.0	True
GCF_009914375.1_ASM991437v1_CDS_0429	0.0	1.0	True
GCF_009914375.1_ASM991437v1_CDS_0557	0.0	1.0	True
GCF_009914375.1_ASM991437v1_CDS_0621	0.0	1.0	True
GCF_009914375.1_ASM991437v1_CDS_0685	0.0	1.0	True
GCF_009914375.1_ASM991437v1_CDS_0941	0.0	1.0	True
GCF_009914375.1_ASM991437v1_CDS_1006	0.0	1.0	True
GCF_009914375.1_ASM991437v1_CDS_1071	0.0	1.0	True
GCF_009914375.1_ASM991437v1_CDS_1167	0.0	1.0	True
GCF_009914375.1_ASM991437v1_CDS_1199	0.0	1.0	True
GCF_009914375.1_ASM991437v1_CDS_1552	0.0	1.0	True
GCF_009914375.1_ASM991437v1_CDS_1616	0.0	1.0	True
GCF_009914375.1_ASM991437v1_CDS_1648	0.0	1.0	True
GCF_009914375.1_ASM991437v1_CDS_1680	0.0	1.0	True
GCF_009914375.1_ASM991437v1_CDS_1776	0.0	1.0	True
GCF_009914375.1_ASM991437v1_CDS_1808	0.0	1.0	True
GCF_009914375.1_ASM991437v1_CDS_1872	0.0	1.0	True
GCF_009914375.1_ASM991437v1_CDS_1904	0.0	1.0	True
GCF_009914375.1_ASM991437v1_CDS_2000	0.0	1.0	True
GCF_009914375.1_ASM991437v1_CDS_2160	0.0	1.0	True
GCF_009914375.1_ASM991437v1_CDS_2192	0.0	1.0	True
