module_id	family_id
module_58	GCA_003359295.2_ASM335929v2_CDS_3439
module_58	GCA_003359315.2_ASM335931v2_CDS_3965
module_58	GCA_003359295.2_ASM335929v2_CDS_3444
module_63	GCA_003359295.2_ASM335929v2_CDS_3506
module_63	GCA_003359305.2_ASM335930v2_CDS_4836
module_63	GCA_003359305.2_ASM335930v2_CDS_4840
module_63	GCA_003359295.2_ASM335929v2_CDS_3502
module_63	GCA_003359305.2_ASM335930v2_CDS_4842
module_63	GCA_003359295.2_ASM335929v2_CDS_3501
module_63	GCA_003359305.2_ASM335930v2_CDS_4841
module_78	GCA_003359305.2_ASM335930v2_CDS_3827
module_78	GCF_001617545.1_ASM161754v1_CDS_1818
module_78	GCF_001617545.1_ASM161754v1_CDS_1819
module_81	GCA_003359305.2_ASM335930v2_CDS_2387
module_81	GCF_001617545.1_ASM161754v1_CDS_2641
module_81	GCF_001617545.1_ASM161754v1_CDS_2636
module_81	GCA_003359305.2_ASM335930v2_CDS_2386
module_72	GCA_003359305.2_ASM335930v2_CDS_6361
module_72	GCA_003359315.2_ASM335931v2_CDS_5678
module_72	GCA_003359295.2_ASM335929v2_CDS_4736
module_72	GCA_003359275.2_ASM335927v2_CDS_5284
module_68	GCA_003359295.2_ASM335929v2_CDS_4570
module_68	GCA_003359295.2_ASM335929v2_CDS_4568
module_68	GCA_003359295.2_ASM335929v2_CDS_4572
module_68	GCA_003359315.2_ASM335931v2_CDS_5108
module_74	GCA_003359295.2_ASM335929v2_CDS_4752
module_74	GCA_003359305.2_ASM335930v2_CDS_6375
module_74	GCA_003359305.2_ASM335930v2_CDS_6372
module_79	GCF_001617545.1_ASM161754v1_CDS_2273
module_79	GCF_001617545.1_ASM161754v1_CDS_2278
module_79	GCA_003354845.1_ASM335484v1_CDS_3949
module_79	GCA_003354845.1_ASM335484v1_CDS_3953
module_96	GCA_003359315.2_ASM335931v2_CDS_1556
module_96	GCA_003359225.2_ASM335922v2_CDS_1652
module_96	GCA_003359275.2_ASM335927v2_CDS_1434
module_96	GCA_003359225.2_ASM335922v2_CDS_1644
module_91	GCA_003359225.2_ASM335922v2_CDS_4635
module_91	GCA_003354845.1_ASM335484v1_CDS_4773
module_91	GCA_003359225.2_ASM335922v2_CDS_4634
module_76	GCF_001617545.1_ASM161754v1_CDS_0253
module_76	GCF_001617545.1_ASM161754v1_CDS_0254
module_76	GCF_001617545.1_ASM161754v1_CDS_0255
module_56	GCA_003359295.2_ASM335929v2_CDS_3079
module_56	GCA_003359315.2_ASM335931v2_CDS_3570
module_56	GCA_003359295.2_ASM335929v2_CDS_3078
module_56	GCA_003359315.2_ASM335931v2_CDS_3563
module_56	GCA_003359295.2_ASM335929v2_CDS_3086
module_52	GCA_003359295.2_ASM335929v2_CDS_1343
module_52	GCA_003359295.2_ASM335929v2_CDS_1351
module_52	GCA_003359295.2_ASM335929v2_CDS_1353
module_52	GCA_003359225.2_ASM335922v2_CDS_1641
module_52	GCA_003359225.2_ASM335922v2_CDS_1620
module_52	GCA_003359295.2_ASM335929v2_CDS_1340
module_52	GCA_003359295.2_ASM335929v2_CDS_1347
module_52	GCA_003359225.2_ASM335922v2_CDS_1626
module_52	GCA_003359225.2_ASM335922v2_CDS_1628
module_52	GCA_003359225.2_ASM335922v2_CDS_1621
module_52	GCA_003359295.2_ASM335929v2_CDS_1339
module_52	GCA_003359295.2_ASM335929v2_CDS_1346
module_52	GCA_003359225.2_ASM335922v2_CDS_1618
module_52	GCA_003359225.2_ASM335922v2_CDS_1634
module_52	GCA_003359225.2_ASM335922v2_CDS_1639
module_52	GCA_003359225.2_ASM335922v2_CDS_1640
module_52	GCA_003359295.2_ASM335929v2_CDS_1352
module_7	GCF_000191145.1_ASM19114v1_CDS_0622
module_7	GCF_000191145.1_ASM19114v1_CDS_0624
module_7	GCF_000191145.1_ASM19114v1_CDS_0623
module_54	GCA_003359225.2_ASM335922v2_CDS_2645
module_54	GCA_003359275.2_ASM335927v2_CDS_2476
module_54	GCA_003359315.2_ASM335931v2_CDS_2542
module_54	GCA_003359275.2_ASM335927v2_CDS_2477
module_54	GCA_003359225.2_ASM335922v2_CDS_2641
module_37	GCA_003359215.2_ASM335921v2_CDS_3469
module_37	GCA_003359315.2_ASM335931v2_CDS_3554
module_37	GCA_003359225.2_ASM335922v2_CDS_3700
module_37	GCA_003359215.2_ASM335921v2_CDS_3471
module_75	GCA_003359315.2_ASM335931v2_CDS_5765
module_75	GCA_003359315.2_ASM335931v2_CDS_5763
module_75	GCA_003359315.2_ASM335931v2_CDS_5767
module_75	GCA_003359295.2_ASM335929v2_CDS_4789
module_94	GCA_003359315.2_ASM335931v2_CDS_5343
module_94	GCF_001577285.1_ASM157728v1_CDS_3728
module_94	GCF_001577285.1_ASM157728v1_CDS_3730
module_94	GCF_001577285.1_ASM157728v1_CDS_3726
module_94	GCF_001577285.1_ASM157728v1_CDS_3732
module_94	GCA_003359315.2_ASM335931v2_CDS_5342
module_94	GCF_001577285.1_ASM157728v1_CDS_3727
module_51	GCA_003359295.2_ASM335929v2_CDS_1058
module_51	GCA_003359295.2_ASM335929v2_CDS_1057
module_51	GCA_003359295.2_ASM335929v2_CDS_1059
module_73	GCA_003359315.2_ASM335931v2_CDS_5699
module_73	GCA_003359275.2_ASM335927v2_CDS_5296
module_73	GCA_003359275.2_ASM335927v2_CDS_5295
module_9	GCF_000191145.1_ASM19114v1_CDS_0667
module_9	GCF_000191145.1_ASM19114v1_CDS_0673
module_9	GCF_000191145.1_ASM19114v1_CDS_0666
module_9	GCA_003354845.1_ASM335484v1_CDS_3466
module_9	GCA_003354845.1_ASM335484v1_CDS_3451
module_9	GCF_000191145.1_ASM19114v1_CDS_0668
module_9	GCF_000191145.1_ASM19114v1_CDS_0670
module_9	GCF_000191145.1_ASM19114v1_CDS_0672
module_9	GCF_000191145.1_ASM19114v1_CDS_0671
module_50	GCA_003359275.2_ASM335927v2_CDS_0754
module_50	GCA_003359225.2_ASM335922v2_CDS_0866
module_50	GCA_003359295.2_ASM335929v2_CDS_0721
module_50	GCA_003359295.2_ASM335929v2_CDS_0723
module_50	GCA_003359275.2_ASM335927v2_CDS_0747
module_92	GCF_001577285.1_ASM157728v1_CDS_1925
module_92	GCF_001577285.1_ASM157728v1_CDS_1927
module_92	GCF_001577285.1_ASM157728v1_CDS_1926
module_84	GCA_003359305.2_ASM335930v2_CDS_4326
module_84	GCF_001617545.1_ASM161754v1_CDS_3210
module_84	GCF_001617545.1_ASM161754v1_CDS_3207
module_4	GCF_000191145.1_ASM19114v1_CDS_0545
module_4	GCF_000191145.1_ASM19114v1_CDS_0540
module_4	GCF_000191145.1_ASM19114v1_CDS_0546
module_6	GCF_001617545.1_ASM161754v1_CDS_1707
module_6	GCF_001617545.1_ASM161754v1_CDS_1705
module_6	GCF_001617545.1_ASM161754v1_CDS_1706
module_6	GCF_001617545.1_ASM161754v1_CDS_1708
module_49	GCA_003359315.2_ASM335931v2_CDS_0348
module_49	GCA_003359295.2_ASM335929v2_CDS_0336
module_49	GCA_003359295.2_ASM335929v2_CDS_0329
module_49	GCA_003359315.2_ASM335931v2_CDS_0346
module_49	GCA_003359295.2_ASM335929v2_CDS_0334
module_53	GCA_003359295.2_ASM335929v2_CDS_2133
module_53	GCA_003359275.2_ASM335927v2_CDS_2421
module_53	GCA_003359315.2_ASM335931v2_CDS_2496
module_53	GCA_003359295.2_ASM335929v2_CDS_2136
module_83	GCF_001617545.1_ASM161754v1_CDS_3183
module_83	GCF_001617545.1_ASM161754v1_CDS_3186
module_83	GCA_003359225.2_ASM335922v2_CDS_1260
module_41	GCA_003359215.2_ASM335921v2_CDS_4325
module_41	GCA_003359215.2_ASM335921v2_CDS_4326
module_41	GCF_001617545.1_ASM161754v1_CDS_1009
module_41	GCA_003359215.2_ASM335921v2_CDS_4327
module_59	GCA_003359315.2_ASM335931v2_CDS_3974
module_59	GCA_003359315.2_ASM335931v2_CDS_3972
module_59	GCA_003359295.2_ASM335929v2_CDS_3452
module_59	GCA_003359315.2_ASM335931v2_CDS_3976
module_59	GCA_003359295.2_ASM335929v2_CDS_3450
module_34	GCA_003359305.2_ASM335930v2_CDS_3941
module_34	GCA_003359305.2_ASM335930v2_CDS_3942
module_34	GCA_003359305.2_ASM335930v2_CDS_3943
module_103	GCA_003359225.2_ASM335922v2_CDS_3537
module_103	GCA_003359225.2_ASM335922v2_CDS_3534
module_103	GCA_003359275.2_ASM335927v2_CDS_3387
module_103	GCA_003359225.2_ASM335922v2_CDS_3533
module_46	GCA_003359225.2_ASM335922v2_CDS_0292
module_46	GCA_003359295.2_ASM335929v2_CDS_0256
module_46	GCA_003359295.2_ASM335929v2_CDS_0261
module_46	GCA_003359295.2_ASM335929v2_CDS_0259
module_46	GCA_003359225.2_ASM335922v2_CDS_0298
module_48	GCF_001577285.1_ASM157728v1_CDS_0722
module_48	GCA_003359295.2_ASM335929v2_CDS_0313
module_48	GCA_003359295.2_ASM335929v2_CDS_0312
module_48	GCA_003359225.2_ASM335922v2_CDS_0347
module_48	GCF_001577285.1_ASM157728v1_CDS_0721
module_67	GCA_003359225.2_ASM335922v2_CDS_4642
module_67	GCF_001577285.1_ASM157728v1_CDS_1599
module_67	GCA_003359225.2_ASM335922v2_CDS_4640
module_67	GCA_003359225.2_ASM335922v2_CDS_4639
module_67	GCA_003359315.2_ASM335931v2_CDS_4451
module_60	GCA_003359295.2_ASM335929v2_CDS_3469
module_60	GCA_003359305.2_ASM335930v2_CDS_4763
module_60	GCA_003359305.2_ASM335930v2_CDS_4778
module_60	GCA_003359295.2_ASM335929v2_CDS_3470
module_60	GCA_003359305.2_ASM335930v2_CDS_4780
module_60	GCA_003359295.2_ASM335929v2_CDS_3467
module_60	GCA_003359295.2_ASM335929v2_CDS_3471
module_60	GCA_003359305.2_ASM335930v2_CDS_4782
module_60	GCA_003359295.2_ASM335929v2_CDS_3465
module_60	GCA_003359305.2_ASM335930v2_CDS_4771
module_60	GCA_003359305.2_ASM335930v2_CDS_4785
module_60	GCA_003359295.2_ASM335929v2_CDS_3464
module_60	GCA_003359305.2_ASM335930v2_CDS_4760
module_60	GCA_003359295.2_ASM335929v2_CDS_3466
module_60	GCA_003359295.2_ASM335929v2_CDS_3455
module_60	GCA_003359295.2_ASM335929v2_CDS_3463
module_60	GCA_003359295.2_ASM335929v2_CDS_3474
module_60	GCA_003359295.2_ASM335929v2_CDS_3478
module_60	GCA_003359305.2_ASM335930v2_CDS_4756
module_60	GCA_003359305.2_ASM335930v2_CDS_4781
module_66	GCA_003354845.1_ASM335484v1_CDS_4742
module_66	GCA_003359275.2_ASM335927v2_CDS_4476
module_66	GCF_001577285.1_ASM157728v1_CDS_1622
module_66	GCA_003354845.1_ASM335484v1_CDS_4750
module_66	GCA_003359295.2_ASM335929v2_CDS_3895
module_66	GCA_003359295.2_ASM335929v2_CDS_3909
module_66	GCA_003359275.2_ASM335927v2_CDS_4468
module_66	GCF_001577285.1_ASM157728v1_CDS_1620
module_66	GCF_001577285.1_ASM157728v1_CDS_1619
module_66	GCA_003359225.2_ASM335922v2_CDS_4597
module_47	GCA_003354845.1_ASM335484v1_CDS_0456
module_47	GCA_003354845.1_ASM335484v1_CDS_0459
