module_id	family_id
module_62	GCA_005280395.1_ASM528039v1_CDS_4283
module_62	GCA_003627485.2_ASM362748v2_CDS_3088
module_62	GCA_005280395.1_ASM528039v1_CDS_4288
module_62	GCA_005280395.1_ASM528039v1_CDS_4289
module_62	GCA_005280395.1_ASM528039v1_CDS_4290
module_62	GCA_005280395.1_ASM528039v1_CDS_4293
module_62	GCA_003627485.2_ASM362748v2_CDS_3089
module_62	GCA_005280395.1_ASM528039v1_CDS_4294
module_62	GCA_005280395.1_ASM528039v1_CDS_4285
module_62	GCA_005280395.1_ASM528039v1_CDS_4286
module_62	GCA_005280395.1_ASM528039v1_CDS_4287
module_62	GCA_005280395.1_ASM528039v1_CDS_4282
module_62	GCA_005280395.1_ASM528039v1_CDS_4284
module_59	GCA_002762545.2_ASM276254v2_CDS_2488
module_59	GCA_000189735.2_ASM18973v2_CDS_2825
module_59	GCA_000189735.2_ASM18973v2_CDS_2828
module_59	GCA_000189735.2_ASM18973v2_CDS_2830
module_59	GCA_000189735.2_ASM18973v2_CDS_2832
module_59	GCA_002762545.2_ASM276254v2_CDS_2483
module_59	GCA_002762545.2_ASM276254v2_CDS_2485
module_59	GCA_002762545.2_ASM276254v2_CDS_2482
module_59	GCA_000189735.2_ASM18973v2_CDS_2831
module_59	GCA_002762545.2_ASM276254v2_CDS_2484
module_59	GCA_000189735.2_ASM18973v2_CDS_2826
module_59	GCA_000189735.2_ASM18973v2_CDS_2833
module_56	GCA_000189735.2_ASM18973v2_CDS_1317
module_56	GCA_002762545.2_ASM276254v2_CDS_2666
module_56	GCA_002762545.2_ASM276254v2_CDS_2668
module_56	GCA_002762545.2_ASM276254v2_CDS_2664
module_64	GCA_005280355.1_ASM528035v1_CDS_2771
module_64	GCA_005280355.1_ASM528035v1_CDS_2768
module_64	GCA_005280355.1_ASM528035v1_CDS_2770
module_64	GCA_005280355.1_ASM528035v1_CDS_2776
module_64	GCA_005280355.1_ASM528035v1_CDS_2769
module_6	GCA_000189735.2_ASM18973v2_CDS_1014
module_6	GCA_000189735.2_ASM18973v2_CDS_1012
module_6	GCA_002009115.1_ASM200911v1_CDS_0723
module_6	GCA_000189735.2_ASM18973v2_CDS_1010
module_6	GCA_005280355.1_ASM528035v1_CDS_1770
module_6	GCA_005280355.1_ASM528035v1_CDS_1772
module_6	GCA_002009115.1_ASM200911v1_CDS_0724
module_6	GCA_005280355.1_ASM528035v1_CDS_1773
module_6	GCA_000189735.2_ASM18973v2_CDS_1011
module_6	GCA_005280355.1_ASM528035v1_CDS_1769
module_6	GCA_005280355.1_ASM528035v1_CDS_1771
module_6	GCA_002009115.1_ASM200911v1_CDS_0725
module_6	GCA_000189735.2_ASM18973v2_CDS_1013
module_24	GCA_000189735.2_ASM18973v2_CDS_4005
module_24	GCA_000307975.2_ASM30797v2_CDS_3689
module_24	GCA_000307975.2_ASM30797v2_CDS_3697
module_24	GCA_005280355.1_ASM528035v1_CDS_3889
module_24	GCA_005280355.1_ASM528035v1_CDS_3887
module_24	GCA_005280355.1_ASM528035v1_CDS_3892
module_24	GCA_005280355.1_ASM528035v1_CDS_3890
module_24	GCA_005280355.1_ASM528035v1_CDS_3888
module_60	GCA_000189735.2_ASM18973v2_CDS_2865
module_60	GCA_000189735.2_ASM18973v2_CDS_2860
module_60	GCA_000189735.2_ASM18973v2_CDS_2862
module_60	GCA_000189735.2_ASM18973v2_CDS_2861
module_60	GCA_000189735.2_ASM18973v2_CDS_2864
module_60	GCA_000189735.2_ASM18973v2_CDS_2859
module_60	GCA_000189735.2_ASM18973v2_CDS_2858
module_60	GCA_000189735.2_ASM18973v2_CDS_2857
module_25	GCA_000189735.2_ASM18973v2_CDS_4015
