module_id	organism	completion
module_61	GCA_003359505.2_ASM335950v2	1.0
module_61	GCF_002951295.1_ASM295129v1	1.0
module_42	GCF_000814165.3_ASM81416v3	1.0
module_42	GCF_004295305.1_ASM429530v1	1.0
module_44	GCA_003359505.2_ASM335950v2	1.0
module_44	GCF_002951295.1_ASM295129v1	1.0
module_44	GCF_004295305.1_ASM429530v1	1.0
module_43	GCF_000814165.3_ASM81416v3	1.0
module_43	GCF_004295305.1_ASM429530v1	1.0
module_68	GCF_002082665.1_ASM208266v1	1.0
module_68	GCA_003359505.2_ASM335950v2	1.0
module_68	GCF_002951295.1_ASM295129v1	1.0
module_68	GCF_003143895.1_ASM314389v1	1.0
module_41	GCA_003359395.2_ASM335939v2	1.0
module_41	GCA_003359355.2_ASM335935v2	1.0
module_41	GCF_003143895.1_ASM314389v1	1.0
module_41	GCF_004295305.1_ASM429530v1	1.0
module_72	GCA_003359505.2_ASM335950v2	1.0
module_72	GCF_002951295.1_ASM295129v1	1.0
module_72	GCF_003143895.1_ASM314389v1	1.0
module_1	GCA_003359435.2_ASM335943v2	1.0
module_1	GCA_003359395.2_ASM335939v2	1.0
module_1	GCA_003359355.2_ASM335935v2	1.0
module_8	GCA_003359435.2_ASM335943v2	1.0
module_8	GCF_002082665.1_ASM208266v1	0.75
module_8	GCA_003359395.2_ASM335939v2	1.0
module_8	GCA_003359355.2_ASM335935v2	1.0
module_66	GCF_002082665.1_ASM208266v1	1.0
module_66	GCA_003359505.2_ASM335950v2	1.0
module_66	GCF_002951295.1_ASM295129v1	1.0
module_66	GCF_003143895.1_ASM314389v1	1.0
module_67	GCF_002082665.1_ASM208266v1	1.0
module_67	GCA_003359375.2_ASM335937v2	0.33
module_67	GCF_003143895.1_ASM314389v1	1.0
module_67	GCA_003359505.2_ASM335950v2	1.0
module_67	GCF_002951295.1_ASM295129v1	1.0
module_67	GCF_000814165.3_ASM81416v3	1.0
module_40	GCF_003143895.1_ASM314389v1	1.0
module_40	GCF_004295305.1_ASM429530v1	1.0
module_39	GCF_002951295.1_ASM295129v1	1.0
module_39	GCF_004295305.1_ASM429530v1	1.0
module_65	GCA_003359375.2_ASM335937v2	1.0
module_65	GCF_002082665.1_ASM208266v1	1.0
module_65	GCF_003143895.1_ASM314389v1	1.0
module_65	GCA_003359505.2_ASM335950v2	1.0
module_65	GCA_003359355.2_ASM335935v2	0.2
module_65	GCF_002951295.1_ASM295129v1	1.0
module_65	GCF_000814165.3_ASM81416v3	1.0
module_33	GCA_003359435.2_ASM335943v2	1.0
module_33	GCA_003359395.2_ASM335939v2	1.0
module_70	GCA_003359505.2_ASM335950v2	1.0
module_70	GCF_002951295.1_ASM295129v1	1.0
module_60	GCA_003359505.2_ASM335950v2	1.0
module_60	GCF_002951295.1_ASM295129v1	1.0
module_37	GCF_000814165.3_ASM81416v3	1.0
module_37	GCF_004295305.1_ASM429530v1	1.0
module_38	GCF_000814165.3_ASM81416v3	1.0
module_38	GCF_004295305.1_ASM429530v1	1.0
module_69	GCF_000814165.3_ASM81416v3	1.0
module_69	GCF_002951295.1_ASM295129v1	1.0
module_69	GCA_003359505.2_ASM335950v2	1.0
module_64	GCF_002082665.1_ASM208266v1	1.0
module_64	GCA_003359375.2_ASM335937v2	1.0
module_64	GCA_003359505.2_ASM335950v2	1.0
module_64	GCF_002951295.1_ASM295129v1	1.0
module_64	GCF_003143895.1_ASM314389v1	1.0
module_18	GCA_003359435.2_ASM335943v2	1.0
module_18	GCA_003359395.2_ASM335939v2	1.0
module_18	GCA_003359355.2_ASM335935v2	1.0
module_18	GCF_004295305.1_ASM429530v1	1.0
module_34	GCA_003359435.2_ASM335943v2	1.0
module_34	GCA_003359395.2_ASM335939v2	1.0
module_34	GCA_003359355.2_ASM335935v2	1.0
module_15	GCA_003359435.2_ASM335943v2	1.0
module_15	GCF_002082665.1_ASM208266v1	1.0
module_15	GCA_003359375.2_ASM335937v2	0.88
module_15	GCA_003359395.2_ASM335939v2	1.0
module_15	GCA_003359355.2_ASM335935v2	1.0
module_15	GCF_003143895.1_ASM314389v1	1.0
module_62	GCA_003359375.2_ASM335937v2	0.9
module_62	GCF_002082665.1_ASM208266v1	1.0
module_62	GCF_003143895.1_ASM314389v1	1.0
module_62	GCA_003359505.2_ASM335950v2	1.0
module_62	GCF_002951295.1_ASM295129v1	1.0
module_62	GCF_000814165.3_ASM81416v3	1.0
