gene	contig	start	stop	strand	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
GCA_000189735.2_ASM18973v2_CDS_0001	CP002522.2	46	891	+	GCA_005280355.1_ASM528035v1_CDS_3878	1	persistent	2	0	1
GCA_000189735.2_ASM18973v2_CDS_0002	CP002522.2	948	1283	-	GCA_003627485.2_ASM362748v2_CDS_0272	1	persistent	2	0	1
GCA_000189735.2_ASM18973v2_CDS_0003	CP002522.2	1408	2412	-	GCA_005280395.1_ASM528039v1_CDS_3324	1	persistent	2	0	1
GCA_000189735.2_ASM18973v2_CDS_0004	CP002522.2	2755	3762	-	GCA_005280395.1_ASM528039v1_CDS_3323	1	persistent	2	0	1
GCA_000189735.2_ASM18973v2_CDS_0005	CP002522.2	4018	5022	-	GCA_000015425.1_ASM1542v1_CDS_0008	1	persistent	2	0	0
GCA_000189735.2_ASM18973v2_CDS_0006	CP002522.2	5279	7210	+	GCA_000015425.1_ASM1542v1_CDS_0007	1	persistent	2	0	0
GCA_000189735.2_ASM18973v2_CDS_0007	CP002522.2	7461	8018	+	GCA_005280395.1_ASM528039v1_CDS_3320	1	persistent	2	0	0
GCA_000189735.2_ASM18973v2_CDS_0008	CP002522.2	8102	8494	-	GCA_005280395.1_ASM528039v1_CDS_3319	1	persistent	2	0	0
GCA_000189735.2_ASM18973v2_CDS_0009	CP002522.2	8532	11000	-	GCA_005280395.1_ASM528039v1_CDS_3318	1	persistent	2	0	0
GCA_000189735.2_ASM18973v2_CDS_0010	CP002522.2	11053	12135	-	GCA_000015425.1_ASM1542v1_CDS_0003	1	persistent	2	0	0
GCA_000189735.2_ASM18973v2_CDS_0011	CP002522.2	12150	13298	-	GCA_000015425.1_ASM1542v1_CDS_0002	1	persistent	2	0	0
GCA_000189735.2_ASM18973v2_CDS_0012	CP002522.2	13396	14793	-	GCA_000015425.1_ASM1542v1_CDS_0001	1	persistent	2	0	1
GCA_000189735.2_ASM18973v2_CDS_0013	CP002522.2	15463	15597	+	GCA_002009115.1_ASM200911v1_CDS_1753	1	persistent	4	0	1
GCA_000189735.2_ASM18973v2_CDS_0014	CP002522.2	15627	16019	+	GCA_002762545.2_ASM276254v2_CDS_1323	1	persistent	2	0	0
GCA_000189735.2_ASM18973v2_CDS_0015	CP002522.2	16030	16350	+	GCA_002009115.1_ASM200911v1_CDS_1751	1	persistent	3	0	0
GCA_000189735.2_ASM18973v2_CDS_0016	CP002522.2	16356	18116	+	GCA_003012895.2_ASM301289v2_CDS_0914	1	persistent	2	0	1
GCA_000189735.2_ASM18973v2_CDS_0017	CP002522.2	18207	19562	+	GCA_003012895.2_ASM301289v2_CDS_0915	1	persistent	2	0	2
GCA_000189735.2_ASM18973v2_CDS_0018	CP002522.2	19608	19871	-	GCA_000189735.2_ASM18973v2_CDS_0018	1	persistent	2	0	1
GCA_000189735.2_ASM18973v2_CDS_0019	CP002522.2	19929	20903	+	GCA_002762545.2_ASM276254v2_CDS_1328	1	persistent	2	0	0
GCA_000189735.2_ASM18973v2_CDS_0020	CP002522.2	20999	21697	+	GCA_000189735.2_ASM18973v2_CDS_0020	1	persistent	2	0	0
GCA_000189735.2_ASM18973v2_CDS_0021	CP002522.2	21750	22001	-	GCA_000307975.2_ASM30797v2_CDS_1895	1	persistent	2	0	0
GCA_000189735.2_ASM18973v2_CDS_0022	CP002522.2	22174	22701	-	GCA_000307975.2_ASM30797v2_CDS_1894	1	persistent	3	0	0
