module_id	family_id
module_19	GCF_002165255.2_ASM216525v2_CDS_0066
module_19	GCF_002165255.2_ASM216525v2_CDS_0072
module_19	GCA_001581975.1_ASM158197v1_CDS_0096
module_8	GCF_001278715.1_ASM127871v1_CDS_0914
module_8	GCA_001581975.1_ASM158197v1_CDS_1768
module_8	GCF_001278715.1_ASM127871v1_CDS_0916
module_8	GCF_002934695.1_ASM293469v1_CDS_2095
module_24	GCF_002165305.2_ASM216530v2_CDS_0656
module_24	GCF_002934695.1_ASM293469v1_CDS_2197
module_24	GCF_002165255.2_ASM216525v2_CDS_0665
module_20	GCF_002165255.2_ASM216525v2_CDS_0086
module_20	GCF_002165255.2_ASM216525v2_CDS_0081
module_20	GCF_002165255.2_ASM216525v2_CDS_0082
module_20	GCF_002165255.2_ASM216525v2_CDS_0080
module_6	GCF_001278715.1_ASM127871v1_CDS_0184
module_6	GCA_001581975.1_ASM158197v1_CDS_1295
module_6	GCA_001581975.1_ASM158197v1_CDS_1294
module_6	GCF_001278715.1_ASM127871v1_CDS_0185
module_6	GCA_001581975.1_ASM158197v1_CDS_1298
module_3	GCF_001696615.3_ASM169661v3_CDS_2102
module_3	GCF_001696615.3_ASM169661v3_CDS_2105
module_3	GCF_001278715.1_ASM127871v1_CDS_0147
module_1	GCF_002165305.2_ASM216530v2_CDS_1611
module_1	GCA_001581975.1_ASM158197v1_CDS_2485
module_1	GCF_002165305.2_ASM216530v2_CDS_1612
module_1	GCF_002165305.2_ASM216530v2_CDS_1610
module_14	GCF_002165255.2_ASM216525v2_CDS_2599
module_14	GCF_002165255.2_ASM216525v2_CDS_2595
module_14	GCF_002165255.2_ASM216525v2_CDS_2597
module_13	GCF_001612555.1_ASM161255v1_CDS_0404
module_13	GCF_001278715.1_ASM127871v1_CDS_1470
module_13	GCF_002934695.1_ASM293469v1_CDS_0902
module_12	GCF_002934695.1_ASM293469v1_CDS_1377
module_12	GCF_002934695.1_ASM293469v1_CDS_1375
module_12	GCF_001278715.1_ASM127871v1_CDS_1465
module_17	GCF_002688565.1_ASM268856v1_CDS_2616
module_17	GCF_001278715.1_ASM127871v1_CDS_2579
module_17	GCF_001278715.1_ASM127871v1_CDS_2573
module_18	GCF_002165255.2_ASM216525v2_CDS_0038
module_18	GCA_001581975.1_ASM158197v1_CDS_0038
module_18	GCA_001581975.1_ASM158197v1_CDS_0036
module_4	GCF_001278715.1_ASM127871v1_CDS_0157
module_4	GCF_001612555.1_ASM161255v1_CDS_1069
module_4	GCF_001612555.1_ASM161255v1_CDS_1068
module_16	GCF_002165295.2_ASM216529v2_CDS_0831
module_16	GCF_002165305.2_ASM216530v2_CDS_2278
module_16	GCF_001278715.1_ASM127871v1_CDS_2332
module_16	GCF_002165295.2_ASM216529v2_CDS_0832
module_7	GCF_002165305.2_ASM216530v2_CDS_3673
module_7	GCF_002165305.2_ASM216530v2_CDS_3675
module_7	GCF_002165305.2_ASM216530v2_CDS_3672
module_9	GCF_001278715.1_ASM127871v1_CDS_0923
module_9	GCF_001278715.1_ASM127871v1_CDS_0922
module_9	GCF_001278715.1_ASM127871v1_CDS_0924
module_9	GCF_001278715.1_ASM127871v1_CDS_0925
module_5	GCF_001278715.1_ASM127871v1_CDS_0180
module_5	GCF_001278715.1_ASM127871v1_CDS_0181
module_5	GCF_001278715.1_ASM127871v1_CDS_0179
module_15	GCF_001278715.1_ASM127871v1_CDS_2096
module_15	GCF_001278715.1_ASM127871v1_CDS_2097
module_15	GCF_002165295.2_ASM216529v2_CDS_1031
module_11	GCF_001278715.1_ASM127871v1_CDS_1444
module_11	GCF_002165255.2_ASM216525v2_CDS_2576
module_11	GCF_002934695.1_ASM293469v1_CDS_3014
module_10	GCF_002934695.1_ASM293469v1_CDS_3027
module_10	GCF_002165255.2_ASM216525v2_CDS_2556
module_10	GCF_002165255.2_ASM216525v2_CDS_2554
module_10	GCF_002934695.1_ASM293469v1_CDS_3023
module_10	GCF_002165255.2_ASM216525v2_CDS_2555
module_21	GCF_002934695.1_ASM293469v1_CDS_1379
module_21	GCF_002165305.2_ASM216530v2_CDS_0100
module_21	GCF_001612555.1_ASM161255v1_CDS_3069
module_21	GCF_002934695.1_ASM293469v1_CDS_1380
module_48	GCF_002165255.2_ASM216525v2_CDS_2736
module_48	GCF_002165255.2_ASM216525v2_CDS_2737
module_48	GCF_002165255.2_ASM216525v2_CDS_2735
module_82	GCF_002934695.1_ASM293469v1_CDS_3142
module_82	GCF_002688565.1_ASM268856v1_CDS_1269
module_82	GCF_002934695.1_ASM293469v1_CDS_3140
module_74	GCF_001696615.3_ASM169661v3_CDS_2501
module_74	GCF_002165305.2_ASM216530v2_CDS_0154
module_74	GCF_001696615.3_ASM169661v3_CDS_2500
module_72	GCA_001581975.1_ASM158197v1_CDS_2561
module_72	GCF_002688565.1_ASM268856v1_CDS_0244
module_72	GCF_002688565.1_ASM268856v1_CDS_0249
module_88	GCF_002934695.1_ASM293469v1_CDS_0755
module_88	GCF_002688565.1_ASM268856v1_CDS_1919
module_88	GCF_002934695.1_ASM293469v1_CDS_0753
module_57	GCF_002934695.1_ASM293469v1_CDS_2165
module_57	GCF_001647675.1_ASM164767v1_CDS_0518
module_57	GCF_002688565.1_ASM268856v1_CDS_0359
module_57	GCF_002934695.1_ASM293469v1_CDS_2160
module_71	GCF_002688565.1_ASM268856v1_CDS_0110
module_71	GCF_002688565.1_ASM268856v1_CDS_0111
module_71	GCF_002688565.1_ASM268856v1_CDS_0109
module_51	GCF_002165305.2_ASM216530v2_CDS_2312
module_51	GCF_002165305.2_ASM216530v2_CDS_2311
module_51	GCF_002165305.2_ASM216530v2_CDS_2313
module_51	GCF_002165305.2_ASM216530v2_CDS_2310
module_65	GCF_001647675.1_ASM164767v1_CDS_2671
module_65	GCF_001647675.1_ASM164767v1_CDS_2668
module_65	GCF_002934695.1_ASM293469v1_CDS_1350
module_65	GCF_001647675.1_ASM164767v1_CDS_2672
module_52	GCA_001581975.1_ASM158197v1_CDS_3935
module_52	GCF_002165305.2_ASM216530v2_CDS_3273
module_52	GCF_002165305.2_ASM216530v2_CDS_3275
module_52	GCF_002165305.2_ASM216530v2_CDS_3274
module_52	GCF_002165305.2_ASM216530v2_CDS_3269
module_52	GCF_002165305.2_ASM216530v2_CDS_3276
module_87	GCF_002934695.1_ASM293469v1_CDS_0707
module_87	GCF_002688565.1_ASM268856v1_CDS_1878
module_87	GCF_002688565.1_ASM268856v1_CDS_1877
module_0	GCF_002688565.1_ASM268856v1_CDS_2132
module_0	GCF_001278715.1_ASM127871v1_CDS_0116
module_0	GCF_001278715.1_ASM127871v1_CDS_0118
module_54	GCA_001581975.1_ASM158197v1_CDS_3857
module_54	GCA_001581975.1_ASM158197v1_CDS_3858
module_54	GCA_001581975.1_ASM158197v1_CDS_3855
module_130	GCF_001696615.3_ASM169661v3_CDS_2355
module_130	GCF_001696615.3_ASM169661v3_CDS_2360
module_130	GCF_002165305.2_ASM216530v2_CDS_3053
module_130	GCF_001696615.3_ASM169661v3_CDS_2366
module_130	GCF_002165305.2_ASM216530v2_CDS_3051
module_130	GCF_002165305.2_ASM216530v2_CDS_3052
module_130	GCF_001696615.3_ASM169661v3_CDS_2361
module_130	GCF_001696615.3_ASM169661v3_CDS_2359
module_23	GCA_001581975.1_ASM158197v1_CDS_2996
module_23	GCF_002165255.2_ASM216525v2_CDS_0560
module_23	GCF_002165255.2_ASM216525v2_CDS_0569
module_23	GCF_002165255.2_ASM216525v2_CDS_0564
module_23	GCA_001581975.1_ASM158197v1_CDS_2984
module_49	GCF_002165305.2_ASM216530v2_CDS_1841
module_49	GCF_002165305.2_ASM216530v2_CDS_1842
module_49	GCF_002165305.2_ASM216530v2_CDS_1840
module_79	GCF_002934695.1_ASM293469v1_CDS_2884
module_79	GCF_002934695.1_ASM293469v1_CDS_2885
module_79	GCF_002934695.1_ASM293469v1_CDS_2877
module_79	GCF_002934695.1_ASM293469v1_CDS_2886
module_79	GCF_002934695.1_ASM293469v1_CDS_2881
module_47	GCF_002165255.2_ASM216525v2_CDS_2649
module_47	GCA_001581975.1_ASM158197v1_CDS_3705
module_47	GCF_002165255.2_ASM216525v2_CDS_2655
module_47	GCF_002165255.2_ASM216525v2_CDS_2652
module_123	GCF_001612555.1_ASM161255v1_CDS_0635
module_123	GCF_001612555.1_ASM161255v1_CDS_0633
module_123	GCF_001612555.1_ASM161255v1_CDS_0634
module_81	GCF_002934695.1_ASM293469v1_CDS_3090
module_81	GCF_002688565.1_ASM268856v1_CDS_1222
module_81	GCF_002688565.1_ASM268856v1_CDS_1217
module_22	GCF_002165255.2_ASM216525v2_CDS_0139
module_22	GCF_002165255.2_ASM216525v2_CDS_0142
module_22	GCA_001581975.1_ASM158197v1_CDS_0172
module_22	GCF_002165255.2_ASM216525v2_CDS_0143
module_22	GCF_002165255.2_ASM216525v2_CDS_0135
module_22	GCF_002165255.2_ASM216525v2_CDS_0136
