#soft_core=0.95
#duplication_margin=0.05
organism	nb_families	nb_persistent_families	nb_shell_families	nb_cloud_families	nb_exact_core	nb_soft_core	nb_genes	nb_persistent_genes	nb_shell_genes	nb_cloud_genes	nb_exact_core_genes	nb_soft_core_genes	completeness	nb_single_copy_markers
GCF_009914415.1_ASM991441v1	2769	2336	153	280	2181	2181	2852	2408	160	284	2244	2244	99.36	2181
GCF_009914435.1_ASM991443v1	2771	2338	153	280	2181	2181	2896	2422	185	289	2243	2243	99.32	2180
GCF_009914475.1_ASM991447v1	2805	2336	153	316	2181	2181	2890	2411	161	318	2246	2246	99.36	2181
GCA_010918035.1_ASM1091803v1	2903	2337	143	423	2181	2181	3191	2476	197	518	2281	2281	99.27	2179
GCF_009914375.1_ASM991437v1	2767	2318	133	316	2181	2181	2976	2473	172	331	2292	2292	98.5	2162
GCF_002953575.2_ASM295357v2	2827	2303	125	399	2181	2181	2994	2421	146	427	2268	2268	98.41	2160
GCF_009734145.1_ASM973414v1	2832	2302	111	419	2181	2181	3117	2435	197	485	2267	2267	97.95	2150
GCF_009914395.1_ASM991439v1	2840	2315	138	387	2181	2181	3046	2457	188	401	2270	2270	98.41	2160
GCF_009296145.1_ASM929614v1	2885	2344	103	438	2181	2181	3092	2490	130	472	2270	2270	99.54	2185
GCF_010917815.1_ASM1091781v1	2942	2340	127	475	2181	2181	3110	2433	175	502	2249	2249	99.36	2181
