"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Accessory Fragment","Genome Fragment","Order within Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_009914415.1_ASM991441v1","GCF_009914435.1_ASM991443v1","GCF_009914475.1_ASM991447v1","GCA_010918035.1_ASM1091803v1","GCF_009914375.1_ASM991437v1","GCF_002953575.2_ASM295357v2","GCF_009734145.1_ASM973414v1","GCF_009914395.1_ASM991439v1","GCF_009296145.1_ASM929614v1","GCF_010917815.1_ASM1091781v1"
"GCA_010918035.1_ASM1091803v1_CDS_2794","cloud","","1","1","1.0","NA","NA","","","","545","545","545.0","","","","GCA_010918035.1_ASM1091803v1_CDS_2794","","","","","",""
"GCA_010918035.1_ASM1091803v1_CDS_3018","persistent","","8","10","1.25","NA","NA","","","","329","779","734.0","GCF_009914415.1_ASM991441v1_CDS_2845","GCF_009914435.1_ASM991443v1_CDS_2763","GCF_009914475.1_ASM991447v1_CDS_2849","GCA_010918035.1_ASM1091803v1_CDS_2982" "GCA_010918035.1_ASM1091803v1_CDS_3018","GCF_009914375.1_ASM991437v1_CDS_2906","","","GCF_009914395.1_ASM991439v1_CDS_2813","GCF_009296145.1_ASM929614v1_CDS_2980","GCF_010917815.1_ASM1091781v1_CDS_3042" "GCF_010917815.1_ASM1091781v1_CDS_3067"
"GCA_010918035.1_ASM1091803v1_CDS_3082","cloud","","1","1","1.0","NA","NA","","","","227","227","227.0","","","","GCA_010918035.1_ASM1091803v1_CDS_3082","","","","","",""
"GCA_010918035.1_ASM1091803v1_CDS_3178","cloud","","1","2","2.0","NA","NA","","","","188","209","198.5","","","","GCA_010918035.1_ASM1091803v1_CDS_3161" "GCA_010918035.1_ASM1091803v1_CDS_3178","","","","","",""
"GCF_009914375.1_ASM991437v1_CDS_0045","persistent","","10","10","1.0","NA","NA","","","","1295","1295","1295.0","GCF_009914415.1_ASM991441v1_CDS_2297","GCF_009914435.1_ASM991443v1_CDS_2261","GCF_009914475.1_ASM991447v1_CDS_0058","GCA_010918035.1_ASM1091803v1_CDS_0352","GCF_009914375.1_ASM991437v1_CDS_0045","GCF_002953575.2_ASM295357v2_CDS_2490","GCF_009734145.1_ASM973414v1_CDS_0546","GCF_009914395.1_ASM991439v1_CDS_2261","GCF_009296145.1_ASM929614v1_CDS_0558","GCF_010917815.1_ASM1091781v1_CDS_0526"
"GCF_009914375.1_ASM991437v1_CDS_0077","cloud","","1","1","1.0","NA","NA","","","","482","482","482.0","","","","","GCF_009914375.1_ASM991437v1_CDS_0077","","","","",""
"GCF_009914375.1_ASM991437v1_CDS_0141","persistent","","10","10","1.0","NA","NA","","","","575","575","575.0","GCF_009914415.1_ASM991441v1_CDS_2370","GCF_009914435.1_ASM991443v1_CDS_2333","GCF_009914475.1_ASM991447v1_CDS_2793","GCA_010918035.1_ASM1091803v1_CDS_0273","GCF_009914375.1_ASM991437v1_CDS_0141","GCF_002953575.2_ASM295357v2_CDS_2565","GCF_009734145.1_ASM973414v1_CDS_0454","GCF_009914395.1_ASM991439v1_CDS_2337","GCF_009296145.1_ASM929614v1_CDS_0481","GCF_010917815.1_ASM1091781v1_CDS_0453"
"GCF_009914375.1_ASM991437v1_CDS_0173","persistent","","10","10","1.0","NA","NA","","","","1118","1118","1118.0","GCF_009914415.1_ASM991441v1_CDS_2402","GCF_009914435.1_ASM991443v1_CDS_2365","GCF_009914475.1_ASM991447v1_CDS_2761","GCA_010918035.1_ASM1091803v1_CDS_0243","GCF_009914375.1_ASM991437v1_CDS_0173","GCF_002953575.2_ASM295357v2_CDS_2597","GCF_009734145.1_ASM973414v1_CDS_0422","GCF_009914395.1_ASM991439v1_CDS_2369","GCF_009296145.1_ASM929614v1_CDS_0446","GCF_010917815.1_ASM1091781v1_CDS_0423"
"GCF_009914375.1_ASM991437v1_CDS_0205","persistent","","8","8","1.0","NA","NA","","","","518","518","518.0","GCF_009914415.1_ASM991441v1_CDS_2432","GCF_009914435.1_ASM991443v1_CDS_2395","GCF_009914475.1_ASM991447v1_CDS_2731","GCA_010918035.1_ASM1091803v1_CDS_0213","GCF_009914375.1_ASM991437v1_CDS_0205","","","GCF_009914395.1_ASM991439v1_CDS_2404","GCF_009296145.1_ASM929614v1_CDS_0416","GCF_010917815.1_ASM1091781v1_CDS_0393"
"GCF_009914375.1_ASM991437v1_CDS_0269","persistent","","10","10","1.0","NA","NA","","","","1502","1502","1502.0","GCF_009914415.1_ASM991441v1_CDS_2506","GCF_009914435.1_ASM991443v1_CDS_2469","GCF_009914475.1_ASM991447v1_CDS_2657","GCA_010918035.1_ASM1091803v1_CDS_0136","GCF_009914375.1_ASM991437v1_CDS_0269","GCF_002953575.2_ASM295357v2_CDS_2686","GCF_009734145.1_ASM973414v1_CDS_0333","GCF_009914395.1_ASM991439v1_CDS_2468","GCF_009296145.1_ASM929614v1_CDS_0335","GCF_010917815.1_ASM1091781v1_CDS_0323"
"GCF_009914375.1_ASM991437v1_CDS_0301","persistent","","10","10","1.0","NA","NA","","","","914","914","914.0","GCF_009914415.1_ASM991441v1_CDS_2539","GCF_009914435.1_ASM991443v1_CDS_2501","GCF_009914475.1_ASM991447v1_CDS_2624","GCA_010918035.1_ASM1091803v1_CDS_0104","GCF_009914375.1_ASM991437v1_CDS_0301","GCF_002953575.2_ASM295357v2_CDS_2718","GCF_009734145.1_ASM973414v1_CDS_0301","GCF_009914395.1_ASM991439v1_CDS_2500","GCF_009296145.1_ASM929614v1_CDS_0302","GCF_010917815.1_ASM1091781v1_CDS_0290"
"GCF_009914375.1_ASM991437v1_CDS_0333","persistent","","10","10","1.0","NA","NA","","","","2249","2249","2249.0","GCF_009914415.1_ASM991441v1_CDS_2569","GCF_009914435.1_ASM991443v1_CDS_2535","GCF_009914475.1_ASM991447v1_CDS_2594","GCA_010918035.1_ASM1091803v1_CDS_0074","GCF_009914375.1_ASM991437v1_CDS_0333","GCF_002953575.2_ASM295357v2_CDS_2750","GCF_009734145.1_ASM973414v1_CDS_0269","GCF_009914395.1_ASM991439v1_CDS_2530","GCF_009296145.1_ASM929614v1_CDS_0266","GCF_010917815.1_ASM1091781v1_CDS_0259"
"GCF_009914375.1_ASM991437v1_CDS_0365","persistent","","10","10","1.0","NA","NA","","","","635","635","635.0","GCF_009914415.1_ASM991441v1_CDS_2601","GCF_009914435.1_ASM991443v1_CDS_2567","GCF_009914475.1_ASM991447v1_CDS_2562","GCA_010918035.1_ASM1091803v1_CDS_0042","GCF_009914375.1_ASM991437v1_CDS_0365","GCF_002953575.2_ASM295357v2_CDS_2782","GCF_009734145.1_ASM973414v1_CDS_0236","GCF_009914395.1_ASM991439v1_CDS_2562","GCF_009296145.1_ASM929614v1_CDS_0232","GCF_010917815.1_ASM1091781v1_CDS_0221"
"GCF_009914375.1_ASM991437v1_CDS_0429","persistent","","10","10","1.0","NA","NA","","","","392","398","396.8","GCF_009914415.1_ASM991441v1_CDS_2664","GCF_009914435.1_ASM991443v1_CDS_2630","GCF_009914475.1_ASM991447v1_CDS_2499","GCA_010918035.1_ASM1091803v1_CDS_2952","GCF_009914375.1_ASM991437v1_CDS_0429","GCF_002953575.2_ASM295357v2_CDS_2875","GCF_009734145.1_ASM973414v1_CDS_0157","GCF_009914395.1_ASM991439v1_CDS_2624","GCF_009296145.1_ASM929614v1_CDS_0171","GCF_010917815.1_ASM1091781v1_CDS_0159"
"GCF_009914375.1_ASM991437v1_CDS_0525","cloud","","1","1","1.0","NA","NA","","","","1208","1208","1208.0","","","","","GCF_009914375.1_ASM991437v1_CDS_0525","","","","",""
