#soft_core=0.95
#duplication_margin=0.05
organism	nb_families	nb_persistent_families	nb_shell_families	nb_cloud_families	nb_exact_core	nb_soft_core	nb_genes	nb_persistent_genes	nb_shell_genes	nb_cloud_genes	nb_exact_core_genes	nb_soft_core_genes	completeness	nb_single_copy_markers
GCA_003359435.2_ASM335943v2	3849	3089	3	757	2699	2699	4847	3995	4	848	3537	3537	93.65	1077
GCF_004295305.1_ASM429530v1	3567	3103	31	433	2699	2699	3670	3149	31	490	2738	2738	96.26	1107
GCF_002951295.1_ASM295129v1	3625	3178	129	318	2699	2699	3722	3226	135	361	2735	2735	98.7	1135
GCF_003143895.1_ASM314389v1	3688	3157	129	402	2699	2699	3777	3204	132	441	2740	2740	97.83	1125
GCF_000814165.3_ASM81416v3	3690	3117	45	528	2699	2699	3777	3159	45	573	2729	2729	96.35	1108
GCF_002082665.1_ASM208266v1	3773	3155	128	490	2699	2699	3893	3193	132	568	2734	2734	98.43	1132
GCA_003359375.2_ASM335937v2	4108	3088	31	989	2699	2699	5927	4763	49	1115	4245	4245	92.61	1065
GCA_003359395.2_ASM335939v2	4426	3084	3	1339	2699	2699	6232	4624	3	1605	4101	4101	92.96	1069
GCA_003359355.2_ASM335935v2	4517	3095	7	1415	2699	2699	6666	4930	9	1727	4393	4393	92.87	1068
GCA_003359505.2_ASM335950v2	4443	3110	129	1204	2699	2699	6079	4399	199	1481	3861	3861	94.17	1083
