#duplication_margin=0.05
persistent_family	duplication_ratio	mean_presence	is_single_copy_marker
GCF_001278715.1_ASM127871v1_CDS_0044	0.0	1.0	True
GCF_002165305.2_ASM216530v2_CDS_1079	0.0	1.0	True
GCF_002165305.2_ASM216530v2_CDS_1111	0.0	1.0	True
GCF_002165305.2_ASM216530v2_CDS_1367	0.0	1.0	True
GCF_002165305.2_ASM216530v2_CDS_2488	0.0	1.0	True
GCF_002165255.2_ASM216525v2_CDS_2645	0.0	1.0	True
GCF_001647675.1_ASM164767v1_CDS_1310	0.0	1.0	True
GCF_001647675.1_ASM164767v1_CDS_2145	0.0	1.0	True
GCF_001647675.1_ASM164767v1_CDS_2241	0.0	1.0	True
GCF_002688565.1_ASM268856v1_CDS_1405	0.0	1.0	True
GCF_002688565.1_ASM268856v1_CDS_1661	0.1	1.1	False
GCF_002688565.1_ASM268856v1_CDS_2207	0.0	1.0	True
GCF_002934695.1_ASM293469v1_CDS_0493	0.0	1.0	True
GCF_002934695.1_ASM293469v1_CDS_0656	0.0	1.0	True
GCF_002688565.1_ASM268856v1_CDS_2944	0.0	1.0	True
GCF_002934695.1_ASM293469v1_CDS_0108	0.0	1.0	True
GCF_002934695.1_ASM293469v1_CDS_0624	0.0	1.0	True
GCF_002934695.1_ASM293469v1_CDS_0849	0.0	1.0	True
GCF_002934695.1_ASM293469v1_CDS_0977	0.0	1.0	True
GCF_002934695.1_ASM293469v1_CDS_2194	0.0	1.0	True
GCF_002934695.1_ASM293469v1_CDS_2291	0.0	1.0	True
GCF_002934695.1_ASM293469v1_CDS_2579	0.0	1.0	True
GCF_002934695.1_ASM293469v1_CDS_1715	0.0	1.0	True
GCF_002934695.1_ASM293469v1_CDS_2676	0.0	1.0	True
GCF_002934695.1_ASM293469v1_CDS_2869	0.0	1.0	True
GCF_002934695.1_ASM293469v1_CDS_2902	0.1	1.2	False
GCF_002165295.2_ASM216529v2_CDS_0692	0.0	1.0	True
GCF_002165295.2_ASM216529v2_CDS_0788	0.0	1.0	True
GCF_002934695.1_ASM293469v1_CDS_0272	0.0	1.0	True
GCF_002934695.1_ASM293469v1_CDS_0659	0.0	1.0	True
GCF_002934695.1_ASM293469v1_CDS_0979	0.0	1.0	True
GCF_002934695.1_ASM293469v1_CDS_2004	0.0	1.0	True
