#duplication_margin=0.05
persistent_family	duplication_ratio	mean_presence	is_single_copy_marker
GCA_003359255.2_ASM335925v2_CDS_0568	0.0	1.0	True
GCA_005280395.1_ASM528039v1_CDS_2099	0.1	1.1	False
GCA_005280395.1_ASM528039v1_CDS_2195	0.0	1.0	True
GCA_005280395.1_ASM528039v1_CDS_2227	0.0	1.0	True
GCA_005280395.1_ASM528039v1_CDS_2355	0.167	1.167	False
GCA_005280395.1_ASM528039v1_CDS_2451	0.0	1.0	True
GCA_005280395.1_ASM528039v1_CDS_2516	0.2	1.2	False
GCA_005280395.1_ASM528039v1_CDS_2580	0.0	1.0	True
GCA_005280395.1_ASM528039v1_CDS_2740	0.0	1.0	True
GCA_005280395.1_ASM528039v1_CDS_2772	0.1	1.1	False
GCA_005280395.1_ASM528039v1_CDS_2804	0.2	1.2	False
GCA_005280395.1_ASM528039v1_CDS_2900	0.0	1.0	True
GCA_005280395.1_ASM528039v1_CDS_2932	0.0	1.0	True
GCA_005280395.1_ASM528039v1_CDS_2997	0.0	1.0	True
GCA_005280395.1_ASM528039v1_CDS_3093	0.0	1.0	True
GCA_005280395.1_ASM528039v1_CDS_3254	0.0	1.0	True
GCA_005280395.1_ASM528039v1_CDS_3286	0.0	1.0	True
GCA_005280395.1_ASM528039v1_CDS_3318	0.1	1.2	False
GCA_005280395.1_ASM528039v1_CDS_3350	0.1	1.1	False
GCA_005280395.1_ASM528039v1_CDS_3382	0.0	1.0	True
GCA_005280395.1_ASM528039v1_CDS_3414	0.0	1.0	True
GCA_005280395.1_ASM528039v1_CDS_3574	0.0	1.0	True
GCA_005280395.1_ASM528039v1_CDS_3606	0.2	1.2	False
GCA_005280395.1_ASM528039v1_CDS_3638	0.0	1.0	True
GCA_005280395.1_ASM528039v1_CDS_3670	0.2	1.3	False
GCA_005280395.1_ASM528039v1_CDS_3766	0.0	1.0	True
GCA_005280395.1_ASM528039v1_CDS_3830	0.0	1.0	True
GCA_005280395.1_ASM528039v1_CDS_3862	0.0	1.0	True
GCA_005280395.1_ASM528039v1_CDS_3894	0.0	1.0	True
GCA_005280395.1_ASM528039v1_CDS_3926	0.0	1.0	True
GCA_005280395.1_ASM528039v1_CDS_3958	0.1	1.1	False
GCA_005280395.1_ASM528039v1_CDS_3990	0.1	1.1	False
GCA_005280395.1_ASM528039v1_CDS_4054	0.0	1.0	True
GCA_005280395.1_ASM528039v1_CDS_4278	0.429	1.571	False
GCA_005280355.1_ASM528035v1_CDS_0039	0.2	1.2	False
GCA_005280355.1_ASM528035v1_CDS_0071	0.0	1.0	True
GCA_005280355.1_ASM528035v1_CDS_0135	0.0	1.0	True
GCA_005280355.1_ASM528035v1_CDS_0199	0.0	1.0	True
GCA_005280355.1_ASM528035v1_CDS_0263	0.0	1.0	True
GCA_005280355.1_ASM528035v1_CDS_0295	0.0	1.0	True
GCA_005280355.1_ASM528035v1_CDS_0487	0.2	1.2	False
GCA_005280355.1_ASM528035v1_CDS_0519	0.0	1.0	True
GCA_005280355.1_ASM528035v1_CDS_0551	0.3	1.3	False
GCA_005280355.1_ASM528035v1_CDS_0583	0.1	1.1	False
GCA_005280355.1_ASM528035v1_CDS_0615	0.1	1.1	False
GCA_005280355.1_ASM528035v1_CDS_0647	0.1	1.1	False
GCA_005280355.1_ASM528035v1_CDS_0711	0.0	1.0	True
GCA_005280355.1_ASM528035v1_CDS_0743	0.111	1.111	False
GCA_003359255.2_ASM335925v2_CDS_5222	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_0048	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_0209	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_0305	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_0337	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_0401	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_0433	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_0497	0.3	1.4	False
GCA_003627485.2_ASM362748v2_CDS_0529	0.1	1.1	False
GCA_003627485.2_ASM362748v2_CDS_0625	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_0689	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_0721	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_0817	0.286	1.286	False
GCA_003627485.2_ASM362748v2_CDS_0849	0.2	1.2	False
GCA_003627485.2_ASM362748v2_CDS_0881	0.1	1.1	False
GCA_003627485.2_ASM362748v2_CDS_1169	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_1201	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_1425	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_1553	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_1649	0.1	1.1	False
GCA_003627485.2_ASM362748v2_CDS_1681	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_1745	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_1841	0.1	1.1	False
GCA_003627485.2_ASM362748v2_CDS_1873	0.2	1.4	False
GCA_003627485.2_ASM362748v2_CDS_1905	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_1937	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_2001	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_2033	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_2065	0.2	1.2	False
GCA_003627485.2_ASM362748v2_CDS_2097	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_2161	0.2	1.2	False
GCA_003627485.2_ASM362748v2_CDS_2193	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_2225	0.1	1.1	False
GCA_003627485.2_ASM362748v2_CDS_2257	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_2289	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_2417	0.222	1.222	False
GCA_003627485.2_ASM362748v2_CDS_2449	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_2513	0.3	1.3	False
GCA_003627485.2_ASM362748v2_CDS_2673	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_0049	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_0081	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_0146	0.1	1.1	False
GCA_003627485.2_ASM362748v2_CDS_0210	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_0338	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_0370	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_0434	0.333	1.333	False
GCA_003627485.2_ASM362748v2_CDS_0562	0.1	1.1	False
GCA_003627485.2_ASM362748v2_CDS_0594	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_0626	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_0786	0.1	1.1	False
GCA_003627485.2_ASM362748v2_CDS_0818	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_0850	0.2	1.2	False
GCA_003627485.2_ASM362748v2_CDS_1170	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_1202	0.2	1.2	False
GCA_003627485.2_ASM362748v2_CDS_1426	0.1	1.1	False
GCA_003627485.2_ASM362748v2_CDS_1458	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_1554	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_1618	0.0	1.0	True
GCA_003627485.2_ASM362748v2_CDS_1810	0.125	1.125	False
