"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Accessory Fragment","Genome Fragment","Order within Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_014720715.1_ASM1472071v1","GCA_014717695.1_ASM1471769v1","GCA_014718155.1_ASM1471815v1","GCA_014718535.1_ASM1471853v1","GCA_014719655.1_ASM1471965v1","GCA_014718955.1_ASM1471895v1","GCA_014718755.1_ASM1471875v1","GCA_014717935.1_ASM1471793v1","GCA_014722275.1_ASM1472227v1","GCA_014720295.1_ASM1472029v1"
"GCA_014718155.1_ASM1471815v1_CDS_1708","persistent","","10","10","1.0","NA","NA","","","","1121","1121","1121.0","GCA_014720715.1_ASM1472071v1_CDS_1817","GCA_014717695.1_ASM1471769v1_CDS_1675","GCA_014718155.1_ASM1471815v1_CDS_1708","GCA_014718535.1_ASM1471853v1_CDS_1772","GCA_014719655.1_ASM1471965v1_CDS_1759","GCA_014718955.1_ASM1471895v1_CDS_1921","GCA_014718755.1_ASM1471875v1_CDS_1840","GCA_014717935.1_ASM1471793v1_CDS_1728","GCA_014722275.1_ASM1472227v1_CDS_2193","GCA_014720295.1_ASM1472029v1_CDS_2236"
"GCA_014718155.1_ASM1471815v1_CDS_1868","persistent","","10","10","1.0","NA","NA","","","","791","836","795.5","GCA_014720715.1_ASM1472071v1_CDS_1949","GCA_014717695.1_ASM1471769v1_CDS_1784","GCA_014718155.1_ASM1471815v1_CDS_1868","GCA_014718535.1_ASM1471853v1_CDS_2119","GCA_014719655.1_ASM1471965v1_CDS_1827","GCA_014718955.1_ASM1471895v1_CDS_2028","GCA_014718755.1_ASM1471875v1_CDS_2003","GCA_014717935.1_ASM1471793v1_CDS_1879","GCA_014722275.1_ASM1472227v1_CDS_2030","GCA_014720295.1_ASM1472029v1_CDS_2075"
"GCA_014718155.1_ASM1471815v1_CDS_1932","persistent","","10","11","1.1","NA","NA","","","","320","1421","1293.64","GCA_014720715.1_ASM1472071v1_CDS_2021","GCA_014717695.1_ASM1471769v1_CDS_1851","GCA_014718155.1_ASM1471815v1_CDS_1932","GCA_014718535.1_ASM1471853v1_CDS_2047" "GCA_014718535.1_ASM1471853v1_CDS_2048","GCA_014719655.1_ASM1471965v1_CDS_1902","GCA_014718955.1_ASM1471895v1_CDS_2092","GCA_014718755.1_ASM1471875v1_CDS_2076","GCA_014717935.1_ASM1471793v1_CDS_1952","GCA_014722275.1_ASM1472227v1_CDS_1959","GCA_014720295.1_ASM1472029v1_CDS_2006"
"GCA_014718155.1_ASM1471815v1_CDS_1964","persistent","","10","10","1.0","NA","NA","","","","266","266","266.0","GCA_014720715.1_ASM1472071v1_CDS_2053","GCA_014717695.1_ASM1471769v1_CDS_1886","GCA_014718155.1_ASM1471815v1_CDS_1964","GCA_014718535.1_ASM1471853v1_CDS_2009","GCA_014719655.1_ASM1471965v1_CDS_1933","GCA_014718955.1_ASM1471895v1_CDS_2125","GCA_014718755.1_ASM1471875v1_CDS_2109","GCA_014717935.1_ASM1471793v1_CDS_1985","GCA_014722275.1_ASM1472227v1_CDS_1927","GCA_014720295.1_ASM1472029v1_CDS_1974"
"GCA_014718155.1_ASM1471815v1_CDS_2028","persistent","","10","12","1.2","NA","NA","","","","308","734","617.5","GCA_014720715.1_ASM1472071v1_CDS_2118" "GCA_014720715.1_ASM1472071v1_CDS_2119","GCA_014717695.1_ASM1471769v1_CDS_1954","GCA_014718155.1_ASM1471815v1_CDS_2028","GCA_014718535.1_ASM1471853v1_CDS_1941" "GCA_014718535.1_ASM1471853v1_CDS_1942","GCA_014719655.1_ASM1471965v1_CDS_2003","GCA_014718955.1_ASM1471895v1_CDS_2189","GCA_014718755.1_ASM1471875v1_CDS_2179","GCA_014717935.1_ASM1471793v1_CDS_2055","GCA_014722275.1_ASM1472227v1_CDS_1854","GCA_014720295.1_ASM1472029v1_CDS_1902"
"GCA_014718155.1_ASM1471815v1_CDS_2060","persistent","","10","15","1.5","NA","NA","","","","158","551","377.4","GCA_014720715.1_ASM1472071v1_CDS_2157" "GCA_014720715.1_ASM1472071v1_CDS_2158","GCA_014717695.1_ASM1471769v1_CDS_1987","GCA_014718155.1_ASM1471815v1_CDS_2060","GCA_014718535.1_ASM1471853v1_CDS_1906" "GCA_014718535.1_ASM1471853v1_CDS_1907","GCA_014719655.1_ASM1471965v1_CDS_2037","GCA_014718955.1_ASM1471895v1_CDS_2219","GCA_014718755.1_ASM1471875v1_CDS_2264","GCA_014717935.1_ASM1471793v1_CDS_2087","GCA_014722275.1_ASM1472227v1_CDS_1764" "GCA_014722275.1_ASM1472227v1_CDS_1765","GCA_014720295.1_ASM1472029v1_CDS_1816" "GCA_014720295.1_ASM1472029v1_CDS_1818" "GCA_014720295.1_ASM1472029v1_CDS_1817"
"GCA_014718155.1_ASM1471815v1_CDS_2092","persistent","","10","10","1.0","NA","NA","","","","1025","1025","1025.0","GCA_014720715.1_ASM1472071v1_CDS_2190","GCA_014717695.1_ASM1471769v1_CDS_2018","GCA_014718155.1_ASM1471815v1_CDS_2092","GCA_014718535.1_ASM1471853v1_CDS_1875","GCA_014719655.1_ASM1471965v1_CDS_2069","GCA_014718955.1_ASM1471895v1_CDS_2251","GCA_014718755.1_ASM1471875v1_CDS_2295","GCA_014717935.1_ASM1471793v1_CDS_2119","GCA_014722275.1_ASM1472227v1_CDS_1733","GCA_014720295.1_ASM1472029v1_CDS_1783"
"GCA_014718155.1_ASM1471815v1_CDS_2124","persistent","","10","10","1.0","NA","NA","","","","929","929","929.0","GCA_014720715.1_ASM1472071v1_CDS_2225","GCA_014717695.1_ASM1471769v1_CDS_2050","GCA_014718155.1_ASM1471815v1_CDS_2124","GCA_014718535.1_ASM1471853v1_CDS_2201","GCA_014719655.1_ASM1471965v1_CDS_2103","GCA_014718955.1_ASM1471895v1_CDS_2287","GCA_014718755.1_ASM1471875v1_CDS_2330","GCA_014717935.1_ASM1471793v1_CDS_2153","GCA_014722275.1_ASM1472227v1_CDS_1698","GCA_014720295.1_ASM1472029v1_CDS_1748"
"GCA_014718155.1_ASM1471815v1_CDS_2188","persistent","","10","10","1.0","NA","NA","","","","332","428","418.4","GCA_014720715.1_ASM1472071v1_CDS_2285","GCA_014717695.1_ASM1471769v1_CDS_2117","GCA_014718155.1_ASM1471815v1_CDS_2188","GCA_014718535.1_ASM1471853v1_CDS_2260","GCA_014719655.1_ASM1471965v1_CDS_2192","GCA_014718955.1_ASM1471895v1_CDS_2347","GCA_014718755.1_ASM1471875v1_CDS_2389","GCA_014717935.1_ASM1471793v1_CDS_2213","GCA_014722275.1_ASM1472227v1_CDS_1640","GCA_014720295.1_ASM1472029v1_CDS_1689"
"GCA_014718155.1_ASM1471815v1_CDS_2220","persistent","","10","10","1.0","NA","NA","","","","779","920","902.3","GCA_014720715.1_ASM1472071v1_CDS_2322","GCA_014717695.1_ASM1471769v1_CDS_2149","GCA_014718155.1_ASM1471815v1_CDS_2220","GCA_014718535.1_ASM1471853v1_CDS_2295","GCA_014719655.1_ASM1471965v1_CDS_2236","GCA_014718955.1_ASM1471895v1_CDS_2373","GCA_014718755.1_ASM1471875v1_CDS_2428","GCA_014717935.1_ASM1471793v1_CDS_2245","GCA_014722275.1_ASM1472227v1_CDS_1598","GCA_014720295.1_ASM1472029v1_CDS_1647"
