#duplication_margin=0.05
persistent_family	duplication_ratio	mean_presence	is_single_copy_marker
GCA_003359505.2_ASM335950v2_CDS_3668	0.125	1.125	False
GCA_003359505.2_ASM335950v2_CDS_4052	1.0	2.0	False
GCA_003359505.2_ASM335950v2_CDS_4148	0.0	1.0	True
GCA_003359505.2_ASM335950v2_CDS_4468	0.2	1.3	False
GCA_003359505.2_ASM335950v2_CDS_4597	0.2	1.2	False
GCA_003359505.2_ASM335950v2_CDS_4726	0.0	1.0	True
GCF_002951295.1_ASM295129v1_CDS_2624	0.2	1.3	False
GCF_002951295.1_ASM295129v1_CDS_2720	0.4	1.4	False
GCF_002951295.1_ASM295129v1_CDS_2753	0.1	1.1	False
GCF_002951295.1_ASM295129v1_CDS_2785	0.0	1.0	True
GCF_002951295.1_ASM295129v1_CDS_2817	0.0	1.0	True
GCF_002951295.1_ASM295129v1_CDS_2881	0.3	1.4	False
GCF_002951295.1_ASM295129v1_CDS_2913	0.4	1.7	False
GCF_002951295.1_ASM295129v1_CDS_2945	0.5	1.9	False
GCF_002951295.1_ASM295129v1_CDS_2977	0.3	1.5	False
GCF_002951295.1_ASM295129v1_CDS_3041	0.0	1.0	True
GCF_002951295.1_ASM295129v1_CDS_3073	0.1	1.1	False
GCF_002951295.1_ASM295129v1_CDS_3105	0.5	1.7	False
GCF_002951295.1_ASM295129v1_CDS_3137	0.0	1.0	True
GCF_002951295.1_ASM295129v1_CDS_3169	0.5	1.6	False
GCF_002951295.1_ASM295129v1_CDS_3201	0.3	1.3	False
GCF_002951295.1_ASM295129v1_CDS_3297	0.0	1.0	True
GCF_002951295.1_ASM295129v1_CDS_3361	0.111	1.111	False
GCF_002951295.1_ASM295129v1_CDS_3425	0.5	2.0	False
GCF_002951295.1_ASM295129v1_CDS_3457	0.1	1.1	False
GCF_002951295.1_ASM295129v1_CDS_3489	0.1	1.1	False
GCF_002951295.1_ASM295129v1_CDS_3585	0.0	1.0	True
GCF_002951295.1_ASM295129v1_CDS_3617	0.0	1.0	True
GCF_002951295.1_ASM295129v1_CDS_3681	0.3	1.3	False
GCF_002951295.1_ASM295129v1_CDS_3713	0.0	1.0	True
GCF_003143895.1_ASM314389v1_CDS_0213	0.3	1.3	False
GCF_003143895.1_ASM314389v1_CDS_0277	0.5	1.8	False
GCF_003143895.1_ASM314389v1_CDS_0341	0.3	1.6	False
GCF_003143895.1_ASM314389v1_CDS_0469	0.0	1.0	True
GCF_003143895.1_ASM314389v1_CDS_0501	0.0	1.0	True
GCF_003143895.1_ASM314389v1_CDS_0565	0.6	1.8	False
GCF_003143895.1_ASM314389v1_CDS_0821	0.2	1.5	False
GCF_003143895.1_ASM314389v1_CDS_0885	0.3	1.4	False
GCF_003143895.1_ASM314389v1_CDS_0917	0.0	1.0	True
GCF_003143895.1_ASM314389v1_CDS_0981	0.2	1.3	False
GCF_003143895.1_ASM314389v1_CDS_1013	0.5	2.1	False
GCF_003143895.1_ASM314389v1_CDS_1045	0.3	1.4	False
