gene	contig	start	stop	strand	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
GCA_003359295.2_ASM335929v2_CDS_0001	CP033525.1	1	366	+	GCA_003359315.2_ASM335931v2_CDS_0001	1	persistent	2	0	0
GCA_003359295.2_ASM335929v2_CDS_0002	CP033525.1	366	692	+	GCA_003359305.2_ASM335930v2_CDS_0001	1	persistent	4	0	1
GCA_003359295.2_ASM335929v2_CDS_0003	CP033525.1	698	991	+	GCA_003359295.2_ASM335929v2_CDS_0003	1	cloud	1	0	1
GCA_003359295.2_ASM335929v2_CDS_0004	CP033525.1	1099	1407	+	GCA_003359295.2_ASM335929v2_CDS_0004	1	cloud	1	0	1
GCA_003359295.2_ASM335929v2_CDS_0005	CP033525.1	1505	2293	+	GCA_003354845.1_ASM335484v1_CDS_0004	2	persistent	3	0	1
GCA_003359295.2_ASM335929v2_CDS_0006	CP033525.1	2335	2652	+	GCA_003354845.1_ASM335484v1_CDS_0004	2	persistent	3	0	1
GCA_003359295.2_ASM335929v2_CDS_0007	CP033525.1	2667	3281	+	GCF_001577285.1_ASM157728v1_CDS_0949	2	persistent	2	0	0
GCA_003359295.2_ASM335929v2_CDS_0008	CP033525.1	3254	3748	+	GCF_001577285.1_ASM157728v1_CDS_0949	2	persistent	2	0	0
GCA_003359295.2_ASM335929v2_CDS_0009	CP033525.1	3801	6269	+	GCF_001577285.1_ASM157728v1_CDS_0948	1	persistent	3	0	0
GCA_003359295.2_ASM335929v2_CDS_0010	CP033525.1	6308	6697	+	GCA_003359275.2_ASM335927v2_CDS_0011	1	persistent	3	0	0
GCA_003359295.2_ASM335929v2_CDS_0011	CP033525.1	6832	7758	+	GCA_003359295.2_ASM335929v2_CDS_0011	1	persistent	2	0	0
GCA_003359295.2_ASM335929v2_CDS_0012	CP033525.1	7809	9737	-	GCF_001577285.1_ASM157728v1_CDS_0945	1	persistent	2	0	0
GCA_003359295.2_ASM335929v2_CDS_0013	CP033525.1	10037	10996	+	GCA_003354845.1_ASM335484v1_CDS_0016	1	persistent	2	0	0
