module_id	organism	completion
module_75	GCF_009914375.1_ASM991437v1	1.0
module_75	GCF_009914395.1_ASM991439v1	1.0
module_82	GCF_002953575.2_ASM295357v2	1.0
module_82	GCF_009734145.1_ASM973414v1	1.0
module_108	GCF_009296145.1_ASM929614v1	1.0
module_108	GCF_010917815.1_ASM1091781v1	1.0
module_11	GCF_009914415.1_ASM991441v1	1.0
module_11	GCF_009914475.1_ASM991447v1	1.0
module_72	GCF_009914375.1_ASM991437v1	1.0
module_72	GCF_009914395.1_ASM991439v1	1.0
module_7	GCF_009914475.1_ASM991447v1	1.0
module_7	GCF_009914415.1_ASM991441v1	1.0
module_7	GCF_009914375.1_ASM991437v1	1.0
module_65	GCF_010917815.1_ASM1091781v1	1.0
module_65	GCF_009914395.1_ASM991439v1	1.0
module_65	GCA_010918035.1_ASM1091803v1	1.0
module_107	GCF_009296145.1_ASM929614v1	1.0
module_107	GCF_010917815.1_ASM1091781v1	1.0
module_62	GCF_010917815.1_ASM1091781v1	1.0
module_62	GCA_010918035.1_ASM1091803v1	1.0
module_8	GCF_009914415.1_ASM991441v1	1.0
module_8	GCF_009296145.1_ASM929614v1	1.0
module_8	GCF_009914395.1_ASM991439v1	1.0
module_8	GCF_009914475.1_ASM991447v1	1.0
module_8	GCF_009914375.1_ASM991437v1	1.0
module_81	GCF_002953575.2_ASM295357v2	1.0
module_81	GCF_009734145.1_ASM973414v1	1.0
module_63	GCF_010917815.1_ASM1091781v1	1.0
module_63	GCA_010918035.1_ASM1091803v1	1.0
module_110	GCF_009296145.1_ASM929614v1	1.0
module_110	GCF_010917815.1_ASM1091781v1	1.0
module_1	GCF_009914415.1_ASM991441v1	1.0
module_1	GCF_002953575.2_ASM295357v2	1.0
module_1	GCF_009914435.1_ASM991443v1	1.0
module_1	GCF_009914475.1_ASM991447v1	1.0
module_1	GCF_009734145.1_ASM973414v1	1.0
module_14	GCF_009914415.1_ASM991441v1	1.0
module_14	GCF_009914475.1_ASM991447v1	1.0
module_77	GCF_009914375.1_ASM991437v1	1.0
module_77	GCF_009914395.1_ASM991439v1	1.0
module_80	GCF_002953575.2_ASM295357v2	1.0
module_80	GCF_010917815.1_ASM1091781v1	1.0
module_106	GCF_009296145.1_ASM929614v1	1.0
module_106	GCF_010917815.1_ASM1091781v1	1.0
module_61	GCF_010917815.1_ASM1091781v1	0.86
module_61	GCF_009296145.1_ASM929614v1	1.0
module_61	GCA_010918035.1_ASM1091803v1	1.0
module_61	GCF_009914395.1_ASM991439v1	1.0
module_61	GCF_009914375.1_ASM991437v1	1.0
module_9	GCF_010917815.1_ASM1091781v1	1.0
module_9	GCF_002953575.2_ASM295357v2	1.0
module_9	GCF_009914415.1_ASM991441v1	1.0
module_9	GCA_010918035.1_ASM1091803v1	0.75
module_9	GCF_009914435.1_ASM991443v1	1.0
module_9	GCF_009914395.1_ASM991439v1	0.25
module_9	GCF_009914475.1_ASM991447v1	1.0
module_9	GCF_009734145.1_ASM973414v1	1.0
module_79	GCF_009914375.1_ASM991437v1	1.0
module_79	GCF_009914395.1_ASM991439v1	1.0
module_60	GCA_010918035.1_ASM1091803v1	1.0
module_60	GCF_009734145.1_ASM973414v1	1.0
module_105	GCF_009296145.1_ASM929614v1	1.0
module_105	GCF_010917815.1_ASM1091781v1	1.0
module_78	GCF_009914375.1_ASM991437v1	1.0
module_78	GCF_009914395.1_ASM991439v1	1.0
module_84	GCF_002953575.2_ASM295357v2	1.0
module_84	GCF_009734145.1_ASM973414v1	1.0
module_0	GCF_010917815.1_ASM1091781v1	1.0
module_0	GCF_009914415.1_ASM991441v1	1.0
module_0	GCF_009296145.1_ASM929614v1	1.0
module_0	GCA_010918035.1_ASM1091803v1	0.33
module_0	GCF_009914435.1_ASM991443v1	1.0
module_0	GCF_009914395.1_ASM991439v1	1.0
module_0	GCF_009914475.1_ASM991447v1	1.0
module_0	GCF_009734145.1_ASM973414v1	1.0
module_0	GCF_009914375.1_ASM991437v1	1.0
module_12	GCF_009914415.1_ASM991441v1	1.0
module_12	GCF_009914475.1_ASM991447v1	1.0
module_66	GCF_010917815.1_ASM1091781v1	1.0
module_66	GCA_010918035.1_ASM1091803v1	1.0
module_59	GCF_009296145.1_ASM929614v1	1.0
module_59	GCA_010918035.1_ASM1091803v1	1.0
module_64	GCF_002953575.2_ASM295357v2	1.0
