gene	contig	start	stop	strand	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
GCF_000191145.1_ASM19114v1_CDS_0001	NC_016603.1	76	2319	+	GCA_003359275.2_ASM335927v2_CDS_4268	1	cloud	0	0	2
GCF_000191145.1_ASM19114v1_CDS_0002	NC_016603.1	2452	3486	-	GCF_001577285.1_ASM157728v1_CDS_1754	1	cloud	0	0	4
GCF_000191145.1_ASM19114v1_CDS_0003	NC_016603.1	3486	5027	-	GCA_003359225.2_ASM335922v2_CDS_4383	1	cloud	0	1	2
GCF_000191145.1_ASM19114v1_CDS_0004	NC_016603.1	5075	5824	-	GCF_000191145.1_ASM19114v1_CDS_0004	1	cloud	0	1	2
GCF_000191145.1_ASM19114v1_CDS_0005	NC_016603.1	5892	7550	-	GCF_001577285.1_ASM157728v1_CDS_1759	1	cloud	0	1	3
GCF_000191145.1_ASM19114v1_CDS_0006	NC_016603.1	7924	8304	+	GCA_003359225.2_ASM335922v2_CDS_4374	1	cloud	0	0	2
GCF_000191145.1_ASM19114v1_CDS_0007	NC_016603.1	8277	8900	+	GCA_003359225.2_ASM335922v2_CDS_4375	1	cloud	0	0	3
GCF_000191145.1_ASM19114v1_CDS_0008	NC_016603.1	9524	9931	+	GCA_003359275.2_ASM335927v2_CDS_4256	1	cloud	0	0	3
GCF_000191145.1_ASM19114v1_CDS_0009	NC_016603.1	9977	10348	-	GCF_000191145.1_ASM19114v1_CDS_0009	1	cloud	0	0	2
GCF_000191145.1_ASM19114v1_CDS_0010	NC_016603.1	10936	11568	-	GCF_000191145.1_ASM19114v1_CDS_0010	1	cloud	0	1	3
GCF_000191145.1_ASM19114v1_CDS_0011	NC_016603.1	12302	12886	+	GCF_000191145.1_ASM19114v1_CDS_0011	1	cloud	0	1	2
GCF_000191145.1_ASM19114v1_CDS_0012	NC_016603.1	13112	13405	+	GCF_000191145.1_ASM19114v1_CDS_0012	1	cloud	1	1	2
GCF_000191145.1_ASM19114v1_CDS_0013	NC_016603.1	13526	14809	-	GCF_000191145.1_ASM19114v1_CDS_0013	1	persistent	2	1	8
GCF_000191145.1_ASM19114v1_CDS_0014	NC_016603.1	14948	15082	-	GCF_001577285.1_ASM157728v1_CDS_1767	1	persistent	2	0	0
GCF_000191145.1_ASM19114v1_CDS_0015	NC_016603.1	15139	17973	-	GCF_001577285.1_ASM157728v1_CDS_1768	1	persistent	3	0	1
GCF_000191145.1_ASM19114v1_CDS_0016	NC_016603.1	18506	19222	+	GCF_001577285.1_ASM157728v1_CDS_1769	1	persistent	2	0	0
GCF_000191145.1_ASM19114v1_CDS_0017	NC_016603.1	19255	20886	+	GCF_000191145.1_ASM19114v1_CDS_0017	1	persistent	2	0	0
GCF_000191145.1_ASM19114v1_CDS_0018	NC_016603.1	20908	21261	-	GCF_001577285.1_ASM157728v1_CDS_1771	1	persistent	2	0	0
GCF_000191145.1_ASM19114v1_CDS_0019	NC_016603.1	21354	22772	-	GCA_003359305.2_ASM335930v2_CDS_5130	1	persistent	2	0	0
GCF_000191145.1_ASM19114v1_CDS_0020	NC_016603.1	23198	23749	+	GCF_001577285.1_ASM157728v1_CDS_1773	1	persistent	2	0	0
GCF_000191145.1_ASM19114v1_CDS_0021	NC_016603.1	23756	24433	+	GCA_003359315.2_ASM335931v2_CDS_4196	1	persistent	2	0	0
GCF_000191145.1_ASM19114v1_CDS_0022	NC_016603.1	24518	26305	+	GCA_003359315.2_ASM335931v2_CDS_4195	1	persistent	2	0	0
GCF_000191145.1_ASM19114v1_CDS_0023	NC_016603.1	26319	26828	+	GCA_003359315.2_ASM335931v2_CDS_4194	1	persistent	2	0	0
GCF_000191145.1_ASM19114v1_CDS_0024	NC_016603.1	26825	28156	+	GCA_003359315.2_ASM335931v2_CDS_4193	1	persistent	2	0	0
GCF_000191145.1_ASM19114v1_CDS_0025	NC_016603.1	28168	30852	+	GCA_003359315.2_ASM335931v2_CDS_4192	1	persistent	2	0	0
GCF_000191145.1_ASM19114v1_CDS_0026	NC_016603.1	30856	31872	+	GCA_003359305.2_ASM335930v2_CDS_5121	1	persistent	2	0	2
